,Num,Dnum,ROISRE,ROILRE,ROIGLN,ROIRLN,ROIRP,ROILGRE,ROIHGRE,ROISRLGE,ROISRHGE,ROILRLGE,ROILRHGE,ROIGLV,ROIRLV,LLLSRE,LLLLRE,LLLGLN,LLLRLN,LLLRP,LLLLGRE,LLLHGRE,LLLSRLGE,LLLSRHGE,LLLLRLGE,LLLLRHGE,LLLGLV,LLLRLV,LLHSRE,LLHLRE,LLHGLN,LLHRLN,LLHRP,LLHLGRE,LLHHGRE,LLHSRLGE,LLHSRHGE,LLHLRLGE,LLHLRHGE,LLHGLV,LLHRLV,LHLSRE,LHLLRE,LHLGLN,LHLRLN,LHLRP,LHLLGRE,LHLHGRE,LHLSRLGE,LHLSRHGE,LHLLRLGE,LHLLRHGE,LHLGLV,LHLRLV,LHHSRE,LHHLRE,LHHGLN,LHHRLN,LHHRP,LHHLGRE,LHHHGRE,LHHSRLGE,LHHSRHGE,LHHLRLGE,LHHLRHGE,LHHGLV,LHHRLV,HLLSRE,HLLLRE,HLLGLN,HLLRLN,HLLRP,HLLLGRE,HLLHGRE,HLLSRLGE,HLLSRHGE,HLLLRLGE,HLLLRHGE,HLLGLV,HLLRLV,HLHSRE,HLHLRE,HLHGLN,HLHRLN,HLHRP,HLHLGRE,HLHHGRE,HLHSRLGE,HLHSRHGE,HLHLRLGE,HLHLRHGE,HLHGLV,HLHRLV,HHLSRE,HHLLRE,HHLGLN,HHLRLN,HHLRP,HHLLGRE,HHLHGRE,HHLSRLGE,HHLSRHGE,HHLLRLGE,HHLLRHGE,HHLGLV,HHLRLV,HHHSRE,HHHLRE,HHHGLN,HHHRLN,HHHRP,HHHLGRE,HHHHGRE,HHHSRLGE,HHHSRHGE,HHHLRLGE,HHHLRHGE,HHHGLV,HHHRLV
0,1,1,0.978279,1.094675,0.013818,0.944188,0.970586,0.001034,5108.569646,0.001027,4986.573271,0.001064,5643.432151,0.091515,1.8e-05,0.9787,1.098755,0.011803,0.945537,0.970207,0.001435,6640.217144,0.00143,6475.575941,0.001456,7410.972697,0.106187,1.5e-05,0.977258,1.098151,0.014442,0.941564,0.969437,0.001566,4987.016995,0.001554,4868.95829,0.001615,5498.751637,0.081211,1.6e-05,0.985314,1.077462,0.013782,0.962358,0.978162,0.001399,4554.033153,0.001377,4489.03633,0.001494,4894.160245,0.051966,1.2e-05,0.984651,1.071691,0.015732,0.960365,0.978405,0.001399,4418.413718,0.001392,4351.628698,0.001427,4728.254731,0.07389,1.8e-05,0.983568,1.079897,0.016145,0.957799,0.976428,0.000914,4420.950915,0.000909,4353.157189,0.000938,4749.953853,0.061296,1.6e-05,0.988159,1.052067,0.014041,0.969163,0.983736,0.001377,4551.625538,0.001374,4501.821745,0.001394,4769.030267,0.068478,1.6e-05,0.986809,1.068191,0.015505,0.966061,0.980531,0.001514,4557.88393,0.001502,4499.432219,0.001594,4862.78013,0.0597,1.4e-05,0.988308,1.052244,0.015119,0.969609,0.983775,0.001209,4527.205697,0.001206,4476.072086,0.001224,4755.606786,0.07526,1.7e-05
1,2,3,0.971868,1.128299,0.013513,0.928498,0.961493,0.001311,4927.88655,0.001285,4778.021409,0.001425,5615.651977,0.037432,7e-06,0.965761,1.166068,0.013281,0.913962,0.952277,0.001263,5093.691518,0.001236,4905.825841,0.00138,6012.326108,0.034108,6e-06,0.972983,1.120451,0.013692,0.93114,0.963326,0.000524,4584.385793,0.000513,4464.726695,0.000571,5113.403666,0.042576,1e-05,0.983654,1.086318,0.014402,0.958138,0.975797,0.000752,4595.420913,0.000745,4523.384658,0.000786,4975.933479,0.036748,9e-06,0.984564,1.068753,0.015219,0.960032,0.978764,0.000944,4565.899554,0.000939,4498.551653,0.000967,4865.949872,0.04621,1.1e-05,0.983018,1.090602,0.014742,0.956554,0.974849,0.000999,4568.456534,0.000992,4493.172789,0.001039,4972.998896,0.025853,6e-06,0.984161,1.071185,0.015568,0.959055,0.978099,0.000975,4547.999255,0.000969,4478.703816,0.001001,4858.86801,0.058283,1.4e-05,0.986131,1.073891,0.014558,0.964408,0.979318,0.000948,4578.619331,0.00094,4517.31963,0.000985,4906.971963,0.037525,9e-06,0.986519,1.062165,0.015378,0.965042,0.981186,0.001016,4551.670719,0.001011,4493.05518,0.001036,4821.890264,0.043166,1e-05
2,3,4,0.984005,1.067843,0.01246,0.958523,0.978445,0.000967,4689.385775,0.000961,4615.359655,0.000996,5004.735333,0.084959,1.9e-05,0.982577,1.07317,0.013287,0.954848,0.976699,0.000743,4640.276528,0.000737,4561.661436,0.000768,4968.244681,0.091529,2.1e-05,0.985912,1.058399,0.013964,0.963284,0.981201,0.001651,4815.874619,0.001645,4747.192571,0.001675,5100.175627,0.133541,2.8e-05,0.989591,1.044853,0.014639,0.972827,0.985775,0.001055,4585.1253,0.001051,4539.690761,0.001068,4780.207561,0.085069,2e-05,0.98956,1.043565,0.01569,0.972653,0.985976,0.001788,4652.094347,0.001785,4605.893659,0.0018,4844.929393,0.094334,2.1e-05,0.987812,1.05396,0.015016,0.968308,0.983183,0.001086,4705.695275,0.001077,4651.795799,0.00112,4944.212856,0.075555,1.7e-05,0.990257,1.040153,0.015505,0.974444,0.986965,0.001256,4441.88388,0.001253,4401.639895,0.001267,4607.692762,0.138477,3.2e-05,0.988938,1.046805,0.01412,0.971087,0.985048,0.001437,4452.475238,0.001433,4406.363416,0.001453,4648.487663,0.081494,1.9e-05,0.989432,1.04381,0.015241,0.97232,0.985838,0.000942,4631.498117,0.000939,4584.725132,0.000955,4824.669267,0.112426,2.5e-05
3,4,5,0.980045,1.084404,0.012986,0.948472,0.973327,0.0007,4975.744184,0.000693,4873.510495,0.000729,5408.636976,0.072248,1.4e-05,0.978068,1.096312,0.013457,0.943664,0.970259,0.000652,4708.617986,0.000644,4602.318288,0.000688,5179.525828,0.044357,9e-06,0.983914,1.067584,0.014153,0.958241,0.978444,0.001111,4571.582324,0.001104,4499.105217,0.001137,4876.24596,0.101646,2.2e-05,0.988618,1.048888,0.014274,0.970321,0.984484,0.000889,4536.564061,0.000885,4487.091606,0.000906,4748.46632,0.083736,1.9e-05,0.989504,1.043352,0.014699,0.972492,0.985964,0.000915,4554.517592,0.000912,4509.060716,0.000928,4742.039379,0.104961,2.4e-05,0.988281,1.051314,0.014485,0.969454,0.983934,0.0008,4555.951123,0.000796,4504.17647,0.000815,4782.822697,0.062745,1.4e-05,0.989487,1.043515,0.014774,0.972456,0.985929,0.00125,4544.650924,0.001247,4499.163995,0.001262,4732.823232,0.073434,1.7e-05,0.987857,1.051666,0.013924,0.968329,0.983558,0.000865,4545.528983,0.000861,4492.767393,0.000883,4770.584574,0.068256,1.6e-05,0.989009,1.045487,0.01443,0.971225,0.985295,0.000809,4632.537529,0.000806,4583.834748,0.000822,4833.380314,0.086253,1.9e-05
4,5,6,0.97314,1.1177,0.01519,0.931477,0.963786,0.00163,4738.798117,0.001614,4596.798119,0.001699,5363.87518,0.074308,1.4e-05,0.969588,1.136661,0.015115,0.922922,0.958683,0.001437,4624.00263,0.001419,4463.53923,0.001518,5349.834406,0.056279,1.1e-05,0.980292,1.08357,0.015811,0.949115,0.973601,0.00066,4469.0978,0.000654,4385.695315,0.000688,4822.67418,0.073793,1.8e-05,0.986277,1.058893,0.015934,0.964307,0.98138,0.00068,4524.267505,0.000676,4465.094328,0.000699,4778.012254,0.060068,1.4e-05,0.987302,1.052995,0.01627,0.966861,0.982973,0.001053,4536.679925,0.001049,4481.581792,0.00107,4766.104463,0.095017,2.2e-05,0.985846,1.062019,0.016333,0.963285,0.980592,0.000949,4500.344833,0.000944,4439.125905,0.000968,4768.284705,0.080011,1.9e-05,0.987793,1.051004,0.015934,0.968123,0.983612,0.000888,4514.384664,0.000885,4462.010504,0.000902,4732.712639,0.078397,1.8e-05,0.986267,1.059507,0.015412,0.964312,0.981279,0.000888,4504.484474,0.000883,4444.857773,0.000909,4762.554094,0.065639,1.5e-05,0.98716,1.053259,0.015627,0.966469,0.982845,0.00102,4534.503054,0.001016,4478.760558,0.001036,4765.765361,0.077222,1.8e-05
5,6,7,0.974215,1.112172,0.013503,0.934095,0.9653,0.0006,4377.822966,0.00059,4257.796974,0.000643,4902.599767,0.05157,1.3e-05,0.971099,1.128923,0.013465,0.926556,0.960819,0.00057,4310.3573,0.000558,4178.83703,0.000624,4894.865825,0.035588,9e-06,0.97975,1.085647,0.015343,0.947732,0.972942,0.001276,4695.351226,0.001263,4601.217278,0.001332,5092.027906,0.080287,1.7e-05,0.987692,1.053081,0.015116,0.967936,0.983228,0.000805,4531.345881,0.000801,4478.946491,0.000822,4756.32879,0.07407,1.7e-05,0.988732,1.046973,0.015123,0.970533,0.984871,0.000732,4549.095793,0.000729,4500.293072,0.000746,4752.39785,0.107692,2.5e-05,0.98664,1.059323,0.015743,0.965323,0.981568,0.0011,4519.905204,0.001091,4462.697594,0.001136,4773.12844,0.066402,1.6e-05,0.988653,1.047116,0.015397,0.970317,0.984798,0.001055,4553.107682,0.001049,4503.979798,0.00108,4757.066724,0.091114,2.1e-05,0.987547,1.05344,0.014416,0.967559,0.983071,0.000868,4565.781594,0.000864,4511.624448,0.000886,4798.3855,0.062283,1.4e-05,0.988119,1.049257,0.014756,0.968943,0.984101,0.000752,4578.523965,0.000748,4526.793251,0.000766,4792.848368,0.104825,2.4e-05
6,7,8,0.972102,1.122232,0.013961,0.928922,0.962443,0.001523,4596.932097,0.001462,4456.813673,0.001795,5214.029611,0.057735,1.2e-05,0.966432,1.153695,0.014074,0.915376,0.954199,0.00122,4605.32701,0.001194,4432.194223,0.001339,5404.705332,0.042246,9e-06,0.981256,1.07885,0.014458,0.951506,0.974963,0.000847,4582.434532,0.000839,4499.725931,0.000879,4929.805439,0.070259,1.6e-05,0.986204,1.059774,0.014868,0.964152,0.981191,0.00098,4543.15758,0.000972,4483.47477,0.001012,4800.944082,0.049741,1.2e-05,0.98769,1.051404,0.01553,0.967855,0.983483,0.00076,4538.729846,0.000756,4485.248633,0.000775,4761.655948,0.076814,1.8e-05,0.985966,1.061897,0.015373,0.963595,0.980709,0.000759,4520.020417,0.000753,4459.510756,0.000785,4786.4468,0.057292,1.3e-05,0.987761,1.051012,0.015364,0.968028,0.983595,0.000951,4549.264994,0.000947,4496.04052,0.000967,4770.925253,0.06605,1.5e-05,0.987356,1.054297,0.014554,0.967059,0.982824,0.000834,4563.722102,0.000828,4508.525737,0.000861,4800.012666,0.055324,1.3e-05,0.987958,1.050492,0.015257,0.968547,0.983812,0.000875,4539.144916,0.000871,4487.249735,0.000891,4756.266573,0.057914,1.3e-05
7,8,9,0.969856,1.135253,0.011041,0.923571,0.959056,0.000554,5675.525021,0.000544,5458.70181,0.000597,6676.856686,0.056911,1e-05,0.965418,1.160774,0.011197,0.91301,0.952558,0.000449,6027.755503,0.000437,5768.526548,0.000507,7273.554662,0.042876,7e-06,0.980083,1.084616,0.014625,0.948607,0.973295,0.000805,4575.894056,0.000797,4488.877157,0.00084,4944.712745,0.08221,1.9e-05,0.983607,1.073436,0.017738,0.957653,0.97737,0.000894,4416.204724,0.000889,4347.23838,0.000917,4724.364285,0.065088,1.5e-05,0.986466,1.056899,0.016535,0.964744,0.9818,0.000977,4536.588604,0.000973,4478.501481,0.000993,4780.529866,0.081451,1.9e-05,0.985076,1.066059,0.017066,0.961339,0.979478,0.000747,4498.458746,0.000743,4434.295941,0.000766,4782.669804,0.06377,1.5e-05,0.987251,1.053159,0.01606,0.966723,0.982918,0.000975,4519.928716,0.000971,4465.317247,0.00099,4747.840862,0.068539,1.6e-05,0.985948,1.062094,0.015548,0.963548,0.98068,0.000791,4541.770335,0.000787,4480.205469,0.00081,4813.55178,0.058606,1.4e-05,0.986558,1.05682,0.015756,0.964993,0.981877,0.000827,4528.527352,0.000823,4471.137644,0.000843,4770.844874,0.077227,1.8e-05
8,9,10,0.976113,1.104503,0.014154,0.938826,0.967678,0.001111,5509.435872,0.001102,5354.410859,0.00115,6193.004501,0.073665,1.2e-05,0.974325,1.112414,0.013539,0.934402,0.965329,0.001394,5547.150724,0.001378,5376.332695,0.001455,6301.218178,0.090996,1.5e-05,0.979357,1.087923,0.014819,0.946799,0.97231,0.000694,4441.977355,0.000684,4356.270003,0.000735,4806.027955,0.078485,1.9e-05,0.986966,1.057187,0.01555,0.966131,0.982105,0.000893,4519.91709,0.000889,4463.490299,0.000911,4766.695914,0.065891,1.5e-05,0.987391,1.052646,0.016473,0.967085,0.983091,0.000641,4503.241699,0.000638,4448.712875,0.000656,4730.625376,0.096484,2.2e-05,0.986897,1.05779,0.0154,0.965958,0.981978,0.000782,4531.810683,0.000777,4475.265091,0.000799,4781.449659,0.057976,1.3e-05,0.987449,1.052411,0.015784,0.967236,0.983166,0.000978,4530.693438,0.000974,4476.333572,0.000997,4757.3046,0.078254,1.8e-05,0.98694,1.056127,0.014644,0.966011,0.982244,0.000888,4542.719678,0.000882,4485.818241,0.000913,4786.920679,0.072247,1.7e-05,0.98775,1.050896,0.015069,0.967995,0.983603,0.000942,4575.472701,0.000936,4522.252941,0.000968,4796.358476,0.088365,2e-05
9,10,11,0.968612,1.140954,0.01615,0.920532,0.957453,0.001475,4567.947305,0.001455,4410.201454,0.001562,5281.303771,0.04934,1e-05,0.963963,1.168675,0.015673,0.909533,0.950546,0.001441,4598.409745,0.001416,4414.086518,0.001548,5471.389407,0.043719,9e-06,0.978078,1.093899,0.018414,0.943613,0.970571,0.000718,4528.907309,0.000711,4435.06117,0.00075,4930.087177,0.074787,1.8e-05,0.986016,1.060526,0.01624,0.963677,0.980939,0.000752,4506.576554,0.000747,4446.394554,0.000773,4766.796236,0.079597,1.8e-05,0.986739,1.055481,0.01713,0.96542,0.98221,0.000737,4471.275308,0.000733,4414.461893,0.000753,4708.933126,0.084268,2e-05,0.985563,1.063958,0.016775,0.962571,0.980139,0.000706,4462.477214,0.000702,4400.743731,0.000726,4735.346538,0.055977,1.3e-05,0.986529,1.056575,0.016937,0.964888,0.981911,0.000833,4500.396315,0.000829,4442.818163,0.000849,4742.1086,0.057163,1.3e-05,0.985988,1.060414,0.015228,0.963579,0.980963,0.000779,4532.310424,0.000774,4470.976365,0.000798,4795.854135,0.039289,9e-06,0.986196,1.057709,0.016485,0.964029,0.981503,0.000721,4495.266,0.000717,4436.065247,0.000737,4742.836016,0.081127,1.9e-05
10,11,12,0.973889,1.11407,0.015707,0.93332,0.964797,0.000892,4630.493402,0.000881,4494.801147,0.000939,5225.644548,0.073428,1.5e-05,0.971547,1.127997,0.015555,0.92769,0.961252,0.001315,4619.797552,0.001304,4471.239339,0.001361,5294.429012,0.063797,1.3e-05,0.976042,1.102899,0.017109,0.938563,0.967873,0.001161,4493.440508,0.001149,4389.550178,0.00121,4938.473332,0.095056,2.2e-05,0.985546,1.063382,0.016841,0.962506,0.980195,0.000668,4522.371387,0.000663,4460.280739,0.000688,4794.211328,0.081845,1.9e-05,0.98627,1.058143,0.017017,0.96427,0.981471,0.000736,4495.603789,0.000732,4437.133374,0.000752,4742.763775,0.098588,2.3e-05,0.98466,1.067789,0.017356,0.960287,0.978922,0.00103,4495.826902,0.001023,4429.761544,0.001059,4787.080086,0.074006,1.7e-05,0.986629,1.056438,0.016535,0.965161,0.981993,0.001043,4489.401351,0.001039,4432.076393,0.00106,4730.849118,0.070073,1.6e-05,0.984595,1.068053,0.01613,0.96008,0.978882,0.000853,4514.223152,0.000848,4447.156696,0.000873,4810.613384,0.068464,1.6e-05,0.986596,1.056182,0.016203,0.965056,0.982011,0.001024,4544.152644,0.00102,4486.056832,0.00104,4787.707133,0.080342,1.8e-05
