,Num,Dnum,ROISZE,ROILZE,ROIszGLN,ROIZSN,ROIZP,ROILGZE,ROIHGZE,ROISZLGE,ROISZHGE,ROILZLGE,ROILZHGE,ROIszGLV,ROIZLV,LLLSZE,LLLLZE,LLLszGLN,LLLZSN,LLLZP,LLLLGZE,LLLHGZE,LLLSZLGE,LLLSZHGE,LLLLZLGE,LLLLZHGE,LLLszGLV,LLLZLV,LLHSZE,LLHLZE,LLHszGLN,LLHZSN,LLHZP,LLHLGZE,LLHHGZE,LLHSZLGE,LLHSZHGE,LLHLZLGE,LLHLZHGE,LLHszGLV,LLHZLV,LHLSZE,LHLLZE,LHLzGLN,LHLZSN,LHLZP,LHLLGZE,LHLHGZE,LHLSZLGE,LHLSZHGE,LHLLZLGE,LHLLZHGE,LHLszGLV,LHLZLV,LHHSZE,LHHLZE,LHHszGLN,LHHZSN,LHHZP,LHHLGZE,LHHHGZE,LHHSZLGE,LHHSZHGE,LHHLZLGE,LHHLZHGE,LHHszGLV,LHHZLV,HLLSZE,HLLLZE,HLLszGLN,HLLZSN,HLLZP,HLLLGZE,HLLHGZE,HLLSZLGE,HLLSZHGE,HLLLZLGE,HLLLZHGE,HLLszGLV,HLLZLV,HLHSZE,HLHLZE,HLHszGLN,HLHZSN,HLHZP,HLHLGZE,HLHHGZE,HLHSZLGE,HLHSZHGE,HLHLZLGE,HLHLZHGE,HLHzGLV,HLHZLV,HHLSZE,HHLLZE,HHLszGLN,HHLZSN,HHLZP,HHLLGZE,HHLHGZE,HHLSZLGE,HHLSZHGE,HHLLZLGE,HHLLZHGE,HHLszGLV,HHLZLV,HHHSZE,HHHLZE,HHHszGLN,HHHZSN,HHHZP,HHHLGZE,HHHHGZE,HHHSZLGE,HHHSZHGE,HHHLZLGE,HHHLZHGE,HHHzGLV,HHHZLV
0,1,1,0.332395,4267.282051,0.092118,0.136241,0.0468,0.072092,55.777778,0.034974,16.187924,52.619069,401447.880342,0.000139,0.005264,0.329223,4041.595041,0.092685,0.135032,0.048497,0.088487,54.123967,0.05055,13.073545,37.394256,506378.396694,0.000195,0.006557,0.423253,5389.137615,0.081727,0.176837,0.043952,0.061338,83.522936,0.037103,38.372294,68.66424,482144.66055,0.000233,0.006893,0.358768,1005.453441,0.081644,0.156649,0.098998,0.039291,81.902834,0.020417,26.717454,15.006042,76684.02834,0.000216,0.000782,0.467778,1732.095563,0.084905,0.223963,0.117955,0.036676,87.587031,0.016853,41.841928,26.506186,120606.409556,0.000237,0.000853,0.370847,2064.168831,0.081689,0.15219,0.093183,0.032513,94.645022,0.013435,37.539577,33.178774,135185.536797,0.000184,0.001163,0.48202,933.145714,0.08702,0.230694,0.140168,0.037676,86.508571,0.020629,41.569834,13.96527,66445.234286,0.000342,0.000471,0.40161,857.132565,0.079139,0.175477,0.139976,0.04612,82.308357,0.020678,33.846041,12.01365,64855.458213,0.000181,0.000377,0.542812,932.856808,0.08389,0.284346,0.171843,0.051644,81.558685,0.039369,44.025494,13.590717,67875.462441,0.000301,0.000373
1,2,3,0.36529,126296.976793,0.085474,0.144822,0.018361,0.064062,63.369198,0.019708,21.434207,1560.312794,11741439.139241,1.2e-05,0.004061,0.297696,236164.827206,0.086154,0.100211,0.010543,0.088409,58.511029,0.025163,15.780939,2936.194052,21765692.819853,9e-06,0.013016,0.329976,129294.751515,0.071785,0.120971,0.019167,0.043853,90.757576,0.015804,31.970295,2109.429015,8897742.248485,1.4e-05,0.003901,0.312066,16467.408734,0.077258,0.129192,0.079179,0.042967,86.218351,0.017992,26.697303,231.724798,1206087.319431,1.3e-05,0.000128,0.492313,20419.688024,0.077712,0.238636,0.102358,0.04826,89.035088,0.030926,43.632262,301.020479,1443521.937452,2.1e-05,0.000107,0.322186,21289.727133,0.079599,0.134323,0.076172,0.047448,81.665815,0.022091,25.632802,298.185309,1573559.201329,1.2e-05,0.000161,0.47625,22003.522485,0.080609,0.226246,0.102328,0.047333,88.863567,0.028923,43.020848,319.552062,1579822.610137,2e-05,0.000108,0.344409,12248.898021,0.080509,0.154848,0.102265,0.041249,85.445967,0.018403,29.45455,174.938419,888762.314307,1.7e-05,7.9e-05,0.561982,15639.256037,0.084626,0.299845,0.142327,0.046396,84.596872,0.032114,47.018072,224.623551,1136188.793633,2.5e-05,5.8e-05
2,3,4,0.463783,2681.596708,0.077275,0.211231,0.075232,0.042894,89.032922,0.020755,43.863485,46.098833,181982.069959,0.000226,0.001451,0.466365,3673.317708,0.076497,0.2162,0.059572,0.041686,83.53125,0.021829,38.897069,59.441431,262127.416667,0.000222,0.002463,0.538364,2080.886364,0.079029,0.279152,0.109589,0.045811,81.096591,0.028539,42.517343,27.631642,169853.911932,0.000214,0.000735,0.522454,697.317804,0.080949,0.267328,0.186878,0.039115,83.843594,0.024129,43.830939,10.48724,48118.916805,0.000203,0.000142,0.63663,1025.156958,0.086536,0.377871,0.193548,0.041255,89.470874,0.031976,57.293787,14.495804,75441.194175,0.000324,0.000191,0.545627,1001.260726,0.083886,0.285304,0.189139,0.037352,84.39769,0.022752,45.798317,14.492723,71365.851485,0.000197,0.000183,0.657868,1056.903226,0.089826,0.401084,0.213793,0.038118,83.92522,0.028839,55.328496,15.589654,74336.068915,0.000311,0.000178,0.546909,1113.296296,0.085665,0.286996,0.16875,0.043064,86.112963,0.029373,49.295965,16.85196,78196.564815,0.000265,0.00026,0.644285,1430.39629,0.085014,0.385654,0.185486,0.042531,87.816189,0.033168,57.47587,19.805782,108992.202361,0.000312,0.000266
3,4,5,0.504747,17466.398467,0.082963,0.244976,0.049781,0.052462,71.676245,0.034445,34.082489,228.625001,1552814.427203,4.8e-05,0.001325,0.447226,27309.764384,0.087273,0.199715,0.034788,0.071166,61.926027,0.042364,24.487675,375.228304,2284086.717808,3.7e-05,0.002922,0.547127,10867.462985,0.075972,0.282597,0.081365,0.050128,85.985899,0.032669,46.551729,152.475494,845603.169213,6.2e-05,0.000462,0.561957,3200.680137,0.085894,0.298404,0.168214,0.036159,81.869095,0.021877,46.714728,45.892264,231556.071713,7.4e-05,7.6e-05,0.666529,3797.787864,0.087239,0.411602,0.19745,0.040759,86.719417,0.031575,59.760839,54.083889,278755.955825,0.000106,6.9e-05,0.558362,3513.479334,0.084597,0.295735,0.166874,0.036395,85.711251,0.022867,49.99434,48.401833,264396.862801,7.8e-05,7.8e-05,0.671574,3869.526781,0.086661,0.41717,0.195092,0.041224,87.590663,0.032129,60.080709,56.521996,279376.838821,0.000113,7.2e-05,0.524007,4641.042254,0.087131,0.26963,0.149359,0.041043,84.423175,0.025053,44.479812,68.914228,329818.756082,6.9e-05,0.000117,0.652527,4587.546567,0.085917,0.395116,0.18005,0.038054,87.543374,0.029315,57.476994,65.330709,339915.441724,9.9e-05,9e-05
4,5,6,0.520329,81713.078125,0.082194,0.257633,0.038619,0.111621,54.939236,0.068561,26.613053,993.438416,7269922.235243,1e-05,0.00078,0.465677,116192.244338,0.083982,0.21454,0.02811,0.116929,53.387366,0.062081,23.61562,1453.191408,10135148.365912,8e-06,0.001559,0.573335,43499.556024,0.074997,0.310005,0.07184,0.043214,92.697609,0.027813,52.244501,657.720517,3066981.481481,2.2e-05,0.000227,0.5682,19458.889503,0.086218,0.305947,0.134264,0.039742,86.719488,0.027214,49.69416,280.872872,1412469.997991,2.4e-05,5.7e-05,0.675641,18042.571315,0.091268,0.422958,0.169415,0.0441,87.024235,0.034863,59.334855,256.324126,1326526.828367,3.2e-05,3.9e-05,0.548408,22223.918287,0.087596,0.287324,0.127885,0.041996,85.561745,0.026828,47.272559,314.501204,1634576.29979,2.1e-05,6.4e-05,0.661552,17341.314609,0.092618,0.405684,0.169681,0.041407,87.453751,0.031926,59.16381,250.730941,1258774.630012,3.4e-05,3.9e-05,0.566224,23329.051232,0.087661,0.30232,0.121468,0.044249,87.31404,0.030284,50.461703,336.860374,1701419.990861,2.4e-05,7.5e-05,0.662644,19303.654436,0.088697,0.40655,0.151251,0.045098,86.925506,0.03535,58.811018,277.861166,1410159.25706,3.2e-05,5e-05
5,6,7,0.49978,49252.218085,0.078203,0.241349,0.031339,0.05011,75.973404,0.026761,37.320928,858.401868,3370036.452128,2.7e-05,0.001742,0.41344,73432.680387,0.084711,0.179429,0.022943,0.041732,72.493947,0.015563,30.883125,1284.824015,4993164.266344,2.1e-05,0.00334,0.53571,30019.25933,0.077098,0.271244,0.058695,0.059822,81.301435,0.035098,43.945632,394.690344,2450291.415311,3e-05,0.000539,0.557175,9349.347082,0.087225,0.294381,0.14422,0.0382,86.824903,0.024936,49.724851,138.89223,656430.296109,4.1e-05,7.5e-05,0.66882,7865.590276,0.090264,0.413986,0.189324,0.040987,86.06137,0.032127,58.299079,111.901723,578606.777942,5.8e-05,4.7e-05,0.531748,9835.146006,0.083888,0.273452,0.142865,0.041333,87.827233,0.025496,48.369669,142.081816,703869.955529,3.5e-05,7.4e-05,0.660083,8525.847887,0.089078,0.403619,0.179373,0.042253,86.347105,0.032225,57.871528,120.170688,634743.660407,5.5e-05,5.3e-05,0.54458,9548.073499,0.085719,0.283201,0.137061,0.039438,88.286239,0.023864,48.845306,138.914032,692740.806043,4.6e-05,8.8e-05,0.646496,9298.970144,0.085931,0.387777,0.163258,0.04354,88.383665,0.033547,58.145313,133.753531,680441.772135,5.7e-05,6.6e-05
6,7,8,0.464252,250109.006057,0.083285,0.212738,0.023155,0.058606,65.245626,0.024312,29.511878,3250.824387,21613975.513459,6e-06,0.000938,0.357847,495443.141304,0.090571,0.138332,0.012941,0.084518,53.602657,0.030855,16.794121,6746.649341,41562043.088164,3e-06,0.003298,0.50295,104469.439672,0.073761,0.243482,0.057333,0.053627,90.260192,0.030314,45.340371,1541.775479,7614989.922025,9e-06,0.000163,0.512752,42336.413564,0.081255,0.256139,0.118269,0.042998,87.400266,0.02668,45.026723,618.694484,3041093.354122,9e-06,3.2e-05,0.624867,37091.165739,0.089012,0.365402,0.158498,0.040968,87.475457,0.029848,55.968235,531.068396,2709670.894078,1.4e-05,2e-05,0.502756,41505.977251,0.08297,0.246681,0.115703,0.039607,88.467375,0.023007,45.745764,603.30717,2958521.335377,9e-06,3.2e-05,0.617259,37369.046109,0.090177,0.357376,0.156472,0.043627,86.774992,0.031843,54.198495,532.432922,2747631.933958,1.4e-05,2.1e-05,0.558095,38286.001061,0.085231,0.295615,0.133185,0.041548,87.83463,0.025775,50.240464,551.151249,2794778.049269,1.2e-05,2.7e-05,0.637759,39126.484491,0.091167,0.379521,0.156292,0.044126,85.894562,0.032983,55.283642,567.78941,2836637.486002,1.4e-05,2.1e-05
7,8,9,0.416928,69813.537037,0.090311,0.178431,0.025922,0.046186,63.530864,0.017568,27.847188,980.749386,7278712.723765,2.1e-05,0.002306,0.370614,110870.48951,0.096745,0.146038,0.017161,0.038085,63.310023,0.011426,23.515938,1511.346833,11778175.081585,2e-05,0.005386,0.546741,32440.877732,0.071326,0.28175,0.068283,0.049066,89.904312,0.030014,49.321945,474.039076,2360738.246308,2.5e-05,0.00027,0.54462,21323.573465,0.085797,0.281979,0.119821,0.044005,83.758738,0.027294,46.677788,306.076562,1526464.214795,2.1e-05,8.3e-05,0.654307,15230.624296,0.085735,0.397438,0.165834,0.045189,88.289003,0.035264,58.917673,214.340786,1123323.656625,3.5e-05,4.8e-05,0.530903,17000.824277,0.085349,0.272214,0.128135,0.039928,85.914522,0.025923,46.337135,242.879569,1220702.060375,2.2e-05,6.7e-05,0.657439,14815.201209,0.089097,0.400951,0.167755,0.043244,87.241112,0.031767,58.675034,213.393817,1076270.940508,3.8e-05,4.8e-05,0.552987,17039.658291,0.084842,0.290746,0.129032,0.0426,86.284862,0.028838,48.129204,245.816618,1233643.661118,2.7e-05,7.4e-05,0.643689,15369.5,0.087261,0.385007,0.15746,0.04476,89.181842,0.033586,58.817859,220.072321,1120813.743827,3.7e-05,5.2e-05
8,9,10,0.5434,47614.856279,0.086169,0.279329,0.052912,0.085297,54.533244,0.053974,27.993719,470.417206,5180425.787777,1.4e-05,0.000429,0.514159,71413.815029,0.087769,0.251198,0.036798,0.106397,50.538536,0.068932,23.377606,737.213871,7622689.186898,1.2e-05,0.000969,0.545579,40848.010905,0.070686,0.281606,0.065068,0.044295,92.503272,0.028063,50.964177,661.378834,2736099.069248,2.2e-05,0.000268,0.551878,14856.365083,0.087465,0.290833,0.145106,0.040632,86.893732,0.025701,49.104273,213.849669,1066385.80191,2.5e-05,4.6e-05,0.645946,17747.615014,0.094759,0.388416,0.162801,0.038589,85.35128,0.029139,56.823961,252.729356,1302391.432699,3.2e-05,4.5e-05,0.556202,15163.319831,0.085455,0.29528,0.143106,0.037072,87.842694,0.02313,50.618374,217.66115,1104052.467197,2.7e-05,5e-05,0.655362,15636.475059,0.090088,0.399213,0.166257,0.041003,87.287305,0.030545,58.548996,222.931638,1149758.119032,3.5e-05,4e-05,0.53782,17211.892702,0.087516,0.27759,0.130065,0.042066,85.405501,0.025759,46.16847,248.146333,1262051.030773,2.6e-05,6.5e-05,0.646582,16343.44229,0.089129,0.38828,0.157495,0.041767,87.695897,0.031493,57.489087,235.060302,1198504.114292,3.6e-05,4.8e-05
9,10,11,0.534797,303764.598191,0.073682,0.272447,0.03222,0.085731,69.120618,0.044739,37.148072,3759.784343,26323212.936675,5e-06,0.000435,0.46468,465056.05257,0.072121,0.211307,0.020769,0.095349,67.620327,0.04529,30.546443,5776.569487,40715277.38493,3e-06,0.001082,0.59131,150174.063904,0.076233,0.325963,0.069655,0.045971,88.187851,0.030934,52.524196,2205.43914,10632460.155372,7e-06,8.5e-05,0.567352,62477.409706,0.087578,0.304644,0.127835,0.041116,86.95185,0.027573,50.543423,894.745347,4555276.31741,8e-06,2.4e-05,0.677049,62221.303236,0.099505,0.42433,0.152734,0.041162,86.281822,0.032605,59.499371,895.103285,4530596.815102,1.2e-05,1.9e-05,0.529099,72744.383993,0.090828,0.271494,0.117649,0.03945,85.735493,0.024773,46.233596,1054.510662,5251345.566802,7e-06,3e-05,0.659586,59725.660382,0.094431,0.403641,0.153519,0.042168,86.866587,0.032629,58.055782,854.244725,4364064.515274,1.1e-05,1.8e-05,0.557809,68310.467302,0.087621,0.295451,0.113681,0.043658,86.49909,0.02852,48.614835,986.331708,4990460.21203,8e-06,3.2e-05,0.654794,67871.490223,0.094782,0.398,0.13466,0.041782,87.683234,0.031694,58.858218,971.840818,4977074.224878,1.2e-05,2.4e-05
