,Num,Dnum,ROISRE,ROILRE,ROIGLN,ROIRLN,ROIRP,ROILGRE,ROIHGRE,ROISRLGE,ROISRHGE,ROILRLGE,ROILRHGE,ROIGLV,ROIRLV,LLLSRE,LLLLRE,LLLGLN,LLLRLN,LLLRP,LLLLGRE,LLLHGRE,LLLSRLGE,LLLSRHGE,LLLLRLGE,LLLLRHGE,LLLGLV,LLLRLV,LLHSRE,LLHLRE,LLHGLN,LLHRLN,LLHRP,LLHLGRE,LLHHGRE,LLHSRLGE,LLHSRHGE,LLHLRLGE,LLHLRHGE,LLHGLV,LLHRLV,LHLSRE,LHLLRE,LHLGLN,LHLRLN,LHLRP,LHLLGRE,LHLHGRE,LHLSRLGE,LHLSRHGE,LHLLRLGE,LHLLRHGE,LHLGLV,LHLRLV,LHHSRE,LHHLRE,LHHGLN,LHHRLN,LHHRP,LHHLGRE,LHHHGRE,LHHSRLGE,LHHSRHGE,LHHLRLGE,LHHLRHGE,LHHGLV,LHHRLV,HLLSRE,HLLLRE,HLLGLN,HLLRLN,HLLRP,HLLLGRE,HLLHGRE,HLLSRLGE,HLLSRHGE,HLLLRLGE,HLLLRHGE,HLLGLV,HLLRLV,HLHSRE,HLHLRE,HLHGLN,HLHRLN,HLHRP,HLHLGRE,HLHHGRE,HLHSRLGE,HLHSRHGE,HLHLRLGE,HLHLRHGE,HLHGLV,HLHRLV,HHLSRE,HHLLRE,HHLGLN,HHLRLN,HHLRP,HHLLGRE,HHLHGRE,HHLSRLGE,HHLSRHGE,HHLLRLGE,HHLLRHGE,HHLGLV,HHLRLV,HHHSRE,HHHLRE,HHHGLN,HHHRLN,HHHRP,HHHLGRE,HHHHGRE,HHHSRLGE,HHHSRHGE,HHHLRLGE,HHHLRHGE,HHHGLV,HHHRLV
0,1,1,0.977623,1.095509,0.015761,0.942474,0.970017,0.001147,4352.774639,0.001139,4267.1632,0.00118,4716.891222,0.096838,2.5e-05,0.974165,1.114378,0.015014,0.934051,0.964982,0.001218,4192.722934,0.001207,4098.90342,0.001269,4613.173049,0.053996,1.4e-05,0.982215,1.075365,0.016898,0.953952,0.976131,0.001226,4712.139752,0.001219,4630.050312,0.001251,5060.506513,0.128953,2.7e-05,0.984299,1.066352,0.016797,0.959257,0.978871,0.002606,4755.65515,0.002602,4683.404292,0.002625,5062.591317,0.162554,3.5e-05,0.987368,1.051697,0.015957,0.966966,0.983229,0.001802,4620.507602,0.001798,4566.247705,0.001819,4842.419912,0.142614,3.3e-05,0.985887,1.060215,0.017078,0.963272,0.980945,0.001627,4468.829439,0.001623,4407.213585,0.001643,4730.792831,0.083851,2e-05,0.989295,1.044296,0.015623,0.971958,0.985675,0.00282,4387.834074,0.002806,4343.314256,0.002879,4572.517297,0.10614,2.6e-05,0.988701,1.047126,0.016059,0.970428,0.984847,0.002642,4677.518444,0.002638,4626.690671,0.002656,4887.114598,0.119909,2.6e-05,0.991396,1.035323,0.015086,0.977389,0.988496,0.001724,4622.269866,0.001721,4587.10817,0.001737,4766.053206,0.138942,3.1e-05
1,2,3,0.972921,1.117261,0.014936,0.930905,0.963675,0.000697,4197.134868,0.000681,4103.049749,0.000766,4600.667708,0.048196,1.4e-05,0.963292,1.167177,0.015432,0.907868,0.950146,0.000444,4518.46349,0.00043,4382.63376,0.000506,5125.044122,0.053948,1.4e-05,0.982516,1.073637,0.016303,0.954705,0.976584,0.00123,4572.475302,0.001223,4493.691264,0.00126,4903.778457,0.097408,2.2e-05,0.980437,1.083923,0.01931,0.949541,0.973627,0.001493,4545.384393,0.001486,4458.59397,0.001523,4917.199304,0.114479,2.6e-05,0.984408,1.065137,0.018502,0.959474,0.979154,0.000767,4461.205496,0.000762,4394.738682,0.000788,4738.769286,0.130493,3e-05,0.983373,1.070253,0.016862,0.956883,0.977675,0.001025,4547.151934,0.001018,4473.557544,0.001056,4857.848556,0.099546,2.2e-05,0.986396,1.057017,0.016642,0.964555,0.981736,0.00087,4513.560745,0.000865,4454.925153,0.00089,4759.2329,0.117437,2.7e-05,0.986345,1.057004,0.016274,0.964413,0.981704,0.000875,4522.371698,0.00087,4464.066688,0.000898,4765.653021,0.11418,2.7e-05,0.987915,1.049696,0.015796,0.968393,0.983902,0.001108,4526.930286,0.001105,4475.431695,0.001123,4738.80545,0.142288,3.3e-05
2,3,4,0.983906,1.067379,0.015477,0.958201,0.978476,0.001727,4702.819296,0.001718,4628.255147,0.001765,5015.258655,0.114816,2.5e-05,0.97927,1.087559,0.015326,0.946516,0.972337,0.001497,4651.405343,0.001488,4556.271593,0.001532,5052.072617,0.0906,2e-05,0.986682,1.05586,0.016029,0.965295,0.982103,0.001605,4570.198033,0.001601,4509.088488,0.001623,4827.177926,0.117354,2.6e-05,0.987146,1.054378,0.015739,0.966472,0.982691,0.000876,4486.041051,0.000872,4431.149172,0.000895,4719.920791,0.066855,1.6e-05,0.988564,1.046904,0.015956,0.970056,0.984775,0.001165,4543.21087,0.001162,4493.627817,0.001179,4746.727791,0.144625,3.3e-05,0.988133,1.049397,0.015363,0.968984,0.984092,0.001208,4602.212044,0.001205,4548.876699,0.001222,4823.688769,0.112605,2.5e-05,0.989574,1.042816,0.015434,0.972658,0.986099,0.001439,4531.365575,0.001436,4487.009486,0.001451,4713.193689,0.109995,2.5e-05,0.989846,1.042112,0.015016,0.973374,0.986397,0.001604,4580.949828,0.001601,4537.346372,0.001616,4760.869114,0.106744,2.5e-05,0.99027,1.040047,0.015,0.974463,0.987001,0.000918,4530.559348,0.000915,4488.733753,0.00093,4702.451765,0.104619,2.4e-05
3,4,5,0.972988,1.116169,0.017186,0.931041,0.963877,0.000591,4077.165685,0.000579,3983.376662,0.000645,4479.379173,0.077562,2.2e-05,0.963213,1.164002,0.017243,0.907529,0.950571,0.000535,4331.30209,0.000522,4197.966763,0.000597,4921.21707,0.059036,1.6e-05,0.98196,1.075847,0.017534,0.953299,0.975872,0.000985,4604.186726,0.000979,4523.370509,0.00101,4943.468394,0.127635,2.8e-05,0.979954,1.085657,0.020849,0.948289,0.973071,0.001304,4530.778303,0.001299,4441.316153,0.001326,4912.976091,0.090515,2.1e-05,0.984392,1.065456,0.019344,0.959452,0.979087,0.001149,4431.773689,0.00114,4365.750275,0.001189,4708.106859,0.136091,3.2e-05,0.984673,1.065103,0.016521,0.960213,0.979325,0.001135,4555.048187,0.001125,4487.908451,0.001175,4840.416868,0.095898,2.2e-05,0.987072,1.053776,0.016239,0.96626,0.982699,0.001047,4491.823272,0.001043,4435.198578,0.001062,4727.044144,0.114635,2.7e-05,0.986493,1.056293,0.016136,0.964787,0.981913,0.000997,4544.688577,0.000988,4486.132807,0.001033,4788.711499,0.114177,2.6e-05,0.988397,1.047955,0.015851,0.969649,0.984492,0.00116,4524.606946,0.001157,4474.733415,0.001173,4730.880547,0.112897,2.6e-05
4,5,6,0.973149,1.115157,0.01376,0.931411,0.964145,0.000865,5231.266473,0.000852,5075.295039,0.000921,5904.449267,0.102839,1.7e-05,0.968546,1.138607,0.012905,0.92032,0.957671,0.000858,5821.990093,0.00084,5615.539693,0.000931,6738.870358,0.089484,1.4e-05,0.983283,1.069834,0.015683,0.956613,0.977685,0.000933,4527.859833,0.000926,4455.289131,0.000961,4830.864625,0.109168,2.5e-05,0.98355,1.069009,0.016879,0.957294,0.977999,0.000717,4498.424653,0.000711,4426.845579,0.000741,4798.462133,0.082663,1.9e-05,0.98774,1.05047,0.015425,0.967945,0.983665,0.00082,4532.396591,0.000816,4479.629565,0.000836,4749.391917,0.108915,2.5e-05,0.983915,1.067654,0.016484,0.958245,0.978437,0.001057,4522.643482,0.00105,4452.493388,0.001085,4817.385491,0.095354,2.2e-05,0.987014,1.053753,0.016387,0.966097,0.982665,0.000904,4521.639641,0.0009,4465.52764,0.00092,4753.532062,0.095563,2.2e-05,0.987526,1.051989,0.015173,0.967434,0.983278,0.000917,4560.781096,0.000913,4506.374405,0.000933,4787.598766,0.088861,2e-05,0.988184,1.048615,0.015314,0.969083,0.984253,0.000921,4538.543647,0.000918,4487.344078,0.000935,4749.01653,0.108382,2.5e-05
5,6,7,0.977173,1.097676,0.017086,0.941362,0.969397,0.000704,4354.769253,0.000696,4267.909567,0.000738,4723.095194,0.0843,2.2e-05,0.970736,1.128354,0.016969,0.925627,0.960598,0.000545,4325.328406,0.000533,4216.295612,0.000597,4797.744873,0.081935,2.2e-05,0.983485,1.068773,0.016532,0.957114,0.977982,0.001032,4572.214124,0.001022,4497.681869,0.001071,4881.927567,0.119981,2.7e-05,0.984491,1.064975,0.016416,0.959694,0.979233,0.001228,4564.768696,0.001222,4494.924185,0.001252,4857.606434,0.099139,2.2e-05,0.988077,1.049249,0.015421,0.968826,0.984075,0.000894,4532.504493,0.00089,4480.97743,0.000912,4745.035668,0.13746,3.2e-05,0.982917,1.07229,0.017627,0.955723,0.977069,0.000852,4519.675318,0.000845,4444.32536,0.00088,4838.435854,0.087906,2e-05,0.986706,1.055168,0.017349,0.965316,0.982236,0.000973,4496.83009,0.000969,4439.984468,0.000988,4732.461819,0.122795,2.9e-05,0.98715,1.053406,0.015931,0.966454,0.982811,0.000956,4547.572037,0.000951,4491.779975,0.000975,4779.477232,0.09199,2.1e-05,0.98781,1.050291,0.016257,0.96813,0.983738,0.00112,4530.887769,0.001112,4477.76006,0.001152,4750.200298,0.115713,2.7e-05
6,7,8,0.97407,1.111373,0.013322,0.933685,0.965311,0.000724,4614.680294,0.000711,4496.586497,0.000777,5120.819315,0.062011,1.4e-05,0.967462,1.144038,0.013348,0.917698,0.956204,0.000787,4629.166582,0.000768,4483.115289,0.000873,5271.495465,0.052936,1.2e-05,0.983721,1.067839,0.01526,0.957716,0.978284,0.000978,4581.815461,0.000971,4508.871956,0.001006,4885.963368,0.090305,2e-05,0.984509,1.065345,0.015827,0.959758,0.97919,0.000977,4534.036771,0.000972,4466.552577,0.001002,4818.408,0.078011,1.8e-05,0.98743,1.051911,0.015312,0.967158,0.983229,0.000845,4539.772548,0.000841,4485.284517,0.000862,4764.634502,0.108082,2.5e-05,0.985253,1.062121,0.015257,0.961647,0.980188,0.001022,4544.557073,0.001014,4480.434806,0.001052,4814.408307,0.075222,1.7e-05,0.986999,1.053636,0.015599,0.966044,0.982677,0.00086,4527.489058,0.000856,4471.473319,0.000876,4758.401756,0.090221,2.1e-05,0.987389,1.052831,0.01506,0.967095,0.983055,0.000749,4546.835036,0.000745,4491.946586,0.000767,4776.692453,0.074468,1.7e-05,0.988546,1.047447,0.015083,0.970041,0.984671,0.000922,4548.546566,0.000918,4499.052151,0.000936,4753.467934,0.08813,2e-05
7,8,9,0.984336,1.064806,0.012959,0.959252,0.979165,0.000629,4619.354024,0.000623,4544.890349,0.000653,4928.053509,0.093269,2e-05,0.98022,1.082181,0.013015,0.948839,0.973783,0.000689,4694.976888,0.000681,4601.419162,0.000723,5084.522518,0.092498,2e-05,0.987111,1.052932,0.013766,0.966321,0.982861,0.000796,4609.166709,0.000789,4552.027517,0.000823,4844.606963,0.122734,2.8e-05,0.987544,1.051852,0.014087,0.967468,0.983316,0.000903,4573.076886,0.000897,4517.56954,0.000925,4804.061342,0.082626,1.9e-05,0.988784,1.046101,0.014508,0.97063,0.985046,0.000787,4549.366171,0.000783,4500.442894,0.000801,4750.316307,0.129193,3e-05,0.986557,1.05568,0.01511,0.964928,0.982059,0.001331,4573.382356,0.001326,4514.032445,0.001352,4818.89795,0.10936,2.4e-05,0.988856,1.045735,0.014755,0.970804,0.985159,0.000985,4572.611582,0.000981,4524.300927,0.000998,4770.963974,0.105322,2.4e-05,0.988719,1.046254,0.014414,0.970454,0.984981,0.001163,4565.70847,0.001155,4516.386552,0.001194,4767.9273,0.1296,2.9e-05,0.989373,1.043675,0.014648,0.972147,0.985823,0.00088,4546.177837,0.000877,4500.571876,0.000893,4733.165215,0.103665,2.4e-05
8,9,10,0.975766,1.103632,0.017196,0.937861,0.967581,0.000406,4391.705161,0.000397,4305.740035,0.000446,4755.73619,0.080195,2.3e-05,0.972414,1.121129,0.016244,0.929735,0.962765,0.000471,4011.061141,0.000458,3924.706427,0.000526,4383.830034,0.067277,2.1e-05,0.98286,1.071415,0.015967,0.955529,0.977163,0.001077,4658.9323,0.001071,4578.850628,0.001101,4992.760413,0.118768,2.6e-05,0.985088,1.062366,0.016256,0.961205,0.980038,0.001168,4604.321269,0.001162,4537.373489,0.001192,4884.310919,0.09846,2.2e-05,0.98745,1.051946,0.016056,0.967216,0.983236,0.000938,4498.755187,0.000929,4445.346162,0.000977,4719.282645,0.112843,2.6e-05,0.983891,1.068162,0.016661,0.958202,0.978342,0.001095,4573.512198,0.001089,4501.997853,0.001121,4876.050723,0.100145,2.2e-05,0.986006,1.058223,0.017231,0.963535,0.981292,0.000735,4466.564883,0.000731,4406.624212,0.000751,4715.571782,0.120257,2.8e-05,0.986243,1.057209,0.016473,0.964129,0.981615,0.000859,4510.628248,0.000855,4451.306704,0.000876,4757.148116,0.095211,2.2e-05,0.986679,1.055068,0.017416,0.965235,0.982234,0.000712,4478.855841,0.000708,4421.571749,0.000727,4715.865947,0.122889,2.9e-05
9,10,11,0.971184,1.125444,0.0134,0.926679,0.961324,0.000545,4605.985402,0.000532,4483.320438,0.000604,5135.837993,0.04808,1.1e-05,0.963431,1.165558,0.013452,0.90815,0.950481,0.00046,4631.02255,0.000442,4472.676846,0.000541,5337.596893,0.04751,1.1e-05,0.983013,1.071074,0.015591,0.955937,0.97731,0.000997,4575.12908,0.000989,4498.834228,0.00103,4894.18629,0.112253,2.5e-05,0.983427,1.070085,0.016415,0.957021,0.977739,0.000822,4540.15347,0.000815,4467.168753,0.000848,4848.715562,0.096087,2.2e-05,0.98653,1.056019,0.015837,0.964873,0.981984,0.000852,4538.336061,0.000848,4480.124049,0.000869,4780.325026,0.091452,2.1e-05,0.984027,1.067599,0.015747,0.958555,0.978514,0.000976,4559.126083,0.00097,4488.366407,0.001,4858.455977,0.078347,1.8e-05,0.986966,1.053884,0.015725,0.965968,0.982612,0.000905,4533.11106,0.000901,4476.911488,0.000921,4765.27974,0.091045,2.1e-05,0.986037,1.058652,0.015951,0.963643,0.981243,0.000907,4524.874291,0.000902,4464.837492,0.000925,4776.901958,0.06771,1.6e-05,0.987953,1.049847,0.015583,0.968511,0.9839,0.000859,4537.820267,0.000855,4485.895744,0.000873,4752.608676,0.110185,2.5e-05
