,Num,Dnum,ROICoarseness,ROIContrast,ROIBusyness,ROIComplexity,ROIStrength,LLLCoarseness,LLLContrast,LLLBusyness,LLLComplexity,LLLStrength,LLHCoarseness,LLHContrast,LLHBusyness,LLHComplexity,LLHStrength,LHLCoarseness,LHLContrast,LHLBusyness,LHLComplexity,LHLStrength,LHHCoarseness,LHHContrast,LHHBusyness,LHHComplexity,LHHStrength,HLLCoarseness,HLLContrast,HLLBusyness,HLLComplexity,HLLStrength,HLHCoarseness,HLHContrast,HLHBusyness,HLHComplexity,HLHStrength,HHLCoarseness,HHLContrast,HHLBusyness,HHLComplexity,HHLStrength,HHHCoarseness,HHHContrast,HHHBusyness,HHHComplexity,HHHStrength
32,33,1001,0.000308,0.202244,0.378914,24857.34156,1.826836,0.000424,0.15314,0.280627,18483.093644,2.460203,0.000342,0.163212,0.307347,23518.872365,1.899023,0.000132,0.495938,0.823184,68119.357861,0.64009,0.000131,0.47389,0.807595,68152.978901,0.634574,0.000128,0.425602,0.806836,66517.22623,0.648719,0.000131,0.429645,0.779795,66507.027056,0.644295,0.000109,0.611457,0.978558,86473.726279,0.498226,0.00011,0.554687,0.947965,84232.348603,0.510285
33,34,1002,0.001007,0.363706,0.076753,37788.360593,6.75732,0.001193,0.417058,0.063794,35535.830965,7.927745,0.001155,0.307351,0.09685,38113.977056,5.997621,0.000555,0.37652,0.167469,74204.547796,2.964932,0.000572,0.450405,0.168486,79690.218647,2.747041,0.000555,0.389401,0.165255,75137.14328,2.916671,0.000569,0.471602,0.168785,80659.665239,2.690929,0.00054,0.520746,0.18355,86552.463823,2.55045,0.000562,0.476914,0.172241,83806.717469,2.612829
34,35,1003,0.001108,0.311724,0.092618,39080.316181,5.693638,0.001241,0.317649,0.08025,36806.425547,6.57712,0.000977,0.364718,0.108924,50087.266545,5.133145,0.000632,0.54161,0.159508,83671.560531,2.997955,0.00062,0.564666,0.164643,87121.903235,2.884911,0.000613,0.555027,0.162994,86335.737914,2.916879,0.000607,0.597533,0.169993,90259.299726,2.787221,0.000602,0.629893,0.173024,92829.38626,2.725557,0.000593,0.606688,0.175021,93218.911141,2.718841
35,36,1004,0.001387,0.483719,0.055419,46825.920958,9.738613,0.001673,0.398421,0.048506,38284.333161,10.952595,0.001438,0.383576,0.077358,50562.703459,7.694089,0.000895,0.630368,0.116612,89319.380753,4.215883,0.000911,0.659149,0.114848,91536.652712,4.10647,0.000857,0.673251,0.123532,92699.304875,4.051314,0.000872,0.788278,0.126202,98684.017698,3.821956,0.000859,0.790304,0.129052,100357.771295,3.783121,0.000866,0.780051,0.128808,98668.063224,3.731768
36,37,1005,0.000826,0.608527,0.168058,56864.036216,4.105609,0.001151,0.39158,0.114217,39854.893977,5.827658,0.000781,0.522974,0.148955,62472.888056,3.669638,0.000662,0.603397,0.169653,74131.319166,3.073271,0.000584,0.709884,0.193337,87846.815636,2.587093,0.000619,0.682553,0.187329,80896.217101,2.840844,0.000556,0.755892,0.20656,92185.197473,2.485693,0.000535,0.822049,0.220565,95458.924996,2.32112,0.000511,0.844736,0.226474,101528.261872,2.25848
37,38,1006,0.003593,0.564117,0.054115,38457.162986,18.514562,0.003883,0.461012,0.041127,37055.287984,21.908284,0.002559,0.436932,0.042773,54389.005907,13.103283,0.001603,0.822221,0.071032,98452.04269,7.403967,0.001595,0.800869,0.071215,96252.02669,6.950864,0.001603,0.816349,0.073924,91800.866067,7.164058,0.001574,0.83214,0.073855,96777.457643,6.952111,0.001449,0.93427,0.080302,107954.305957,6.602047,0.001514,0.895189,0.077793,100525.797402,6.467612
38,39,1007,0.000802,0.412062,0.111569,32325.561313,5.313715,0.001152,0.302792,0.073319,26258.193584,7.457461,0.000786,0.352868,0.124525,50510.737198,4.016745,0.000674,0.331168,0.138588,55009.114986,3.647529,0.000625,0.447673,0.151866,69347.357479,2.874613,0.000642,0.370846,0.148089,59599.427062,3.404621,0.000586,0.506133,0.170823,76238.854074,2.670183,0.000589,0.462218,0.163863,74213.608998,2.724977,0.000563,0.592658,0.180721,84194.590775,2.408909
39,40,1008,0.000655,0.29123,0.126705,37425.422397,4.029974,0.000932,0.273392,0.082468,31361.249728,5.817706,0.000621,0.390425,0.164048,53095.289618,3.022215,0.000508,0.359832,0.183551,59565.243961,2.66008,0.000466,0.468664,0.212865,73066.54532,2.187268,0.000501,0.424203,0.195993,63083.862619,2.534174,0.000435,0.585902,0.241857,81500.426726,2.001907,0.000449,0.497296,0.222712,78187.522441,2.047931,0.00042,0.602799,0.246199,86691.568314,1.854423
40,41,1009,0.003913,0.321081,0.024737,25657.546227,21.874584,0.004913,0.252647,0.020321,20134.189673,26.560415,0.003756,0.207347,0.030871,20890.745647,18.608096,0.001325,0.553933,0.081777,70417.172249,6.777624,0.001345,0.420361,0.075551,68206.312894,6.853232,0.001372,0.439831,0.075869,66402.977602,7.138595,0.001321,0.565108,0.082993,75123.702059,6.236779,0.0011,0.757391,0.103174,90357.018942,4.857037,0.001149,0.570216,0.091409,82855.280804,5.282962
41,42,1010,0.001728,0.555319,0.064107,33448.566926,9.468491,0.002046,0.445905,0.055416,27630.770749,10.981601,0.001415,0.342378,0.080811,42273.868998,7.451028,0.000813,0.530974,0.124786,76678.549372,3.843932,0.000785,0.546527,0.12985,82097.251229,3.634565,0.000791,0.624921,0.133249,83040.011941,3.591123,0.000742,0.675916,0.142586,89378.194631,3.362235,0.000737,0.705353,0.146091,95235.258228,3.170949,0.000719,0.723331,0.149707,96640.854626,3.12164
42,43,1012,0.000839,0.67242,0.174197,49379.628443,4.24951,0.000955,0.523783,0.144883,42283.737364,4.895775,0.000797,0.387576,0.140153,46288.771502,4.277837,0.000471,0.666334,0.22857,86950.067248,2.098983,0.000457,0.722523,0.239997,92133.976901,2.007256,0.000453,0.712358,0.249541,90181.854955,2.078686,0.000437,0.795041,0.261243,95575.878488,1.951294,0.000446,0.737128,0.243029,95382.381624,1.919184,0.000437,0.783827,0.254154,98487.09885,1.869861
43,44,1013,0.001515,0.514062,0.064202,47232.033393,8.650983,0.001779,0.419706,0.057546,39961.678698,10.042279,0.001366,0.393323,0.084967,51690.782473,7.121768,0.000832,0.740031,0.133226,92832.633385,3.803192,0.000827,0.632982,0.128653,91698.078357,3.892573,0.000787,0.751362,0.14172,99353.842685,3.593657,0.00082,0.691955,0.130686,95548.372626,3.710944,0.000767,0.841868,0.15222,101719.637065,3.38832,0.000801,0.649547,0.130342,95791.541051,3.691821
44,45,1014,0.001077,0.27863,0.087938,27626.484327,6.69642,0.001246,0.269901,0.073542,25739.025101,7.832581,0.000817,0.308403,0.132732,41291.149738,4.544498,0.000488,0.490523,0.199435,77872.374125,2.281281,0.000473,0.539397,0.20942,83211.873222,2.155092,0.000476,0.514524,0.208879,81155.103833,2.228694,0.000453,0.645586,0.230403,89870.690475,2.022252,0.000483,0.552145,0.204839,83831.073312,2.127101,0.000478,0.582799,0.209491,85781.794048,2.074367
45,46,1015,0.002156,0.369556,0.048453,31888.060104,11.265455,0.002502,0.325382,0.044242,27279.485108,13.021685,0.002664,0.197933,0.049693,21699.897011,14.436721,0.001084,0.457187,0.097113,59932.053817,5.264816,0.000923,0.545828,0.117028,72662.829781,4.317753,0.000962,0.49724,0.110696,65518.889278,4.851083,0.000862,0.496768,0.123761,72317.384602,4.253742,0.000832,0.62903,0.126861,83016.078669,3.712166,0.000823,0.594928,0.126177,84560.914873,3.674332
46,47,1017,0.007284,0.744221,0.009418,46323.38438,61.741182,0.008313,0.679934,0.008527,41435.22781,63.254492,0.007651,0.52819,0.021608,38981.579685,34.200703,0.004484,0.509891,0.025345,60159.408779,20.22351,0.004379,0.591625,0.026684,61265.754241,18.409944,0.004499,0.540595,0.024445,62555.138686,20.610573,0.00409,0.753731,0.029056,73731.290122,16.397706,0.004013,0.820725,0.029597,83970.402624,16.383022,0.003707,0.902883,0.032842,84327.981239,14.664201
47,48,1019,0.002243,0.517836,0.036111,42017.565993,13.413556,0.002678,0.490685,0.031204,37370.81484,15.741643,0.002172,0.354406,0.055701,39431.694569,11.23571,0.001151,0.549569,0.088253,81501.159938,5.551687,0.001129,0.512116,0.087122,83111.168433,5.421191,0.001181,0.39361,0.080529,72460.587441,6.080154,0.001144,0.586461,0.089555,85042.825001,5.289732,0.001157,0.67675,0.090335,91017.199378,4.943415,0.001109,0.645607,0.092822,91681.918308,4.918526
48,49,1020,0.001321,0.644669,0.058245,65540.178157,8.780944,0.001532,0.614136,0.050152,56991.162406,10.140791,0.001191,0.658287,0.089198,83264.889095,5.521208,0.001136,0.634024,0.089815,86097.50117,5.302061,0.001098,0.709303,0.097502,94365.057503,4.874394,0.001134,0.682687,0.09284,87413.926823,5.291188,0.001052,0.852392,0.111067,97756.502568,4.467808,0.001044,0.756643,0.105881,99540.348933,4.68668,0.001036,0.777355,0.106008,101412.623575,4.587588
49,50,1022,0.000845,0.404118,0.079155,39865.352169,6.968093,0.001074,0.374166,0.067103,31685.615251,8.036077,0.000827,0.321844,0.140272,39892.827716,4.389191,0.000435,0.478546,0.225102,80607.954775,2.150877,0.000429,0.49227,0.231039,84788.664128,2.049545,0.000427,0.463304,0.226641,81436.429182,2.124509,0.000445,0.466613,0.215792,80529.382498,2.125269,0.000431,0.592779,0.237505,90267.212639,1.921942,0.000421,0.615432,0.24621,92762.318895,1.878495
50,51,1023,0.001843,0.470273,0.045131,37686.74402,11.543521,0.002126,0.449585,0.040327,33216.241163,13.323871,0.001573,0.313352,0.070837,41085.339374,8.428537,0.000823,0.675751,0.132813,88959.880498,3.81649,0.000814,0.63787,0.129853,89644.556487,3.786117,0.000817,0.618058,0.127425,88813.881184,3.781351,0.000824,0.652769,0.130253,90031.92142,3.740344,0.000729,0.817903,0.15549,104734.341598,3.307139,0.000757,0.781916,0.1474,100776.436468,3.377582
51,52,1024,0.001279,0.244099,0.070422,40598.359016,8.520635,0.001529,0.224508,0.06047,33551.647967,9.953455,0.001401,0.31717,0.075069,41719.011449,7.547155,0.000762,0.644902,0.141335,91138.727156,3.629986,0.000786,0.641563,0.136965,90631.404723,3.626995,0.00075,0.563933,0.139455,88901.464123,3.59341,0.000748,0.604671,0.140571,93559.284833,3.551093,0.000768,0.744351,0.140988,96986.02004,3.369293,0.000747,0.736386,0.144709,97503.752543,3.353284
52,53,1025,0.001933,0.396476,0.052915,32210.89678,9.977678,0.002159,0.362346,0.047159,30855.593011,11.335267,0.001786,0.347756,0.070635,39164.5698,9.284909,0.000948,0.614991,0.109393,84128.215836,4.172735,0.000912,0.683812,0.117776,89210.321672,3.987,0.000945,0.587623,0.107778,85616.585392,4.240642,0.000895,0.71803,0.123099,88470.089381,3.880107,0.000881,0.740434,0.123743,97384.151675,3.807449,0.000872,0.714758,0.124042,97038.701677,3.825905
53,54,1026,0.001556,0.347089,0.064329,30717.185434,8.469186,0.00198,0.224205,0.05213,23059.223002,10.649855,0.001879,0.191713,0.064464,23274.540684,10.148421,0.000746,0.378149,0.137595,58374.577993,3.807359,0.000684,0.430825,0.1479,65103.424571,3.380385,0.000686,0.481554,0.158925,65565.116161,3.376937,0.00065,0.541909,0.165444,71431.420675,3.097388,0.000557,0.714634,0.19982,90796.323232,2.456947,0.000558,0.681258,0.194209,89258.284954,2.463176
54,55,1027,0.000408,0.29973,0.247465,33757.739771,2.16054,0.000503,0.339032,0.180072,34258.085274,2.887715,0.00036,0.335262,0.299678,44496.268679,1.903952,0.000218,0.520791,0.472964,79736.947485,1.04315,0.000209,0.554004,0.487428,85079.605063,0.963871,0.000214,0.448234,0.459668,77896.547671,1.058959,0.000208,0.599206,0.498671,87025.73055,0.950315,0.000199,0.653535,0.531806,93100.250375,0.892931,0.0002,0.676931,0.532297,94737.433575,0.878079
55,56,1028,0.001135,0.429503,0.096923,40706.782868,6.129457,0.00125,0.351047,0.089589,36147.479779,6.784846,0.001007,0.369545,0.122201,44049.101058,5.386688,0.000538,0.668285,0.204679,90464.08839,2.48594,0.000535,0.668491,0.197122,91894.496207,2.421188,0.000544,0.720759,0.210742,90843.846324,2.51,0.000546,0.685822,0.200183,91436.83178,2.466101,0.000522,0.784172,0.214187,99150.722882,2.272394,0.000536,0.706416,0.200921,95886.844442,2.341841
56,57,1029,0.002854,0.521307,0.02747,46110.312836,18.315203,0.003292,0.527782,0.025118,41517.816667,20.242368,0.003452,0.338452,0.033215,35420.867024,17.811461,0.001621,0.596958,0.064275,81796.698038,7.440695,0.001599,0.588552,0.06351,87163.853779,7.351488,0.00156,0.533265,0.065849,77743.707102,7.532463,0.00154,0.68725,0.070818,89671.287968,7.001661,0.001488,0.735089,0.073374,96469.462884,6.573822,0.00147,0.841661,0.076358,97948.065749,6.329537
