,Num,Dnum,ROIGEnergy,ROIGContrast,ROIGEntropy,ROIGHomogeneity1,ROIGHomogeneity2,ROIGCorrelation,ROIGSumAverage,ROIGVariance,ROIGDissimilarity,ROIGAutoCorrelation,ROIGCorrelation1,LLLGEnergy,LLLGContrast,LLLGEntropy,LLLGHomogeneity1,LLLGHomogeneity2,LLLGCorrelation,LLLGSumAverage,LLLGVariance,LLLGDissimilarity,LLLGAutoCorrelation,LLLGCorrelation1,LLHGEnergy,LLHGContrast,LLHGEntropy,LLHGHomogeneity1,LLHGHomogeneity2,LLHGCorrelation,LLHGSumAverage,LLHGVariance,LLHGDissimilarity,LLHGAutoCorrelation,LLHGCorrelation1,LHLGEnergy,LHLGContrast,LHLGEntropy,LHLGHomogeneity1,LHLGHomogeneity2,LHLGCorrelation,LHLGSumAverage,LHLGVariance,LHLGDissimilarity,LHLGAutoCorrelation,LHLGCorrelation1,LHHGEnergy,LHHGContrast,LHHGEntropy,LHHGHomogeneity1,LHHGHomogeneity2,LHHGCorrelation,LHHGSumAverage,LHHGVariance,LHHGDissimilarity,LHHGAutoCorrelation,LHHGCorrelation1,HLLGEnergy,HLLGContrast,HLLGEntropy,HLLGHomogeneity1,HLLGHomogeneity2,HLLGCorrelation,HLLGSumAverage,HLLGVariance,HLLGDissimilarity,HLLGAutoCorrelation,HLLGCorrelation1,HLHGEnergy,HLHGContrast,HLHGEntropy,HLHGHomogeneity1,HLHGHomogeneity2,HLHGCorrelation,HLHGSumAverage,HLHGVariance,HLHGDissimilarity,HLHGAutoCorrelation,HLHGCorrelation1,HHLGEnergy,HHLGContrast,HHLGEntropy,HHLGHomogeneity1,HHLGHomogeneity2,HHLGCorrelation,HHLGSumAverage,HHLGVariance,HHLGDissimilarity,HHLGAutoCorrelation,HHLGCorrelation1,HHHGEnergy,HHHGContrast,HHHGEntropy,HHHGHomogeneity1,HHHGHomogeneity2,HHHGCorrelation,HHHGSumAverage,HHHGVariance,HHHGDissimilarity,HHHGAutoCorrelation,HHHGCorrelation1
0,1,1,0.032437,3.339404,5.73595,0.571285,0.527538,0.643006,0.032048,0.018302,1.28941,70.325214,12464.063934,0.034866,2.377324,5.608212,0.610555,0.575548,0.762127,0.031303,0.019488,1.080791,68.019251,13411.165295,0.025638,5.715111,6.049894,0.512277,0.455271,0.401482,0.033928,0.018652,1.695754,77.355633,14527.064565,0.025894,7.809881,6.141063,0.486463,0.42371,0.203971,0.033864,0.019162,1.962751,76.155061,13382.45933,0.021848,10.549077,6.411774,0.452795,0.383151,0.097866,0.033311,0.022844,2.306819,73.292987,15386.144947,0.023376,8.300209,6.160911,0.466886,0.398813,0.100258,0.033147,0.018023,2.087921,72.467836,13253.393537,0.017964,10.337471,6.443753,0.422544,0.344074,0.037214,0.032646,0.020993,2.417774,70.050345,15541.730011,0.020308,9.422681,6.253627,0.432798,0.355792,0.010927,0.0336,0.018606,2.306836,74.039538,14627.581447,0.016601,10.840707,6.491113,0.402287,0.319417,-0.005275,0.03335,0.021065,2.549425,72.861599,17039.256704
1,2,3,0.028775,3.459165,5.916933,0.583053,0.54088,0.706986,0.031593,0.023057,1.279238,69.585757,15456.358309,0.03651,2.200573,5.567055,0.641508,0.610376,0.79434,0.03289,0.0209,0.993854,75.145735,15661.381078,0.024874,6.42564,6.185217,0.497289,0.436099,0.36387,0.033219,0.019728,1.817308,74.15855,14116.593032,0.03449,6.653685,5.855697,0.50945,0.451698,0.191289,0.033405,0.01607,1.789317,73.918149,10474.613002,0.028772,7.755117,5.97361,0.473339,0.406659,0.050161,0.033189,0.015947,2.009516,72.392355,11152.566543,0.024903,7.85382,6.181206,0.477369,0.41192,0.187518,0.03328,0.018881,2.005416,73.489574,13246.508341,0.022865,9.068136,6.230656,0.447254,0.374612,0.042805,0.033185,0.018504,2.216087,72.374472,13369.781186,0.021532,9.478396,6.266702,0.440341,0.36586,0.012065,0.033194,0.018738,2.279095,72.268059,13995.171142,0.019648,10.206918,6.363522,0.423769,0.34541,-0.011368,0.033175,0.019711,2.406023,72.071022,14838.092665
2,3,4,0.022305,5.127626,6.129828,0.504949,0.445033,0.479767,0.034028,0.019258,1.668548,78.251966,16166.059175,0.025305,3.690637,5.937785,0.552718,0.504852,0.622438,0.033871,0.019086,1.377546,78.224368,16722.210201,0.02111,6.399821,6.246458,0.478694,0.412613,0.365978,0.03345,0.019716,1.871154,75.176607,15569.048361,0.020141,8.123977,6.274472,0.457234,0.385977,0.157812,0.03288,0.018841,2.109003,71.613933,14900.335081,0.019986,9.228552,6.318007,0.43294,0.356133,0.058407,0.033147,0.019141,2.293388,72.292529,14643.466113,0.018184,9.818634,6.429901,0.437452,0.362402,0.078853,0.033328,0.020819,2.324252,73.216725,16589.39333,0.017138,11.400602,6.542213,0.409642,0.329032,0.001718,0.032955,0.022297,2.559691,71.183151,16565.975886,0.016282,11.001927,6.519458,0.413322,0.332624,0.003652,0.033311,0.021558,2.530629,72.739392,17718.461442,0.016139,11.568793,6.559736,0.400914,0.317548,-0.015049,0.033111,0.02225,2.613978,71.759676,17422.602659
3,4,5,0.035545,2.71088,5.513425,0.600572,0.564531,0.684501,0.03117,0.016785,1.138517,66.612861,11272.7231,0.043654,1.856319,5.216865,0.657951,0.633115,0.777773,0.03209,0.016317,0.901976,70.737443,11908.966168,0.02853,5.90663,5.988734,0.507734,0.449196,0.328744,0.033537,0.01719,1.727722,75.159478,12339.75836,0.038224,5.474642,5.621821,0.523419,0.467859,0.196785,0.03356,0.013312,1.641719,74.480937,9398.960575,0.031025,7.083404,5.855376,0.480114,0.415021,0.071673,0.033178,0.014904,1.921081,72.414178,10354.559303,0.023202,8.329837,6.230803,0.465464,0.396589,0.138934,0.033244,0.018896,2.096536,73.098268,13678.875253,0.021298,9.060034,6.268207,0.440095,0.365622,0.048366,0.033126,0.018595,2.248261,72.14458,13883.549752,0.021375,9.509407,6.286868,0.440449,0.366193,0.017809,0.033303,0.01891,2.287153,72.772754,14208.226883,0.019877,9.867405,6.331741,0.424899,0.346512,-0.003631,0.033176,0.019205,2.373891,72.114236,14551.589904
4,5,6,0.02516,2.916736,5.891455,0.584672,0.544022,0.769011,0.035786,0.024662,1.208048,88.782496,23736.456366,0.027108,2.184662,5.780702,0.623803,0.59152,0.845484,0.037607,0.027619,1.024673,98.66418,30180.769863,0.021853,6.428846,6.252806,0.487391,0.42359,0.374395,0.033028,0.020072,1.844627,73.415071,15163.919609,0.023252,7.220469,6.136075,0.475494,0.408605,0.184167,0.033276,0.017286,1.96179,73.382112,13566.738856,0.018326,9.828233,6.416812,0.425613,0.347558,0.050763,0.033191,0.020222,2.369007,72.458862,15817.4645,0.023021,8.034782,6.219244,0.470417,0.403043,0.162125,0.03324,0.018729,2.045723,73.189048,13856.960587,0.021181,9.207069,6.270421,0.437768,0.362478,0.033193,0.033256,0.018599,2.266846,72.63699,13963.760548,0.018007,10.514857,6.443105,0.422246,0.343772,0.003388,0.033235,0.020608,2.44157,72.408494,16240.812885,0.017805,10.495135,6.43227,0.412766,0.331513,-0.010613,0.033211,0.020283,2.477015,72.227482,15942.187351
5,6,7,0.031111,3.557716,5.760499,0.560881,0.514405,0.602401,0.032899,0.017475,1.343354,73.628558,12896.18279,0.036297,2.508284,5.539727,0.609151,0.573099,0.714961,0.032838,0.017192,1.100983,73.814942,13020.886682,0.023867,6.435035,6.16782,0.489911,0.426641,0.336704,0.033303,0.018947,1.836993,74.319171,14031.721352,0.021965,8.081949,6.279745,0.46844,0.400537,0.194938,0.033292,0.019609,2.063049,73.615377,14566.455329,0.018232,9.968788,6.438481,0.426407,0.34855,0.055827,0.033166,0.020622,2.37776,72.385344,16013.462798,0.025479,7.556036,6.095323,0.481354,0.41645,0.141344,0.033313,0.017185,1.971377,73.350484,12836.721,0.023497,8.671314,6.154971,0.448671,0.375953,0.024387,0.033243,0.017359,2.179292,72.531981,12846.179666,0.019915,10.216458,6.378626,0.434196,0.358949,0.01781,0.03324,0.020315,2.360725,72.502348,15144.457747,0.020105,9.842318,6.31805,0.426224,0.347996,-0.011497,0.033261,0.019005,2.369689,72.445878,14444.224715
6,7,8,0.022264,2.882658,5.995372,0.578321,0.535663,0.762438,0.033453,0.023699,1.22271,77.967213,23049.673069,0.027221,1.90488,5.724263,0.631213,0.601044,0.84361,0.033502,0.02379,0.9706,78.694952,23136.905568,0.020197,6.794845,6.325241,0.477422,0.410918,0.356501,0.033319,0.020624,1.917157,74.637945,16384.907043,0.020608,8.319856,6.322483,0.461766,0.392127,0.173814,0.033218,0.019669,2.108727,73.188488,15210.147629,0.018243,10.072304,6.446425,0.426347,0.3488,0.051465,0.033183,0.02074,2.38784,72.434155,16067.396279,0.01893,9.225401,6.420711,0.449843,0.377866,0.133186,0.033188,0.020787,2.230524,72.893461,16276.169732,0.019072,9.949928,6.400676,0.430112,0.353404,0.037153,0.033183,0.020183,2.361738,72.355525,15476.171682,0.017548,10.691329,6.475226,0.421922,0.343526,0.006891,0.033195,0.021026,2.461571,72.253059,16668.039252,0.017196,10.877744,6.484983,0.410449,0.329161,-0.010731,0.033201,0.02102,2.519281,72.184794,16580.731363
7,8,9,0.01558,5.325766,6.425049,0.486805,0.421065,0.576632,0.033131,0.024563,1.755491,75.56364,23740.078335,0.018427,3.587976,6.208527,0.533287,0.47959,0.715153,0.033404,0.024608,1.425975,77.632578,24128.765268,0.014811,8.039594,6.5831,0.441319,0.365364,0.332814,0.033209,0.023538,2.166577,74.283654,20930.81485,0.015221,9.964807,6.610293,0.428799,0.351897,0.162622,0.033241,0.023243,2.375126,73.383316,19793.467231,0.015485,10.895348,6.585248,0.410691,0.329354,0.049666,0.033131,0.022391,2.524483,72.219317,18440.754255,0.0179,9.391791,6.465642,0.441678,0.367922,0.138841,0.033351,0.021299,2.276108,73.653492,17189.74193,0.016042,10.698814,6.551409,0.410417,0.328714,0.045371,0.033243,0.02189,2.509482,72.678881,17765.53278,0.015092,11.538198,6.617559,0.405257,0.323241,0.014813,0.033183,0.022875,2.604119,72.250714,19008.801579,0.015449,11.638264,6.596981,0.399958,0.316271,-0.006657,0.03312,0.022578,2.630217,71.849559,18107.526462
8,9,10,0.031947,3.540936,5.679189,0.56736,0.522126,0.618617,0.032285,0.018136,1.328302,71.179877,12280.546236,0.032614,2.65117,5.609768,0.5988,0.560397,0.735082,0.030716,0.019546,1.146847,65.508385,12621.877374,0.023183,6.466993,6.228993,0.49191,0.429307,0.372178,0.033702,0.02012,1.839553,76.353407,15200.885938,0.021868,8.521049,6.292674,0.462449,0.393564,0.151693,0.033537,0.019619,2.119582,74.472033,14746.75607,0.020412,9.466538,6.330184,0.436446,0.361191,0.046858,0.033073,0.019399,2.296183,71.917445,14437.128963,0.023646,8.229617,6.222399,0.468666,0.401043,0.147377,0.03344,0.018854,2.075118,73.995225,13701.963663,0.023946,8.513323,6.162507,0.453365,0.382004,0.054764,0.033083,0.017589,2.15253,71.974012,12670.664136,0.021472,9.353441,6.255797,0.440535,0.365973,0.006103,0.033218,0.018379,2.27832,72.344036,13854.109801,0.023643,8.808763,6.136981,0.441738,0.367366,-0.011014,0.033177,0.017018,2.221371,72.089343,12524.339997
9,10,11,0.023343,2.628112,5.944998,0.594834,0.555236,0.786196,0.033145,0.024007,1.15304,76.829676,22718.108323,0.028423,1.685483,5.673471,0.648113,0.620809,0.864466,0.033229,0.024289,0.904663,77.736051,22941.982752,0.021451,6.719434,6.276996,0.481895,0.416594,0.347706,0.033334,0.02012,1.893339,74.611213,15542.200005,0.02284,8.161131,6.241698,0.47065,0.403315,0.15376,0.033322,0.018836,2.064532,73.511373,14179.979255,0.019957,9.722459,6.366628,0.434295,0.35858,0.042345,0.033217,0.019829,2.327952,72.52684,14935.916188,0.020977,8.662631,6.328787,0.461458,0.392164,0.146373,0.033298,0.01982,2.139404,73.407846,15111.635915,0.019498,9.775645,6.374513,0.431024,0.354417,0.035777,0.03321,0.019801,2.346109,72.461975,15073.148224,0.020635,9.95058,6.336821,0.437572,0.362869,0.005565,0.033203,0.019543,2.336077,72.277133,14642.698079,0.018732,10.443917,6.409583,0.417921,0.338256,-0.012948,0.033212,0.020138,2.454318,72.22027,15371.472926
