,Num,Dnum,ROISZE,ROILZE,ROIszGLN,ROIZSN,ROIZP,ROILGZE,ROIHGZE,ROISZLGE,ROISZHGE,ROILZLGE,ROILZHGE,ROIszGLV,ROIZLV,LLLSZE,LLLLZE,LLLszGLN,LLLZSN,LLLZP,LLLLGZE,LLLHGZE,LLLSZLGE,LLLSZHGE,LLLLZLGE,LLLLZHGE,LLLszGLV,LLLZLV,LLHSZE,LLHLZE,LLHszGLN,LLHZSN,LLHZP,LLHLGZE,LLHHGZE,LLHSZLGE,LLHSZHGE,LLHLZLGE,LLHLZHGE,LLHszGLV,LLHZLV,LHLSZE,LHLLZE,LHLzGLN,LHLZSN,LHLZP,LHLLGZE,LHLHGZE,LHLSZLGE,LHLSZHGE,LHLLZLGE,LHLLZHGE,LHLszGLV,LHLZLV,LHHSZE,LHHLZE,LHHszGLN,LHHZSN,LHHZP,LHHLGZE,LHHHGZE,LHHSZLGE,LHHSZHGE,LHHLZLGE,LHHLZHGE,LHHszGLV,LHHZLV,HLLSZE,HLLLZE,HLLszGLN,HLLZSN,HLLZP,HLLLGZE,HLLHGZE,HLLSZLGE,HLLSZHGE,HLLLZLGE,HLLLZHGE,HLLszGLV,HLLZLV,HLHSZE,HLHLZE,HLHszGLN,HLHZSN,HLHZP,HLHLGZE,HLHHGZE,HLHSZLGE,HLHSZHGE,HLHLZLGE,HLHLZHGE,HLHzGLV,HLHZLV,HHLSZE,HHLLZE,HHLszGLN,HHLZSN,HHLZP,HHLLGZE,HHLHGZE,HHLSZLGE,HHLSZHGE,HHLLZLGE,HHLLZHGE,HHLszGLV,HHLZLV,HHHSZE,HHHLZE,HHHszGLN,HHHZSN,HHHZP,HHHLGZE,HHHHGZE,HHHSZLGE,HHHSZHGE,HHHLZLGE,HHHLZHGE,HHHzGLV,HHHZLV
0,1,1,0.600169,1765.089744,0.077745,0.336949,0.098734,0.032283,104.320513,0.016631,63.153658,29.373373,117730.673077,0.000651,0.002285,0.490191,2286.327586,0.08368,0.235731,0.073418,0.033504,110.577586,0.012345,57.922735,42.001073,145701.534483,0.000634,0.003949,0.569883,1289.432432,0.079211,0.305362,0.11746,0.044641,87.351351,0.028177,51.830684,17.462164,102899.913514,0.000485,0.001417,0.601027,1008.788,0.072896,0.339648,0.158529,0.068747,87.836,0.053933,52.412688,14.003493,77033.744,0.000397,0.000763,0.555002,666.317073,0.078513,0.293448,0.180617,0.037437,90.358885,0.023562,51.419854,9.578012,48618.184669,0.000463,0.000504,0.578893,926.627049,0.084218,0.317287,0.155712,0.04969,81.336066,0.035056,45.368184,13.713417,65924.840164,0.000395,0.000769,0.655042,543.690058,0.080521,0.399388,0.217005,0.046203,82.80117,0.03413,52.256165,8.463119,37300.719298,0.000568,0.000388,0.637708,702.592105,0.084661,0.380648,0.192893,0.047048,84.315789,0.03533,53.386975,9.575253,54445.851974,0.000569,0.00052,0.679466,534.507003,0.087666,0.426955,0.225806,0.03712,89.453782,0.029494,61.717503,7.726119,39138.722689,0.000821,0.000367
1,2,3,0.550886,45185.660498,0.076719,0.285861,0.054659,0.040221,88.87331,0.023593,48.568775,887.014187,2547672.153025,2.5e-05,0.000426,0.468951,93500.179657,0.075186,0.214029,0.029476,0.031906,93.548217,0.015654,43.722735,1643.123909,5891618.726552,2e-05,0.001619,0.536307,26671.926759,0.076014,0.273196,0.095502,0.053303,84.743044,0.032227,45.489771,362.971265,2042939.214812,1.9e-05,0.000126,0.552187,30108.353394,0.079243,0.291607,0.107338,0.057479,82.666055,0.037731,46.052293,403.852694,2300340.851743,1.6e-05,0.000107,0.646511,22147.704494,0.087699,0.387862,0.139992,0.042432,86.6,0.031687,56.852945,314.713911,1613875.595787,2.9e-05,6.9e-05,0.567504,22923.480782,0.078573,0.304635,0.118209,0.049089,85.892313,0.031933,50.090995,316.182393,1728540.24619,2.3e-05,9.1e-05,0.633361,17526.757257,0.086519,0.373218,0.152643,0.044735,85.909838,0.032456,55.100334,249.773848,1282708.070126,3.1e-05,5.6e-05,0.620267,16919.968571,0.084314,0.359892,0.150844,0.04296,88.194286,0.030837,55.581185,243.710656,1227927.82026,3.1e-05,5.5e-05,0.700285,14391.521532,0.085264,0.453351,0.172485,0.045366,86.844742,0.036546,62.020841,204.476501,1060871.113327,4e-05,4.3e-05
2,3,4,0.558661,2653.981013,0.076029,0.294524,0.103947,0.056035,79.977848,0.034589,42.508681,36.590716,208214.015823,0.000197,0.001012,0.514926,3408.153527,0.074086,0.25294,0.079407,0.063146,79.195021,0.032205,41.418712,48.316843,264604.3361,0.000204,0.001811,0.59542,2029.346154,0.077962,0.329152,0.127995,0.052571,84.428205,0.03257,52.452226,27.924803,155209.971795,0.000265,0.00058,0.556549,1549.254587,0.079854,0.293788,0.143752,0.040997,88.720183,0.028741,50.816946,23.142271,109973.708716,0.00025,0.000445,0.635455,1329.425894,0.087933,0.375132,0.19341,0.034028,87.379898,0.022471,56.99491,19.266962,96075.219761,0.0003,0.00026,0.588607,1119.752768,0.083591,0.323797,0.178055,0.044704,83.361624,0.033233,48.891952,15.698899,82749.297048,0.000239,0.000257,0.617795,1099.29376,0.083839,0.358595,0.21541,0.041827,88.436834,0.029588,55.65231,16.067257,78725.490107,0.000296,0.00019,0.58328,1148.809187,0.083189,0.323933,0.185209,0.044011,86.114841,0.031892,50.691986,17.710003,78444.300353,0.000265,0.000249,0.688618,1050.791241,0.086157,0.439608,0.224149,0.037708,88.439416,0.02969,62.052336,15.547958,74541.137226,0.000366,0.000182
3,4,5,0.540121,30158.095082,0.084101,0.280532,0.051174,0.022301,119.908197,0.010671,66.801525,558.815345,1788598.993443,8.6e-05,0.001317,0.47398,48815.742627,0.097658,0.222348,0.03126,0.022376,136.037534,0.011488,66.058316,848.878147,3081165.042895,9.9e-05,0.003539,0.56565,13091.964812,0.076473,0.302036,0.102405,0.058664,83.025368,0.04137,45.755121,176.740474,1003010.832242,4e-05,0.000256,0.566043,17584.50917,0.083354,0.303472,0.096227,0.051046,84.559825,0.032943,48.93713,236.772095,1341040.10655,3.9e-05,0.000305,0.635507,11700.371217,0.09214,0.376801,0.135925,0.043531,85.252625,0.030417,55.280139,166.346718,853447.470661,5.9e-05,0.000164,0.568821,9064.757237,0.079584,0.305217,0.126931,0.045413,88.242763,0.029564,50.958189,128.178236,664640.709868,5.1e-05,0.000153,0.641533,7464.139523,0.088187,0.382196,0.160948,0.044985,87.598548,0.034372,57.300998,106.581053,546619.70695,7.4e-05,0.000104,0.62629,7478.7026,0.085858,0.363951,0.154052,0.040269,84.653846,0.028436,53.115687,104.874544,553986.365114,6e-05,0.000109,0.701682,6587.680149,0.089638,0.455162,0.17934,0.04592,86.306369,0.037195,62.171415,94.201696,483924.040911,9.1e-05,8.6e-05
4,5,6,0.519803,97693.685994,0.082656,0.257143,0.036096,0.068961,63.859187,0.039104,33.139848,1110.488053,9966147.759789,1.2e-05,0.000731,0.459519,158376.375474,0.084805,0.20532,0.021485,0.083527,57.410872,0.046844,24.359376,1620.383056,17969994.438685,9e-06,0.002156,0.551156,40433.525849,0.07653,0.287088,0.089278,0.049682,90.60569,0.032646,49.682628,585.465693,2935512.444173,1.7e-05,0.000111,0.542054,41886.893093,0.084771,0.278821,0.095662,0.042891,88.017197,0.028384,48.390278,598.07342,3068346.119805,1.6e-05,0.000102,0.63785,22730.006688,0.086571,0.377797,0.151077,0.043512,87.730477,0.032573,56.990812,326.38537,1660638.317607,2.4e-05,3.8e-05,0.543531,36515.366982,0.081292,0.281236,0.104248,0.050104,86.189274,0.033731,47.128978,521.168776,2675359.784963,1.5e-05,8.4e-05,0.642309,26083.931188,0.090611,0.383345,0.148053,0.044241,85.58768,0.033126,55.447433,372.487101,1914973.716241,2.3e-05,4.3e-05,0.617845,22086.717664,0.085872,0.355519,0.150015,0.04307,87.105694,0.03092,55.067959,314.497082,1628462.2827,2.3e-05,3.9e-05,0.693659,20354.275053,0.090432,0.445059,0.168665,0.043736,88.576008,0.035507,62.536989,292.039072,1493228.460741,3.3e-05,3.2e-05
5,6,7,0.523271,30130.596413,0.076341,0.262244,0.053286,0.0354,92.004484,0.0199,47.07597,485.460637,2001532.66704,2.9e-05,0.000606,0.476233,58047.216263,0.075179,0.220046,0.034522,0.044631,86.83045,0.021322,41.950956,967.474529,3768584.583045,2.3e-05,0.001802,0.553195,18699.290757,0.078703,0.287912,0.09281,0.050206,88.487805,0.031095,50.043922,260.753554,1397193.006418,3.4e-05,0.00021,0.541693,14314.900848,0.079465,0.278868,0.112362,0.050534,82.335631,0.033123,44.969802,190.140632,1114710.016437,3e-05,0.000144,0.622249,9321.872914,0.085684,0.360075,0.156821,0.040084,87.984446,0.029095,56.262283,135.160234,670505.520865,5e-05,7.2e-05,0.532649,16712.448413,0.081931,0.271892,0.105509,0.043351,86.589002,0.027432,46.755627,231.038297,1249865.589002,3.1e-05,0.000164,0.634914,13001.1,0.089539,0.37593,0.145396,0.043271,87.066667,0.032066,56.50694,185.557529,949669.943621,4.8e-05,9.7e-05,0.603074,10259.144197,0.082234,0.342757,0.152394,0.043113,87.928488,0.029438,54.24436,150.210038,733589.184838,4.5e-05,8e-05,0.692578,10234.744651,0.090095,0.443458,0.170077,0.042032,87.115749,0.033218,61.937289,145.733013,751523.418099,6.2e-05,6.8e-05
6,7,8,0.49342,202064.082492,0.07692,0.234224,0.031893,0.0455,79.252104,0.022427,39.646253,3262.318032,14638550.085438,7e-06,0.000481,0.402822,386255.377916,0.079064,0.163937,0.017255,0.04772,75.655521,0.017905,28.498627,6281.213338,28023703.675739,5e-06,0.001669,0.546096,78257.863933,0.076873,0.283049,0.09116,0.051195,85.862002,0.032679,46.922215,1092.486443,5890897.067439,8e-06,5.2e-05,0.529471,67816.751789,0.079452,0.269073,0.104322,0.047403,86.005074,0.028603,45.933674,961.218825,4994798.137375,7e-06,3.9e-05,0.635259,46420.6926,0.085229,0.374661,0.149888,0.045062,87.732448,0.03368,57.126451,663.224778,3407252.374447,1.2e-05,2e-05,0.521779,56301.835446,0.080567,0.26322,0.112231,0.048668,85.629482,0.02985,44.880424,803.651486,4117772.375226,8e-06,3.2e-05,0.628164,48833.402934,0.086761,0.367287,0.146934,0.041808,88.358,0.030522,56.225672,700.883842,3566508.909854,1.2e-05,2.1e-05,0.587634,44511.131819,0.085532,0.326034,0.143675,0.042246,87.169509,0.028843,52.021164,639.986137,3241302.359842,1.1e-05,2e-05,0.685937,40818.402289,0.08882,0.434896,0.167893,0.043923,87.095495,0.03505,60.696696,584.355542,2993949.100008,1.5e-05,1.6e-05
7,8,9,0.554878,12199.684347,0.077173,0.289005,0.068993,0.043482,78.35705,0.026314,41.174872,174.857425,957470.742561,6.3e-05,0.000623,0.496946,21430.185654,0.076145,0.235005,0.042299,0.044723,78.090717,0.023555,34.58865,317.518325,1630863.175105,4.9e-05,0.001706,0.560157,7088.799083,0.07935,0.295627,0.117315,0.041776,86.849503,0.026561,47.719482,102.523175,523697.646295,6.5e-05,0.000197,0.561857,5420.832461,0.078189,0.297755,0.137237,0.042276,87.145942,0.027873,48.871838,75.943162,406854.395288,6.9e-05,0.00013,0.608109,5407.431843,0.082745,0.346438,0.164987,0.039996,88.28626,0.028614,54.66056,78.146189,394250.342966,7.8e-05,9.9e-05,0.525419,7135.953456,0.082624,0.266879,0.12784,0.04818,82.142454,0.030276,42.635676,98.724723,539607.985896,5e-05,0.00016,0.631349,5562.0228,0.086709,0.371639,0.169864,0.044244,86.716861,0.03305,55.331781,80.087069,406019.957582,8.2e-05,9.6e-05,0.586519,5024.903614,0.084333,0.325901,0.163943,0.041775,85.578313,0.028307,50.598074,71.664716,369706.506024,7.4e-05,9.6e-05,0.7035,5105.24426,0.084535,0.457525,0.184066,0.04678,86.411334,0.038471,61.764424,74.308004,370136.170493,0.000106,8.5e-05
8,9,10,0.548011,38948.740038,0.090001,0.28252,0.056466,0.017786,120.907021,0.010041,66.053191,697.35868,2325947.508539,5e-05,0.000589,0.452503,60478.342262,0.090464,0.203997,0.036063,0.019512,123.830357,0.009118,57.977944,1243.568317,3223864.526786,4.3e-05,0.001533,0.568702,18962.180503,0.075098,0.303512,0.099685,0.063584,79.686127,0.042651,45.953858,252.141978,1489404.885913,2.6e-05,0.000163,0.555303,13229.582294,0.078371,0.293408,0.128642,0.049839,82.111804,0.032363,46.255614,174.69551,1035790.013716,2.8e-05,9.2e-05,0.638268,11705.283122,0.083309,0.37815,0.156253,0.043252,86.890106,0.032066,57.080038,167.495413,854908.026018,4.5e-05,7.1e-05,0.568018,14418.217667,0.079105,0.305066,0.126558,0.052761,81.747253,0.037243,46.494468,192.049897,1116658.752747,2.7e-05,9.6e-05,0.638107,13699.469052,0.086013,0.37928,0.149417,0.040047,87.084436,0.030677,56.163528,197.159144,989173.568157,4e-05,7.8e-05,0.617311,11737.173077,0.086479,0.357321,0.155789,0.042173,86.102679,0.032323,53.319033,169.000889,851711.922047,4.1e-05,7.1e-05,0.699164,12809.913888,0.091908,0.451919,0.16517,0.039218,85.572677,0.031079,60.816291,183.423425,932821.183555,5.2e-05,6.8e-05
9,10,11,0.545006,256196.3795,0.077998,0.279178,0.030347,0.033911,92.163115,0.019347,49.583876,3914.020168,19019224.466569,8e-06,0.000402,0.445521,590609.431604,0.076653,0.192215,0.014172,0.04091,86.445755,0.019325,37.144988,9166.981329,43639120.896226,5e-06,0.001934,0.551364,94885.681415,0.076945,0.287567,0.092654,0.053138,84.148414,0.034292,46.766668,1311.339988,7191598.113529,6e-06,4.1e-05,0.546318,84429.251103,0.079631,0.284264,0.107378,0.046907,85.143352,0.030477,47.072843,1176.975846,6295436.597459,6e-06,3.1e-05,0.638292,60561.826392,0.085933,0.378511,0.147984,0.044805,88.32582,0.033727,57.620657,870.592998,4404013.025661,1e-05,1.7e-05,0.548246,78937.911168,0.079614,0.285736,0.109375,0.05139,85.786722,0.033918,47.280098,1104.469353,5890635.173958,6e-06,2.9e-05,0.642967,56720.743359,0.086514,0.38393,0.152802,0.045506,87.749041,0.034456,57.442516,818.052129,4113165.765643,1e-05,1.6e-05,0.614399,62309.104427,0.085899,0.352461,0.142624,0.044441,87.72996,0.031752,54.874136,892.952411,4543411.478735,9e-06,1.8e-05,0.698178,52480.741456,0.089291,0.450598,0.168044,0.043441,88.218268,0.034886,62.472516,753.084771,3828833.806728,1.2e-05,1.3e-05
