,Num,Dnum,ROICoarseness,ROIContrast,ROIBusyness,ROIComplexity,ROIStrength,LLLCoarseness,LLLContrast,LLLBusyness,LLLComplexity,LLLStrength,LLHCoarseness,LLHContrast,LLHBusyness,LLHComplexity,LLHStrength,LHLCoarseness,LHLContrast,LHLBusyness,LHLComplexity,LHLStrength,LHHCoarseness,LHHContrast,LHHBusyness,LHHComplexity,LHHStrength,HLLCoarseness,HLLContrast,HLLBusyness,HLLComplexity,HLLStrength,HLHCoarseness,HLHContrast,HLHBusyness,HLHComplexity,HLHStrength,HHLCoarseness,HHLContrast,HHLBusyness,HHLComplexity,HHLStrength,HHHCoarseness,HHHContrast,HHHBusyness,HHHComplexity,HHHStrength
0,1,1,0.007341,0.18147,0.067236,5015.396268,10.014039,0.010353,0.14636,0.050255,3679.797363,13.626277,0.006015,0.224209,0.072783,6206.02661,6.878193,0.005048,0.282249,0.079514,8895.882387,6.151055,0.004665,0.358056,0.094548,10424.188321,5.279525,0.004639,0.292016,0.095694,8932.018025,5.222456,0.004245,0.387534,0.110832,10499.490428,4.563769,0.004022,0.351438,0.105898,11154.395337,4.687637,0.003911,0.411068,0.115628,12062.407783,4.294898
1,2,3,0.000514,0.169566,1.011743,4954.307867,0.723915,0.000766,0.099473,0.621032,3314.007559,1.081662,0.000384,0.21372,1.070092,7222.815318,0.466929,0.000333,0.1958,1.136304,7895.931697,0.418087,0.0003,0.221468,1.301864,9378.602453,0.352432,0.000316,0.248808,1.288207,8714.435206,0.38215,0.000289,0.281948,1.429998,10169.801588,0.326707,0.000276,0.301074,1.520075,10728.793355,0.311103,0.000264,0.335948,1.606836,11483.189458,0.290603
2,3,4,0.003119,0.207661,0.133792,6963.046291,4.202081,0.004421,0.15069,0.096171,5037.133334,5.768781,0.002968,0.23013,0.140799,7672.473622,3.759761,0.002428,0.273743,0.177536,9678.353684,2.997784,0.002278,0.320349,0.191547,10382.583256,2.580694,0.002314,0.314387,0.184165,10582.463512,2.730751,0.002244,0.367298,0.194808,11409.836413,2.467876,0.002117,0.369889,0.209299,11937.011134,2.41225,0.002111,0.403588,0.213719,12395.875836,2.309676
3,4,5,0.001061,0.117726,0.430448,4752.88164,1.635461,0.001587,0.077615,0.27807,3276.59032,2.386437,0.000825,0.18712,0.476491,7030.435089,1.012805,0.00069,0.152679,0.525487,7542.472344,0.938525,0.000636,0.20449,0.602919,9042.581364,0.778685,0.000639,0.263294,0.647149,9278.751099,0.769227,0.000599,0.290994,0.69874,10425.851815,0.685314,0.000593,0.30407,0.707069,10804.139969,0.662687,0.000562,0.32942,0.752864,11425.906563,0.624912
4,5,6,0.000388,0.173096,1.0556,4454.561372,0.531438,0.000588,0.128737,0.653821,3298.923688,0.84214,0.00027,0.216724,1.59318,7206.691966,0.32684,0.000222,0.212405,1.834422,8609.989,0.275181,0.000197,0.313386,2.193658,10643.229611,0.221108,0.000217,0.248952,1.912321,8961.792016,0.261343,0.000197,0.284452,2.110211,10388.706072,0.22478,0.000187,0.342553,2.318537,11344.801531,0.20765,0.00018,0.347632,2.401857,11808.709373,0.199676
5,6,7,0.000662,0.136204,0.660684,5423.522455,0.989728,0.000941,0.095314,0.466138,3856.776523,1.387286,0.000568,0.207049,0.716943,7356.192992,0.696464,0.000491,0.245247,0.828822,8665.613201,0.59037,0.000431,0.316543,1.007514,10629.579622,0.482739,0.000476,0.215131,0.829107,8757.295587,0.583763,0.000433,0.255053,0.931441,10128.507352,0.501612,0.000421,0.318448,1.0128,10724.774567,0.472317,0.000405,0.311102,1.030098,11313.62699,0.450931
6,7,8,0.000191,0.154318,2.597832,4735.180661,0.268121,0.000284,0.103349,1.75834,3154.407878,0.402775,0.000132,0.227434,3.245035,7489.823522,0.157229,0.00011,0.258511,3.851585,9054.994595,0.129286,9.9e-05,0.322123,4.369415,10617.917754,0.10964,0.000105,0.290252,4.098374,9636.34969,0.12174,9.8e-05,0.312809,4.382662,10655.026833,0.109223,9.4e-05,0.344156,4.659601,11348.077542,0.103312,9e-05,0.360798,4.828868,11864.380453,0.098484
7,8,9,0.000926,0.238717,0.514647,6909.291961,1.216728,0.001336,0.165928,0.358412,4706.883861,1.774592,0.000805,0.282421,0.578257,8463.86274,0.950149,0.000687,0.333049,0.664915,10033.971998,0.791902,0.000635,0.356266,0.710271,11204.860529,0.702775,0.000691,0.298914,0.621524,9826.584191,0.802467,0.000643,0.346902,0.687192,11077.875038,0.70865,0.000609,0.379738,0.738665,11817.851427,0.668387,0.000595,0.392048,0.750747,12130.494134,0.644234
8,9,10,0.000601,0.14927,0.801731,5148.11425,0.853992,0.000864,0.113911,0.600816,3839.706427,1.256702,0.000529,0.215541,0.772498,7194.579963,0.644081,0.000431,0.260128,0.944989,9096.524784,0.504215,0.00039,0.296653,1.087278,10371.751,0.440146,0.000426,0.253265,0.948967,9034.35668,0.505372,0.000395,0.254131,1.032622,9908.987255,0.458788,0.000374,0.287783,1.11117,10742.403608,0.425786,0.000366,0.265778,1.098252,10822.267918,0.420532
9,10,11,0.000165,0.147703,2.932436,4510.426845,0.233449,0.000252,0.096831,1.920116,2927.977547,0.359914,0.00011,0.223278,3.828207,7428.494332,0.130956,9.2e-05,0.245721,4.451098,8953.921675,0.107937,8.4e-05,0.304916,5.093894,10435.81605,0.092172,8.9e-05,0.272907,4.709654,9301.87891,0.104035,8.2e-05,0.309446,5.210248,10623.046396,0.090896,8e-05,0.312928,5.279226,10872.215171,0.088475,7.6e-05,0.341575,5.604837,11631.174459,0.08305
