,Num,Dnum,ROICoarseness,ROIContrast,ROIBusyness,ROIComplexity,ROIStrength,LLLCoarseness,LLLContrast,LLLBusyness,LLLComplexity,LLLStrength,LLHCoarseness,LLHContrast,LLHBusyness,LLHComplexity,LLHStrength,LHLCoarseness,LHLContrast,LHLBusyness,LHLComplexity,LHLStrength,LHHCoarseness,LHHContrast,LHHBusyness,LHHComplexity,LHHStrength,HLLCoarseness,HLLContrast,HLLBusyness,HLLComplexity,HLLStrength,HLHCoarseness,HLHContrast,HLHBusyness,HLHComplexity,HLHStrength,HHLCoarseness,HHLContrast,HHLBusyness,HHLComplexity,HHLStrength,HHHCoarseness,HHHContrast,HHHBusyness,HHHComplexity,HHHStrength
0,1,1,0.007062,0.041892,0.99036,86.179679,0.642487,0.009668,0.033826,0.759714,64.616881,0.863209,0.006009,0.047667,1.003558,110.830079,0.491711,0.005017,0.0667,1.223212,134.945424,0.386857,0.004718,0.083507,1.422579,157.77283,0.334006,0.004653,0.062026,1.331948,147.862498,0.360051,0.004371,0.085611,1.553168,170.028498,0.311096,0.004091,0.078427,1.535771,173.420189,0.306769,0.004015,0.092225,1.659407,190.222563,0.283591
1,2,3,0.000486,0.041119,15.669277,79.489687,0.043927,0.000664,0.025914,10.579975,56.888537,0.061444,0.000373,0.050401,16.594465,112.510297,0.029255,0.000324,0.0463,17.721156,122.910903,0.026262,0.000293,0.052417,20.106232,144.905482,0.022287,0.000311,0.058381,19.745401,134.83098,0.024148,0.000285,0.066071,21.766126,156.5413,0.020736,0.000271,0.070452,23.202624,165.524988,0.019721,0.00026,0.07887,24.565646,176.981371,0.018416
2,3,4,0.003127,0.049106,2.014849,107.039286,0.264096,0.004219,0.03628,1.521532,79.864558,0.353002,0.002947,0.054161,2.151998,118.806106,0.235613,0.002432,0.063939,2.657325,148.191306,0.189891,0.002301,0.073183,2.783844,163.820369,0.169186,0.002325,0.073432,2.767637,161.083786,0.173625,0.002238,0.086505,2.945154,175.366448,0.156372,0.002137,0.085153,3.114288,179.829931,0.15412,0.00213,0.093881,3.185423,188.372449,0.146732
3,4,5,0.000993,0.029173,6.840579,76.461567,0.09843,0.00135,0.020757,4.869843,56.921795,0.133252,0.000801,0.044703,7.429708,109.913848,0.063241,0.000674,0.036279,8.174331,116.964011,0.059043,0.000621,0.048623,9.338601,140.097237,0.049097,0.000632,0.061544,9.840638,143.185899,0.048696,0.000594,0.067993,10.575841,160.16184,0.043551,0.000585,0.070898,10.739888,165.871297,0.042105,0.000554,0.076792,11.461158,175.866157,0.039662
4,5,6,0.000367,0.039621,16.095374,76.646953,0.033926,0.000522,0.033044,11.226926,56.199575,0.047869,0.000263,0.051018,24.4449,112.138699,0.020506,0.000219,0.050112,27.929545,133.230231,0.017385,0.000195,0.073068,33.139826,163.609521,0.014054,0.000215,0.058259,28.917949,138.128221,0.016568,0.000195,0.066396,32.006999,159.658245,0.014292,0.000186,0.079687,34.997718,174.172454,0.013204,0.000178,0.081239,36.478324,181.825144,0.012673
5,6,7,0.000635,0.033027,10.271274,85.988212,0.060702,0.000855,0.024157,7.636179,63.902914,0.081655,0.000559,0.048713,10.967104,113.585652,0.043891,0.000486,0.057346,12.661822,133.527193,0.037355,0.000429,0.073681,15.148481,162.998338,0.03071,0.00047,0.050684,12.691584,135.037439,0.036955,0.000427,0.06012,14.229636,155.88671,0.03181,0.000419,0.074537,15.265525,164.872713,0.029995,0.000399,0.072918,15.677854,174.139284,0.028607
6,7,8,0.000181,0.037698,40.36123,75.947098,0.016213,0.000252,0.026819,29.222505,54.0126,0.022846,0.000129,0.053513,49.594442,116.392491,0.009884,0.000108,0.060606,58.434566,139.602534,0.008191,9.8e-05,0.074937,66.099377,163.272077,0.006967,0.000105,0.06766,61.884368,148.250429,0.007727,9.7e-05,0.073035,66.42305,164.020014,0.006936,9.3e-05,0.080181,70.329154,174.38301,0.006568,8.9e-05,0.084064,73.313411,182.85787,0.006251
7,8,9,0.000912,0.056215,7.808998,107.076212,0.075967,0.001266,0.040468,5.647035,75.703539,0.107138,0.000798,0.066181,8.70562,130.589891,0.059934,0.000685,0.077674,9.958772,153.734983,0.050275,0.000633,0.08304,10.664114,172.008849,0.044685,0.00069,0.068922,9.322958,150.121723,0.051131,0.000641,0.080226,10.311966,169.459858,0.045132,0.000605,0.088494,11.114752,181.178958,0.042448,0.000588,0.091162,11.375094,186.049883,0.040902
8,9,10,0.000576,0.034064,11.672293,87.889277,0.056081,0.000789,0.027872,9.34861,65.627522,0.075963,0.000518,0.050752,11.884224,111.505752,0.040457,0.000426,0.061225,14.455348,140.085631,0.031921,0.000386,0.069377,16.463495,159.625065,0.027933,0.000423,0.059017,14.39339,139.025563,0.032071,0.000392,0.059179,15.623252,152.211625,0.029179,0.00037,0.067202,16.839338,165.303398,0.027063,0.00036,0.062384,16.808718,166.906232,0.026661
9,10,11,0.000157,0.036077,45.913184,72.51518,0.014074,0.000219,0.025498,32.711457,50.808718,0.020117,0.000107,0.05279,59.020012,115.680823,0.008214,9.1e-05,0.057599,68.114713,138.389056,0.006829,8.2e-05,0.071402,77.563646,161.033699,0.005844,8.8e-05,0.063885,71.595707,143.395846,0.006588,8.1e-05,0.072283,78.9647,163.389596,0.005774,7.9e-05,0.073274,80.380814,167.443657,0.005614,7.5e-05,0.080089,85.514124,179.552938,0.005263
10,11,12,0.000587,0.033776,11.60855,72.876383,0.05103,0.000809,0.025626,8.604513,52.978346,0.070352,0.00041,0.045869,15.068331,108.510965,0.032029,0.000354,0.038873,15.835812,117.088834,0.029483,0.000312,0.054819,19.144505,144.992483,0.023673,0.000316,0.055521,19.129804,141.760326,0.024621,0.000302,0.059504,20.024161,154.651087,0.022367,0.000297,0.058595,20.130844,155.067172,0.02217,0.000281,0.061514,21.424039,164.93095,0.021
11,12,14,0.001552,0.041375,4.504291,87.709373,0.162229,0.002034,0.031039,3.270886,64.771043,0.213002,0.0012,0.046513,4.629523,131.803114,0.100417,0.001304,0.037275,4.27903,115.800053,0.114496,0.001098,0.045398,5.076822,146.817418,0.09095,0.001252,0.036268,4.378911,119.167646,0.110232,0.001087,0.06297,5.477336,162.848191,0.08205,0.001131,0.057861,5.20983,156.045572,0.085384,0.001049,0.071857,5.899223,178.559485,0.076019
12,13,15,0.001851,0.060941,4.02184,113.298169,0.155372,0.002648,0.036464,2.534859,76.202559,0.228038,0.001381,0.073512,4.649041,162.367816,0.104941,0.001563,0.058177,3.792442,136.469443,0.119145,0.001343,0.060058,4.442749,161.788309,0.103054,0.00148,0.044486,3.882785,136.42379,0.123149,0.001278,0.079366,5.040721,184.447235,0.092683,0.001329,0.076315,4.797415,174.076933,0.096361,0.001219,0.091046,5.468428,196.716579,0.086909
13,14,16,0.001987,0.047442,3.362142,87.631578,0.17087,0.002324,0.038572,2.756312,73.944678,0.202203,0.00126,0.071739,5.168817,155.874223,0.093836,0.001183,0.067466,5.448754,161.315801,0.090403,0.001092,0.08044,5.938081,181.904563,0.079347,0.001225,0.069037,5.208635,157.772329,0.091173,0.001107,0.079497,5.833703,180.922811,0.079916,0.001122,0.071343,5.484063,174.413722,0.081845,0.001062,0.070426,5.867651,182.608487,0.079015
