,Num,Dnum,ROICoarseness,ROIContrast,ROIBusyness,ROIComplexity,ROIStrength,LLLCoarseness,LLLContrast,LLLBusyness,LLLComplexity,LLLStrength,LLHCoarseness,LLHContrast,LLHBusyness,LLHComplexity,LLHStrength,LHLCoarseness,LHLContrast,LHLBusyness,LHLComplexity,LHLStrength,LHHCoarseness,LHHContrast,LHHBusyness,LHHComplexity,LHHStrength,HLLCoarseness,HLLContrast,HLLBusyness,HLLComplexity,HLLStrength,HLHCoarseness,HLHContrast,HLHBusyness,HLHComplexity,HLHStrength,HHLCoarseness,HHLContrast,HHLBusyness,HHLComplexity,HHLStrength,HHHCoarseness,HHHContrast,HHHBusyness,HHHComplexity,HHHStrength
0,1,1,0.00642,0.036364,1.023938,63.630033,0.567911,0.007877,0.044221,0.798145,59.676066,0.681097,0.006036,0.035152,1.04193,67.030628,0.536184,0.003099,0.077065,2.29805,149.278526,0.237905,0.003126,0.06813,2.121223,147.157329,0.230797,0.002915,0.067036,2.331362,149.12481,0.234598,0.002936,0.081128,2.385747,162.227239,0.216253,0.002692,0.085397,2.397727,178.00011,0.192763,0.002578,0.086022,2.563286,184.252257,0.188214
1,2,3,0.000625,0.032555,10.117775,62.027439,0.058169,0.000798,0.026127,7.968539,48.465679,0.074448,0.000733,0.026666,9.856967,53.60078,0.065222,0.000307,0.072964,22.080441,146.099251,0.022687,0.00031,0.065763,21.069976,142.211672,0.02319,0.000309,0.069008,21.278975,143.764507,0.02313,0.000308,0.064365,20.998139,141.302954,0.023339,0.000262,0.087865,25.642573,178.300899,0.0185,0.000271,0.079397,23.778689,172.752423,0.018999
2,3,4,0.00325,0.063647,2.387077,105.309257,0.268189,0.003573,0.046929,2.020691,92.813049,0.305138,0.002875,0.059183,2.316383,116.419867,0.235742,0.001983,0.101002,3.432146,195.450716,0.135535,0.002065,0.080698,3.089484,179.234953,0.146869,0.00196,0.095279,3.365528,189.685911,0.138767,0.001929,0.083074,3.375593,190.60249,0.140069,0.001871,0.104399,3.720546,203.408989,0.132086,0.001943,0.089433,3.33019,191.185014,0.13779
3,4,5,0.001159,0.046097,5.824829,87.009148,0.101497,0.001309,0.036508,5.12224,74.377432,0.118072,0.000993,0.048471,6.758196,101.915837,0.082597,0.000581,0.092722,11.616099,194.953427,0.042499,0.000607,0.08764,10.959943,187.147067,0.043697,0.000587,0.093124,11.415084,193.388255,0.042389,0.000583,0.088427,11.377179,192.923369,0.042489,0.000575,0.102589,12.073277,203.518216,0.040523,0.000586,0.095449,11.365663,199.993134,0.041239
4,5,6,0.000426,0.035397,13.883903,76.942633,0.039875,0.00049,0.030043,12.192852,66.702285,0.046141,0.000337,0.041501,19.195216,99.649787,0.02911,0.000216,0.070916,29.278021,174.456299,0.016377,0.00022,0.072925,28.300703,174.550077,0.016065,0.000213,0.071465,29.324799,176.815864,0.015975,0.000209,0.077124,30.325885,183.40898,0.015443,0.000209,0.080686,30.841863,187.953358,0.015181,0.000212,0.080122,30.185153,186.080474,0.015222
5,6,7,0.000771,0.038983,9.606052,72.903396,0.070095,0.000872,0.034795,8.682127,63.968414,0.080521,0.000612,0.040568,10.150839,89.567166,0.055282,0.000354,0.081282,18.492825,182.880699,0.026153,0.000352,0.084205,18.434813,188.4377,0.0253,0.00036,0.08113,17.91925,179.699861,0.026167,0.000349,0.082747,18.442045,186.821458,0.025387,0.00034,0.095483,19.727657,198.108773,0.024171,0.000346,0.091277,19.07731,195.363285,0.02441
6,7,8,0.000231,0.033227,27.44035,67.206545,0.021516,0.000293,0.025238,21.489805,52.675789,0.027468,0.000181,0.042593,36.979704,90.405083,0.015117,0.00011,0.074781,60.287313,161.311966,0.008324,0.000105,0.075681,61.194655,173.196472,0.007673,0.000107,0.073204,61.012313,166.227199,0.008058,0.000104,0.077388,61.950841,174.139559,0.007643,9.8e-05,0.091747,67.966781,192.484574,0.006948,9.9e-05,0.084752,65.298799,187.871841,0.007068
7,8,9,0.000692,0.054085,10.768721,67.272656,0.060677,0.000792,0.046451,9.265515,58.176277,0.071922,0.00044,0.046103,15.276294,95.52471,0.036601,0.000275,0.059918,21.909114,162.17408,0.020874,0.000274,0.073777,22.763176,172.016525,0.019524,0.000262,0.066882,23.308005,171.059689,0.019835,0.000263,0.077926,24.107902,178.210798,0.018951,0.00026,0.082177,24.657058,185.652989,0.018364,0.000265,0.083173,24.191475,184.189123,0.018351
8,9,10,0.000435,0.044207,12.96523,86.001392,0.039867,0.000508,0.040419,11.359223,74.566308,0.045967,0.000398,0.04313,17.293612,91.613351,0.03366,0.000225,0.079372,28.585634,181.487052,0.016488,0.000227,0.068426,27.143502,176.650709,0.017019,0.00022,0.080251,29.459439,185.033357,0.016348,0.000225,0.075942,28.198515,180.665877,0.016659,0.000215,0.091476,30.902794,196.721525,0.015387,0.000219,0.086138,29.732495,192.925266,0.015671
9,10,11,0.000155,0.032058,37.734156,72.454351,0.015214,0.000182,0.028004,32.32437,62.197215,0.017822,0.000115,0.035914,52.076698,98.772824,0.010462,7.9e-05,0.069892,79.447888,173.38292,0.005919,7.9e-05,0.062911,77.006348,170.915501,0.005978,7.6e-05,0.066254,81.254691,176.044935,0.005852,7.8e-05,0.06789,78.371584,174.522806,0.00583,7.5e-05,0.083035,86.611747,189.957733,0.005441,7.7e-05,0.069319,80.465046,180.202478,0.005698
10,11,12,0.000635,0.03529,9.356603,82.845191,0.057175,0.000707,0.03203,8.442741,73.984499,0.064301,0.000589,0.035497,10.429357,87.858152,0.051726,0.000352,0.067246,17.56438,169.332228,0.026555,0.00036,0.066143,17.0127,168.0724,0.026647,0.000347,0.065232,17.428214,168.0444,0.026624,0.000349,0.073572,17.92566,174.726385,0.025588,0.000344,0.077041,18.376971,180.644235,0.024874,0.000345,0.0747,18.131445,180.640988,0.024878
11,12,14,0.002751,0.040948,2.51798,78.671617,0.22485,0.002886,0.037462,2.316619,74.295147,0.237896,0.002967,0.038912,2.366035,72.571101,0.24765,0.001279,0.087169,5.21619,184.914103,0.09322,0.00124,0.085134,5.294738,185.573934,0.093101,0.001215,0.09129,5.514747,192.803431,0.090393,0.001172,0.098967,5.877147,204.605412,0.085358,0.0012,0.109195,5.817121,206.284743,0.083739,0.001204,0.107309,5.841797,205.35124,0.083772
12,13,15,0.001689,0.043569,3.177079,86.069541,0.160164,0.001985,0.049593,2.665702,78.203207,0.187229,0.001426,0.050754,4.773423,106.724018,0.118146,0.001011,0.074595,6.405648,162.048593,0.075107,0.000969,0.076682,6.488618,174.396251,0.069255,0.000957,0.080952,6.738891,173.762602,0.070162,0.000942,0.085099,6.856453,183.327402,0.066724,0.000929,0.095004,7.148608,190.995931,0.06386,0.0009,0.09627,7.440495,195.358981,0.062764
13,14,16,0.002118,0.04006,2.826802,73.43105,0.198159,0.002342,0.034362,2.568388,65.478531,0.223674,0.00172,0.04706,3.948651,98.373376,0.141813,0.001054,0.065451,5.838596,167.70936,0.081062,0.001024,0.082508,6.334879,182.970639,0.074263,0.001007,0.086494,6.549946,188.05487,0.073272,0.001016,0.085024,6.303283,186.738934,0.072846,0.000964,0.08818,6.854923,195.465666,0.07067,0.001005,0.094897,6.676597,196.725996,0.069539
14,15,17,0.001603,0.047821,2.959809,80.453243,0.169919,0.001991,0.047654,2.43796,69.621435,0.203606,0.001409,0.037395,4.644147,89.721416,0.1225,0.000834,0.062452,7.307058,164.067902,0.064941,0.000856,0.063226,7.127578,164.059259,0.064959,0.000822,0.069484,7.43595,168.700221,0.062348,0.000805,0.072117,7.777285,177.456224,0.060334,0.000828,0.064308,7.245675,170.557224,0.061687,0.000798,0.070708,7.757771,180.957532,0.0592
15,16,18,0.00048,0.045713,14.023919,92.385855,0.041432,0.000554,0.039427,12.37335,79.43721,0.048169,0.000447,0.046166,15.037185,98.794043,0.036877,0.000275,0.08332,24.241899,178.873192,0.020119,0.000279,0.0765,22.965351,174.615387,0.020458,0.000284,0.076957,22.786559,170.388924,0.020829,0.000278,0.075346,22.730771,174.617881,0.020314,0.000263,0.093647,25.357302,193.429549,0.018481,0.000266,0.085763,24.476212,188.782453,0.018837
16,17,19,0.000896,0.044928,7.738044,87.541135,0.077876,0.001005,0.040412,6.745551,77.54,0.087576,0.00084,0.04677,8.402396,93.514802,0.070022,0.000476,0.084349,13.669472,183.989431,0.034075,0.000476,0.082304,13.521316,184.04214,0.033814,0.00047,0.083518,13.95026,183.744338,0.034217,0.000469,0.086481,13.977427,186.495977,0.033593,0.000451,0.093709,14.84981,196.823092,0.032052,0.000471,0.0869,13.818768,188.393077,0.032913
17,18,20,0.002651,0.043943,2.417399,86.225932,0.23125,0.003319,0.041377,1.914603,71.40205,0.284487,0.002657,0.041813,2.424687,85.540407,0.227027,0.001501,0.05898,4.015783,156.27422,0.118555,0.001456,0.071527,4.26832,172.344331,0.107595,0.001382,0.084213,4.822364,183.552783,0.102053,0.001437,0.075649,4.390797,174.956763,0.105994,0.001374,0.083974,4.665791,190.497881,0.098481,0.001419,0.07891,4.459378,183.890328,0.100925
18,19,21,0.001611,0.0534,3.444089,90.651952,0.15037,0.001834,0.051336,2.948784,81.646335,0.178042,0.00144,0.047793,4.755652,99.501191,0.120256,0.000914,0.07553,7.075472,170.50481,0.06778,0.000901,0.078354,7.161824,177.949983,0.064748,0.000852,0.090809,7.717376,188.839651,0.061633,0.000847,0.081226,7.635541,188.230659,0.061987,0.000824,0.086978,7.9787,193.784533,0.060499,0.000854,0.088196,7.67839,191.982479,0.060471
19,20,22,0.00041,0.048442,12.66823,84.210232,0.040601,0.000481,0.031821,11.235672,68.305047,0.047939,0.000349,0.046769,18.775499,100.413545,0.029193,0.00022,0.071433,28.963023,172.248234,0.016922,0.00022,0.064305,27.763292,171.554919,0.01676,0.00022,0.073785,28.83595,175.001945,0.016528,0.000218,0.083136,29.634852,184.126232,0.015708,0.00021,0.088543,31.409594,194.625381,0.015007,0.000211,0.082435,30.436701,188.980142,0.01532
