,Num,Dnum,ROISZE,ROILZE,ROIszGLN,ROIZSN,ROIZP,ROILGZE,ROIHGZE,ROISZLGE,ROISZHGE,ROILZLGE,ROILZHGE,ROIszGLV,ROIZLV,LLLSZE,LLLLZE,LLLszGLN,LLLZSN,LLLZP,LLLLGZE,LLLHGZE,LLLSZLGE,LLLSZHGE,LLLLZLGE,LLLLZHGE,LLLszGLV,LLLZLV,LLHSZE,LLHLZE,LLHszGLN,LLHZSN,LLHZP,LLHLGZE,LLHHGZE,LLHSZLGE,LLHSZHGE,LLHLZLGE,LLHLZHGE,LLHszGLV,LLHZLV,LHLSZE,LHLLZE,LHLzGLN,LHLZSN,LHLZP,LHLLGZE,LHLHGZE,LHLSZLGE,LHLSZHGE,LHLLZLGE,LHLLZHGE,LHLszGLV,LHLZLV,LHHSZE,LHHLZE,LHHszGLN,LHHZSN,LHHZP,LHHLGZE,LHHHGZE,LHHSZLGE,LHHSZHGE,LHHLZLGE,LHHLZHGE,LHHszGLV,LHHZLV,HLLSZE,HLLLZE,HLLszGLN,HLLZSN,HLLZP,HLLLGZE,HLLHGZE,HLLSZLGE,HLLSZHGE,HLLLZLGE,HLLLZHGE,HLLszGLV,HLLZLV,HLHSZE,HLHLZE,HLHszGLN,HLHZSN,HLHZP,HLHLGZE,HLHHGZE,HLHSZLGE,HLHSZHGE,HLHLZLGE,HLHLZHGE,HLHzGLV,HLHZLV,HHLSZE,HHLLZE,HHLszGLN,HHLZSN,HHLZP,HHLLGZE,HHLHGZE,HHLSZLGE,HHLSZHGE,HHLLZLGE,HHLLZHGE,HHLszGLV,HHLZLV,HHHSZE,HHHLZE,HHHszGLN,HHHZSN,HHHZP,HHHLGZE,HHHHGZE,HHHSZLGE,HHHSZHGE,HHHLZLGE,HHHLZHGE,HHHzGLV,HHHZLV
0,1,1,0.632791,243.561644,0.03958,0.373151,0.231013,0.010707,360.063014,0.006424,238.209836,1.100338,59283.580822,0.001082,0.000128,0.629268,315.602649,0.041226,0.371628,0.191139,0.012725,367.119205,0.006947,240.607501,1.534113,74572.36755,0.00141,0.000229,0.618124,104.946121,0.047321,0.357387,0.294603,0.010345,318.984914,0.007455,202.30512,0.409588,31444.859914,0.001612,7.2e-05,0.664507,100.830798,0.044825,0.409099,0.333545,0.019848,319.659696,0.015709,216.449845,0.383045,30141.665399,0.001461,5.6e-05,0.707963,57.606742,0.043488,0.463869,0.39207,0.01109,320.841091,0.008802,234.961851,0.22994,15976.849117,0.00202,3.9e-05,0.662746,48.842391,0.04718,0.407051,0.352265,0.014293,308.01087,0.010705,206.849125,0.218456,13055.54529,0.003055,6e-05,0.706408,22.330014,0.045052,0.461438,0.446066,0.01391,305.159317,0.011034,222.875222,0.108647,5916.366999,0.003198,3.4e-05,0.711705,27.855457,0.046906,0.468565,0.430203,0.014289,315.634218,0.012313,231.331837,0.114539,8222.289086,0.002789,3e-05,0.702675,12.756792,0.045519,0.45686,0.488931,0.009712,318.049159,0.008136,231.229806,0.057677,3582.178525,0.00512,3.6e-05
1,2,3,0.617641,3651.203534,0.043222,0.355138,0.173935,0.009637,338.243122,0.00622,206.316052,20.936402,689691.742563,8.5e-05,1.5e-05,0.575822,6675.514481,0.044083,0.310522,0.119656,0.007469,359.605923,0.004899,202.469992,32.661298,1484597.590953,7.3e-05,3.4e-05,0.627698,1781.160006,0.043723,0.366658,0.277676,0.013812,304.797777,0.009819,193.52366,6.338288,510844.847734,6.4e-05,4e-06,0.642047,3089.041951,0.04481,0.383202,0.265727,0.016889,304.871628,0.013339,196.17351,10.879031,887565.901423,4.9e-05,5e-06,0.694061,1786.582055,0.046916,0.445544,0.32037,0.010722,308.909292,0.008654,218.646859,6.57479,492607.605867,7.8e-05,3e-06,0.648,1377.441876,0.043912,0.389959,0.298187,0.012723,307.995797,0.00958,202.463703,5.042528,382512.641009,7.2e-05,3e-06,0.692028,997.712199,0.045934,0.443031,0.359669,0.010427,310.272648,0.008159,218.72271,3.683249,274726.740107,9.8e-05,2e-06,0.679842,538.086942,0.045381,0.427791,0.360969,0.011173,310.852165,0.009106,215.234224,2.051995,143895.653859,0.000102,2e-06,0.71111,400.851151,0.044376,0.467477,0.392392,0.011892,310.079008,0.010262,224.667623,1.518587,108010.661652,0.000123,1e-06
2,3,4,0.62755,93.910814,0.045034,0.365727,0.295066,0.017168,297.77146,0.013243,181.901422,0.378221,28429.28874,0.000872,2.6e-05,0.613764,220.067164,0.041862,0.350782,0.220758,0.019367,294.159701,0.015065,171.753619,0.880536,64406.21791,0.000643,5.9e-05,0.635399,90.798228,0.045276,0.374368,0.333443,0.015395,302.285433,0.012087,190.951263,0.346317,26746.129921,0.000672,1.7e-05,0.638071,46.962862,0.047526,0.378503,0.363996,0.01001,306.60779,0.007869,199.868865,0.184191,13490.594203,0.001205,1.6e-05,0.68565,44.969097,0.04614,0.435717,0.415815,0.009115,311.052298,0.007088,216.939965,0.178856,12426.148177,0.001498,1.7e-05,0.667612,34.55082,0.046103,0.412678,0.400788,0.013318,308.834426,0.01133,209.195878,0.138053,10232.57459,0.00173,1.8e-05,0.690015,18.08303,0.04481,0.440572,0.450164,0.010583,310.106336,0.008172,219.924333,0.080148,5159.119446,0.003436,2.5e-05,0.669483,20.087537,0.046559,0.415732,0.441099,0.010935,314.468843,0.009187,214.164019,0.090214,5400.694362,0.002876,2.3e-05,0.706026,18.230028,0.045314,0.461016,0.475131,0.009701,311.630854,0.00806,225.837316,0.084039,4709.21832,0.002643,1.8e-05
3,4,5,0.624674,2985.351603,0.042544,0.363591,0.143876,0.006274,398.773178,0.003281,264.782297,15.827846,620304.940525,0.000208,5.6e-05,0.602881,6336.614035,0.047016,0.339251,0.095541,0.007392,462.264912,0.004678,284.655596,30.693752,1434162.195614,0.000232,0.000156,0.648019,983.137734,0.043428,0.389782,0.264058,0.015292,312.313869,0.011882,202.411114,3.517391,281358.766741,0.000136,1e-05,0.652604,1712.708362,0.048739,0.394506,0.245231,0.013463,310.036326,0.00997,205.552522,6.157461,482820.891364,0.000111,1.3e-05,0.691754,1142.076754,0.048694,0.442749,0.30518,0.012496,307.58652,0.010098,216.584951,4.292421,308765.713893,0.00014,8e-06,0.652165,201.334292,0.044129,0.394069,0.319499,0.01366,314.506796,0.010759,208.749172,0.779619,54653.918975,0.000413,7e-06,0.687827,278.647643,0.045622,0.437812,0.370064,0.011652,306.674261,0.009656,214.737374,1.054368,75470.951951,0.00022,4e-06,0.679352,162.257301,0.045169,0.427003,0.362931,0.009952,310.732582,0.007637,213.890723,0.61117,44928.502184,0.000369,4e-06,0.720633,218.34431,0.044965,0.480239,0.400033,0.011466,308.768654,0.009882,226.036739,0.86482,56747.856398,0.00027,3e-06
4,5,6,0.569536,6127.975015,0.048911,0.304234,0.135984,0.015066,261.770538,0.009877,145.92516,15.91528,2708644.579252,4e-05,1.4e-05,0.542411,10010.713367,0.049387,0.278105,0.097129,0.016198,256.46085,0.009613,132.314668,23.539383,4922302.21868,3.9e-05,3.3e-05,0.617016,1822.27662,0.043089,0.354442,0.265977,0.012326,315.855221,0.009144,197.955285,6.830611,496779.995379,5.5e-05,3e-06,0.613054,687.454723,0.046549,0.35037,0.280983,0.010226,309.619731,0.007503,192.730801,2.56203,188763.579333,9.1e-05,2e-06,0.675734,378.147657,0.04474,0.422324,0.37712,0.01041,311.964588,0.008355,215.83825,1.425097,102316.844739,0.0001,1e-06,0.630379,1422.700019,0.044344,0.369474,0.289778,0.013027,311.920371,0.010127,199.383859,5.259999,391602.211746,5.6e-05,2e-06,0.69245,1273.413804,0.045325,0.443381,0.357123,0.010728,310.874847,0.00873,219.298008,4.791065,344263.219248,7.4e-05,2e-06,0.675263,214.357527,0.044334,0.421936,0.375624,0.010927,311.086094,0.008844,213.335098,0.804117,59092.351351,0.000147,1e-06,0.705338,282.600069,0.044337,0.459881,0.39538,0.010625,311.475138,0.008976,224.504322,1.071779,76752.687293,0.000146,1e-06
5,6,7,0.590945,1522.112983,0.044076,0.326105,0.180824,0.009055,342.730426,0.006273,203.186672,7.184988,340459.296333,0.000118,1.4e-05,0.543737,3580.207725,0.04178,0.281371,0.126799,0.010542,341.182289,0.006541,182.80054,16.596696,814641.369289,7.1e-05,3.4e-05,0.617991,708.785314,0.044619,0.35546,0.276643,0.013444,306.281008,0.009898,190.888463,2.483351,209127.747416,0.000118,5e-06,0.622374,234.968137,0.044458,0.360381,0.306643,0.013069,302.177385,0.009912,191.89963,0.858895,67489.882844,0.000233,4e-06,0.672782,90.460536,0.044712,0.418899,0.388185,0.00977,311.779157,0.007722,214.933663,0.359268,24231.678774,0.000412,3e-06,0.62156,396.843226,0.046518,0.359443,0.289192,0.010742,304.607446,0.007958,192.454395,1.474187,110470.713547,0.000197,5e-06,0.682387,370.520345,0.047557,0.430987,0.360258,0.01059,308.236173,0.008613,213.444541,1.409732,99155.243813,0.000155,3e-06,0.665997,184.984312,0.044763,0.411257,0.368211,0.011603,312.269287,0.009279,210.762382,0.7043,50698.367297,0.000213,2e-06,0.718685,152.06851,0.045604,0.477764,0.39271,0.010506,310.594562,0.008848,227.744396,0.572786,41908.916603,0.000374,3e-06
6,7,8,0.570635,8524.940623,0.046417,0.305581,0.131346,0.011014,299.485846,0.006416,170.940335,42.408658,2064670.936638,3e-05,7e-06,0.525596,21970.477763,0.046317,0.262003,0.082061,0.012561,293.316874,0.006948,150.998474,102.50257,5730241.112001,2.3e-05,2.4e-05,0.616793,1793.903037,0.043038,0.354736,0.280427,0.012129,310.073833,0.008987,193.911753,6.491398,504443.036361,3.1e-05,1e-06,0.618561,1243.549322,0.044634,0.356643,0.300197,0.011673,309.750769,0.008576,193.892383,4.65363,336878.270072,3.7e-05,1e-06,0.678283,907.868581,0.043864,0.425683,0.37317,0.010633,311.999274,0.008544,216.59069,3.421272,243891.191014,4.5e-05,1e-06,0.622228,521.455152,0.043807,0.360926,0.31874,0.012133,310.158561,0.009135,195.435808,1.883481,148146.76033,5.4e-05,1e-06,0.67838,802.958023,0.044436,0.425721,0.367213,0.010298,312.458835,0.008283,216.684739,2.982744,219149.196264,5.4e-05,1e-06,0.661355,218.676864,0.044092,0.405314,0.36905,0.010109,310.896189,0.007855,209.936552,0.792337,62397.686695,9.5e-05,1e-06,0.707967,270.31747,0.043985,0.463305,0.403423,0.010619,312.011034,0.008955,225.368343,0.990178,75631.806084,8.7e-05,1e-06
7,8,9,0.579993,87.211221,0.046517,0.314721,0.270439,0.008676,297.19505,0.005265,170.690353,0.379501,26316.357426,0.000838,1.2e-05,0.554973,412.498821,0.044898,0.288114,0.189274,0.00972,299.142386,0.006145,160.736008,1.578609,128878.585573,0.000189,1.2e-05,0.612753,35.964167,0.044154,0.349961,0.350152,0.009557,315.127975,0.006768,196.099219,0.161891,10042.786793,0.001738,1.4e-05,0.633252,31.196892,0.044144,0.37197,0.369948,0.010451,310.349357,0.007714,202.508538,0.137363,8941.411022,0.001514,1.1e-05,0.668123,27.97361,0.044389,0.413508,0.415887,0.009107,312.405148,0.007063,213.565559,0.119,7707.420722,0.001491,1e-05,0.627148,67.205514,0.045251,0.366476,0.353137,0.012378,307.585397,0.009203,196.378732,0.265435,19238.349757,0.000525,5e-06,0.672395,41.643059,0.044171,0.419164,0.414573,0.010238,310.875733,0.008383,213.004328,0.165996,11550.603519,0.000996,7e-06,0.666113,27.141995,0.044677,0.410863,0.416682,0.010549,308.24736,0.008363,208.610334,0.115844,7538.895066,0.001228,8e-06,0.706285,29.726543,0.043217,0.461127,0.437011,0.010903,310.431893,0.009388,224.33032,0.12347,8187.242798,0.001331,8e-06
8,9,10,0.598386,2664.278601,0.048663,0.335859,0.180756,0.004602,403.821577,0.002733,250.98111,14.485597,517751.752816,0.000122,1.5e-05,0.563497,3727.723719,0.049428,0.299032,0.141408,0.005086,396.118786,0.003001,226.925636,23.176737,646286.13055,0.000104,2.7e-05,0.633428,884.254419,0.042741,0.372636,0.283945,0.013972,302.119594,0.01039,191.11498,3.051002,262451.189733,9.5e-05,4e-06,0.648247,410.228021,0.044254,0.389804,0.324761,0.012775,304.670892,0.00956,198.858086,1.426035,121707.554659,0.00014,3e-06,0.687288,375.369993,0.044846,0.436963,0.372579,0.010531,310.642785,0.008417,218.471478,1.396088,103003.373726,0.000158,2e-06,0.649437,627.880605,0.044085,0.390992,0.314951,0.013307,304.750679,0.010546,200.468689,2.301749,174691.766135,0.000117,3e-06,0.692783,680.33693,0.04583,0.443913,0.346841,0.010477,310.481042,0.008711,221.556714,2.548504,186369.081843,0.000168,4e-06,0.68378,241.382896,0.045513,0.432578,0.359084,0.010265,310.282777,0.008482,216.434841,0.910341,65766.321961,0.000203,2e-06,0.715676,622.998244,0.046899,0.473826,0.365309,0.009764,309.074795,0.00827,226.268544,2.247143,176051.993999,0.000148,3e-06
9,10,11,0.582401,11584.276573,0.04674,0.316963,0.123875,0.00795,334.471425,0.005127,195.089929,49.828991,3130756.902529,3e-05,7e-06,0.54112,30973.444981,0.046737,0.275015,0.071483,0.007985,324.15664,0.004454,172.809927,128.601223,8706791.015898,2.1e-05,2.6e-05,0.623718,3544.871936,0.042699,0.362173,0.275697,0.01283,306.622304,0.009436,193.381696,12.4049,1027538.159109,2.1e-05,1e-06,0.634079,3655.367691,0.044444,0.373641,0.296605,0.011209,308.028401,0.008443,197.391684,13.154374,1025699.025854,2.2e-05,1e-06,0.685699,1992.077294,0.043969,0.434953,0.36183,0.011158,313.781383,0.009152,220.101831,7.290388,552176.04718,3.4e-05,1e-06,0.635341,1973.694806,0.043347,0.375081,0.303266,0.01256,308.629357,0.009663,198.700538,7.151041,551380.192857,2.6e-05,1e-06,0.685795,1384.906279,0.044029,0.435081,0.367415,0.010953,313.17931,0.00897,219.52103,5.157968,376936.31713,3.9e-05,1e-06,0.672778,1833.790556,0.04441,0.418957,0.350279,0.010973,312.003734,0.008756,213.860541,7.016461,485733.800599,3.5e-05,1e-06,0.712494,1312.718443,0.04415,0.469328,0.391653,0.01076,313.318132,0.009153,228.363822,4.849282,360184.784059,4.2e-05,0.0
