,Num,Dnum,ROIGEnergy,ROIGContrast,ROIGEntropy,ROIGHomogeneity1,ROIGHomogeneity2,ROIGCorrelation,ROIGSumAverage,ROIGVariance,ROIGDissimilarity,ROIGAutoCorrelation,ROIGCorrelation1,LLLGEnergy,LLLGContrast,LLLGEntropy,LLLGHomogeneity1,LLLGHomogeneity2,LLLGCorrelation,LLLGSumAverage,LLLGVariance,LLLGDissimilarity,LLLGAutoCorrelation,LLLGCorrelation1,LLHGEnergy,LLHGContrast,LLHGEntropy,LLHGHomogeneity1,LLHGHomogeneity2,LLHGCorrelation,LLHGSumAverage,LLHGVariance,LLHGDissimilarity,LLHGAutoCorrelation,LLHGCorrelation1,LHLGEnergy,LHLGContrast,LHLGEntropy,LHLGHomogeneity1,LHLGHomogeneity2,LHLGCorrelation,LHLGSumAverage,LHLGVariance,LHLGDissimilarity,LHLGAutoCorrelation,LHLGCorrelation1,LHHGEnergy,LHHGContrast,LHHGEntropy,LHHGHomogeneity1,LHHGHomogeneity2,LHHGCorrelation,LHHGSumAverage,LHHGVariance,LHHGDissimilarity,LHHGAutoCorrelation,LHHGCorrelation1,HLLGEnergy,HLLGContrast,HLLGEntropy,HLLGHomogeneity1,HLLGHomogeneity2,HLLGCorrelation,HLLGSumAverage,HLLGVariance,HLLGDissimilarity,HLLGAutoCorrelation,HLLGCorrelation1,HLHGEnergy,HLHGContrast,HLHGEntropy,HLHGHomogeneity1,HLHGHomogeneity2,HLHGCorrelation,HLHGSumAverage,HLHGVariance,HLHGDissimilarity,HLHGAutoCorrelation,HLHGCorrelation1,HHLGEnergy,HHLGContrast,HHLGEntropy,HHLGHomogeneity1,HHLGHomogeneity2,HHLGCorrelation,HHLGSumAverage,HHLGVariance,HHLGDissimilarity,HHLGAutoCorrelation,HHLGCorrelation1,HHHGEnergy,HHHGContrast,HHHGEntropy,HHHGHomogeneity1,HHHGHomogeneity2,HHHGCorrelation,HHHGSumAverage,HHHGVariance,HHHGDissimilarity,HHHGAutoCorrelation,HHHGCorrelation1
0,1,1,0.023064,2.754346,6.023873,0.574679,0.531146,0.787981,0.035913,0.025389,1.216509,89.649086,25597.014968,0.019782,3.002698,6.160882,0.572364,0.528926,0.812263,0.040557,0.031223,1.250558,114.291927,44488.139422,0.02524,2.878314,5.978081,0.579198,0.53611,0.764585,0.035068,0.023891,1.221784,85.269107,21618.837255,0.01554,9.055553,6.526471,0.459072,0.38905,0.23047,0.032791,0.022988,2.206829,71.825391,20299.205822,0.022032,9.201909,6.303906,0.474691,0.410254,0.117998,0.03272,0.020374,2.13252,70.779083,14941.632468,0.021618,8.53699,6.244586,0.471538,0.403223,0.168377,0.032611,0.020048,2.103253,70.559685,14083.496993,0.014967,10.080232,6.58489,0.429002,0.351239,0.135707,0.032983,0.022778,2.394271,72.088281,19603.613791,0.018554,10.672519,6.42431,0.431438,0.353579,0.01169,0.033175,0.021091,2.447377,72.189678,15787.627126,0.016714,10.750266,6.469977,0.416656,0.336196,-0.001569,0.033157,0.020963,2.488231,72.038867,17253.701043
1,2,3,0.025506,2.260649,5.848373,0.608804,0.573437,0.823425,0.034658,0.025008,1.06969,83.992502,23977.690961,0.029353,1.619436,5.649599,0.649176,0.622903,0.874344,0.035222,0.025171,0.892021,86.939128,25380.072025,0.025662,2.211418,5.838418,0.601402,0.564842,0.814091,0.033233,0.023235,1.080501,77.222545,21097.327716,0.017036,9.454545,6.534278,0.45424,0.381851,0.186434,0.033259,0.022698,2.247028,73.57583,18532.299265,0.019241,8.845176,6.410947,0.460245,0.390115,0.175377,0.033228,0.020949,2.164456,73.297226,16433.207055,0.018503,8.96593,6.454162,0.464097,0.393872,0.196504,0.033148,0.021795,2.166688,73.108145,17299.221425,0.020128,8.599013,6.382261,0.462143,0.392448,0.188558,0.033196,0.020698,2.136447,73.2194,15793.87296,0.016157,11.315271,6.569299,0.42417,0.344944,0.016899,0.033236,0.02248,2.526031,72.491569,18097.13802,0.018784,10.583335,6.439486,0.431777,0.355612,0.007782,0.033244,0.020833,2.418538,72.470152,15977.628404
2,3,4,0.015616,5.082844,6.466843,0.494181,0.430634,0.632629,0.033152,0.027017,1.701418,76.40098,26158.215303,0.018914,3.916383,6.179012,0.529694,0.47489,0.671564,0.033328,0.023295,1.474372,76.801486,22545.349056,0.017145,6.113145,6.415987,0.477344,0.410174,0.482936,0.034144,0.023082,1.852599,79.254298,21185.30298,0.015527,13.30381,6.647665,0.402825,0.321367,-0.081556,0.033161,0.024025,2.75459,71.56625,19144.888379,0.018259,11.118278,6.449553,0.416941,0.337824,-0.038487,0.033543,0.020911,2.508447,73.529424,16464.580308,0.017103,12.365983,6.554582,0.411167,0.331189,-0.061457,0.033743,0.022761,2.647153,74.261053,17876.842747,0.017343,11.257632,6.447291,0.404724,0.321688,-0.072383,0.032926,0.020506,2.578986,70.668667,16063.634086,0.014827,12.184788,6.636342,0.409303,0.328738,-0.000484,0.032674,0.023793,2.629023,69.962749,19632.381675,0.017496,10.957605,6.486024,0.417297,0.338006,0.000115,0.033445,0.021407,2.491264,73.306185,17090.505786
3,4,5,0.019123,3.437291,6.153023,0.54159,0.490303,0.729012,0.034768,0.024771,1.383622,83.841593,26056.858565,0.022301,2.636362,5.943565,0.57359,0.530443,0.777217,0.033946,0.023118,1.203594,80.118026,22885.8345,0.018815,4.939482,6.263154,0.500508,0.438796,0.55214,0.033385,0.021537,1.66356,76.087599,19432.848665,0.015718,11.684742,6.538627,0.408089,0.326321,-0.048282,0.033107,0.021771,2.60684,71.563594,18282.344815,0.016132,11.266415,6.51071,0.403189,0.319991,-0.038879,0.033201,0.021181,2.583972,72.029276,17394.06655,0.016532,11.892707,6.518641,0.412024,0.33155,-0.069654,0.033177,0.021715,2.603299,71.74926,17670.341602,0.016656,11.232871,6.468531,0.403015,0.319785,-0.061474,0.033193,0.020668,2.578622,71.8785,17006.981277,0.015651,11.545378,6.570535,0.41574,0.335942,0.006616,0.033051,0.0227,2.550812,71.628943,19095.044711,0.016047,11.099428,6.539498,0.409779,0.32838,0.006399,0.033417,0.021819,2.539493,73.218132,18530.009937
4,5,6,0.030251,2.754848,5.744547,0.590681,0.551624,0.740256,0.034439,0.02071,1.171838,81.65273,17092.964976,0.033066,2.236299,5.605894,0.617591,0.584702,0.787143,0.034094,0.020519,1.043453,80.313777,16898.720966,0.02442,4.552446,6.032825,0.523782,0.468239,0.514927,0.032963,0.018332,1.553955,73.627413,14588.658443,0.020219,9.699952,6.275683,0.435934,0.359946,-0.028719,0.033261,0.018417,2.327727,72.366893,14666.352555,0.020824,10.078504,6.286566,0.42771,0.350387,-0.05033,0.033302,0.018741,2.379255,72.438985,14175.471121,0.022383,9.865484,6.199462,0.44184,0.3677,-0.075097,0.033203,0.017922,2.314246,71.902952,13671.75872,0.020763,10.268346,6.274554,0.424947,0.347006,-0.077489,0.033161,0.018612,2.406506,71.697106,14270.728884,0.020086,9.671275,6.303247,0.440894,0.36642,0.011876,0.033109,0.019117,2.296304,71.901284,15302.527734,0.019681,9.801571,6.336944,0.430328,0.353489,0.007974,0.033235,0.019298,2.344986,72.427336,15209.927378
5,6,7,0.023945,2.642187,5.975139,0.587041,0.546361,0.799199,0.032314,0.0257,1.172813,73.690583,21493.58512,0.025821,2.198096,5.868274,0.610577,0.575387,0.836005,0.032025,0.026181,1.059182,72.817072,21486.875776,0.024357,3.843719,6.018605,0.538428,0.486584,0.625954,0.03397,0.02007,1.436788,78.841592,16794.097649,0.018106,10.734274,6.41433,0.422599,0.34393,-0.038364,0.033195,0.02019,2.464348,72.014081,16179.992471,0.017665,11.101442,6.43674,0.409519,0.328042,-0.065185,0.033231,0.020355,2.541703,72.033097,16254.122764,0.020188,11.150227,6.363065,0.430407,0.354347,-0.076825,0.033182,0.020225,2.45863,71.758626,15138.023618,0.018324,11.153062,6.409821,0.413015,0.332684,-0.078577,0.033207,0.020197,2.527903,71.859914,15881.18228,0.016991,11.127701,6.502107,0.424343,0.346628,0.002384,0.033202,0.021786,2.484039,72.25943,18004.14716,0.017129,10.855165,6.488296,0.416304,0.336355,0.000525,0.033301,0.021212,2.490729,72.677271,17325.282315
6,7,8,0.026776,2.455239,5.823807,0.598552,0.561076,0.793992,0.033693,0.023277,1.118528,79.130526,20146.377852,0.031513,1.788836,5.589078,0.640759,0.612794,0.844013,0.033857,0.022398,0.933077,79.961521,19915.443878,0.020379,4.608542,6.224341,0.513414,0.454922,0.583224,0.033173,0.021598,1.594362,75.344202,18386.350722,0.017606,9.633344,6.468545,0.438084,0.362713,0.110389,0.033142,0.02115,2.313042,72.581503,16959.532065,0.018653,10.330473,6.395893,0.422549,0.343972,-0.012083,0.033219,0.019936,2.425299,72.258818,15558.406026,0.019146,9.838696,6.381269,0.440993,0.366448,0.040743,0.03313,0.020032,2.317212,72.14256,15711.736653,0.018204,10.484402,6.423734,0.420757,0.341712,-0.008412,0.033244,0.020307,2.44494,72.385711,15944.615084,0.016701,11.20142,6.521494,0.418959,0.339911,-0.006342,0.033205,0.02174,2.516019,72.223914,17726.609919,0.018036,10.589422,6.443543,0.419035,0.339629,-0.00293,0.033197,0.020622,2.458505,72.207972,16178.88124
7,8,9,0.021466,2.566497,6.032821,0.607137,0.570068,0.867734,0.036715,0.037893,1.114897,96.758091,46981.573377,0.023955,2.037273,5.875143,0.637086,0.606485,0.895332,0.03788,0.038009,0.977555,102.749608,48693.171021,0.02173,4.884062,6.226474,0.520644,0.463881,0.560163,0.033209,0.02169,1.604323,75.385996,17771.915694,0.02686,8.963008,6.06773,0.46579,0.397451,-0.040445,0.033006,0.016825,2.155739,71.221303,11951.635234,0.022527,10.343281,6.274035,0.437539,0.363538,-0.057721,0.033281,0.019099,2.364142,72.306129,13706.994726,0.024447,9.680696,6.138663,0.45072,0.378553,-0.075825,0.033259,0.017574,2.262012,72.150541,12879.897478,0.021022,10.573371,6.313765,0.428573,0.35216,-0.065567,0.033157,0.019379,2.412354,71.725949,14322.548961,0.020632,10.247204,6.347918,0.442004,0.368461,0.000444,0.033229,0.020023,2.343125,72.3651,15366.372938,0.02068,10.310891,6.365497,0.436026,0.361263,0.000315,0.033169,0.020144,2.367755,72.101753,14973.134122
8,9,10,0.025467,3.498113,5.905469,0.565045,0.519425,0.700123,0.037177,0.022784,1.323689,94.663977,22347.42414,0.025954,2.964408,5.855695,0.583682,0.542724,0.756941,0.037321,0.023817,1.213752,95.897244,24482.903756,0.023584,4.423583,6.114964,0.534971,0.482518,0.584384,0.032635,0.020787,1.505678,72.908562,16333.409199,0.019396,10.783462,6.357379,0.426004,0.348184,-0.071978,0.033181,0.019648,2.454232,71.790048,15237.056179,0.021324,9.703749,6.220752,0.430644,0.353726,-0.066542,0.033227,0.01777,2.340831,72.050102,13851.126534,0.019455,10.41317,6.335991,0.428679,0.351202,-0.054627,0.033201,0.019284,2.417371,71.97101,15297.33381,0.020165,10.089419,6.307499,0.42665,0.349088,-0.042841,0.033254,0.018898,2.388535,72.262591,14726.636895,0.017744,10.78851,6.448254,0.428402,0.351446,-0.002547,0.033158,0.021018,2.440051,72.040122,17243.405265,0.018148,10.375257,6.418258,0.423196,0.344887,0.001619,0.033321,0.020297,2.422881,72.772161,16536.940261
9,10,11,0.0364,2.448199,5.57009,0.619172,0.586402,0.762628,0.033731,0.020144,1.061793,78.499424,14757.726452,0.039014,1.969816,5.451256,0.648487,0.621664,0.8131,0.033845,0.020584,0.93554,79.356922,15717.58926,0.033113,4.393786,5.793587,0.541781,0.49114,0.471684,0.033367,0.016243,1.479167,74.928401,11495.951285,0.021299,9.579554,6.241317,0.438568,0.363207,-0.029983,0.033193,0.018165,2.304033,72.065402,13995.107861,0.023031,9.043208,6.130433,0.43777,0.362173,-0.051683,0.033177,0.016795,2.254868,71.913439,12789.827838,0.023363,9.359988,6.11785,0.443822,0.369462,-0.079759,0.033128,0.016931,2.264096,71.578439,13054.864296,0.023561,9.486564,6.147127,0.438663,0.363838,-0.069495,0.03322,0.017324,2.283985,72.015416,12896.61408,0.019453,9.970323,6.339854,0.438753,0.364109,0.006133,0.033206,0.019593,2.330761,72.29401,15844.146387,0.022282,8.870206,6.181414,0.444055,0.370258,0.00767,0.033211,0.017459,2.213337,72.318199,13671.52414
