,Num,Dnum,ROIGEnergy,ROIGContrast,ROIGEntropy,ROIGHomogeneity1,ROIGHomogeneity2,ROIGCorrelation,ROIGSumAverage,ROIGVariance,ROIGDissimilarity,ROIGAutoCorrelation,ROIGCorrelation1,LLLGEnergy,LLLGContrast,LLLGEntropy,LLLGHomogeneity1,LLLGHomogeneity2,LLLGCorrelation,LLLGSumAverage,LLLGVariance,LLLGDissimilarity,LLLGAutoCorrelation,LLLGCorrelation1,LLHGEnergy,LLHGContrast,LLHGEntropy,LLHGHomogeneity1,LLHGHomogeneity2,LLHGCorrelation,LLHGSumAverage,LLHGVariance,LLHGDissimilarity,LLHGAutoCorrelation,LLHGCorrelation1,LHLGEnergy,LHLGContrast,LHLGEntropy,LHLGHomogeneity1,LHLGHomogeneity2,LHLGCorrelation,LHLGSumAverage,LHLGVariance,LHLGDissimilarity,LHLGAutoCorrelation,LHLGCorrelation1,LHHGEnergy,LHHGContrast,LHHGEntropy,LHHGHomogeneity1,LHHGHomogeneity2,LHHGCorrelation,LHHGSumAverage,LHHGVariance,LHHGDissimilarity,LHHGAutoCorrelation,LHHGCorrelation1,HLLGEnergy,HLLGContrast,HLLGEntropy,HLLGHomogeneity1,HLLGHomogeneity2,HLLGCorrelation,HLLGSumAverage,HLLGVariance,HLLGDissimilarity,HLLGAutoCorrelation,HLLGCorrelation1,HLHGEnergy,HLHGContrast,HLHGEntropy,HLHGHomogeneity1,HLHGHomogeneity2,HLHGCorrelation,HLHGSumAverage,HLHGVariance,HLHGDissimilarity,HLHGAutoCorrelation,HLHGCorrelation1,HHLGEnergy,HHLGContrast,HHLGEntropy,HHLGHomogeneity1,HHLGHomogeneity2,HHLGCorrelation,HHLGSumAverage,HHLGVariance,HHLGDissimilarity,HHLGAutoCorrelation,HHLGCorrelation1,HHHGEnergy,HHHGContrast,HHHGEntropy,HHHGHomogeneity1,HHHGHomogeneity2,HHHGCorrelation,HHHGSumAverage,HHHGVariance,HHHGDissimilarity,HHHGAutoCorrelation,HHHGCorrelation1
0,1,1,0.002119,54.956856,9.681429,0.283539,0.193472,0.661874,0.007631,0.019832,5.367056,1030.747416,3152131.67293,0.00237,39.778485,9.5553,0.312464,0.224228,0.769669,0.007434,0.021138,4.573657,993.846578,3357053.6499,0.001623,97.179191,9.979762,0.242257,0.154387,0.407332,0.00812,0.019949,7.100877,1139.350827,3654557.574608,0.001614,134.407173,10.092056,0.226635,0.141201,0.207186,0.008123,0.020693,8.225593,1124.560585,3424467.370296,0.001405,183.208614,10.351971,0.20667,0.125217,0.100389,0.007972,0.024831,9.660801,1076.408531,3860722.423814,0.00143,143.512128,10.133887,0.212109,0.128104,0.099061,0.00793,0.019507,8.790186,1063.103389,3418100.094857,0.001136,177.464423,10.385529,0.186505,0.105484,0.040921,0.007777,0.022562,10.09486,1018.514556,3866510.373279,0.00124,164.270336,10.245732,0.190523,0.108754,0.014201,0.008052,0.020287,9.709586,1088.762514,3791502.892317,0.001025,189.258147,10.483303,0.170894,0.091015,-0.005336,0.007962,0.022983,10.719877,1063.084004,4345971.965581
1,2,3,0.001779,58.277974,9.973204,0.294835,0.207632,0.716567,0.007511,0.025096,5.374159,1020.220497,4067130.358953,0.002365,36.001194,9.581937,0.344822,0.261656,0.806289,0.007853,0.022666,4.172101,1109.441706,4151678.430827,0.00148,110.712688,10.277288,0.232633,0.146371,0.369836,0.007938,0.02144,7.63872,1089.562003,3708461.087312,0.002115,114.65666,9.930645,0.243256,0.157684,0.196346,0.007987,0.017416,7.509592,1084.299429,2677762.538343,0.00171,133.6615,10.061276,0.21659,0.131809,0.050668,0.007931,0.017188,8.43709,1058.857576,2879946.272251,0.001485,135.677039,10.270736,0.220437,0.135842,0.190849,0.007954,0.020468,8.417809,1077.409983,3441414.940338,0.00134,157.002975,10.328251,0.19989,0.116907,0.042844,0.007929,0.020025,9.306103,1058.382608,3499620.95305,0.001267,164.375036,10.364721,0.196247,0.114095,0.012237,0.007934,0.020319,9.564543,1057.038732,3659279.852911,0.001147,176.675505,10.461808,0.185013,0.103973,-0.011841,0.007927,0.021312,10.094191,1053.112548,3897933.284963
2,3,4,0.001341,87.446496,10.159904,0.235029,0.146342,0.488981,0.008141,0.020871,7.006247,1153.579036,4245825.963757,0.001531,62.783884,9.97172,0.267381,0.177021,0.630661,0.0081,0.020772,5.81122,1154.483015,4430216.402063,0.001298,110.447169,10.270993,0.2175,0.130349,0.372967,0.007998,0.021456,7.859615,1105.830312,3990452.669975,0.001208,140.324549,10.314712,0.205652,0.121821,0.161002,0.007846,0.02046,8.851397,1046.315735,3877662.80114,0.001203,158.599267,10.348399,0.191002,0.10877,0.060128,0.00793,0.020587,9.58955,1060.027057,3795981.612281,0.001091,170.037289,10.46718,0.195023,0.113628,0.07719,0.007973,0.022536,9.753775,1073.771566,4340277.333682,0.001031,196.65572,10.577904,0.177595,0.097831,0.000176,0.007872,0.024027,10.700108,1039.827273,4294055.17341,0.000967,192.240827,10.565803,0.178164,0.098749,0.002822,0.007965,0.023534,10.660397,1064.725611,4667421.572143,0.000963,201.345913,10.6012,0.171188,0.092426,-0.015915,0.007906,0.024193,10.980426,1046.978229,4549535.968254
3,4,5,0.002188,44.947263,9.549785,0.304631,0.21458,0.697067,0.007401,0.018103,4.772974,970.558156,2917445.180742,0.00282,29.791722,9.206652,0.352961,0.267334,0.793204,0.007641,0.017582,3.781969,1036.596239,3071500.673776,0.001717,100.957428,10.058268,0.239357,0.151838,0.335389,0.008024,0.018548,7.235585,1105.643216,3196295.208686,0.002325,93.932224,9.689444,0.250509,0.163266,0.201631,0.008034,0.014358,6.904982,1094.790696,2400511.516416,0.001863,121.677641,9.927743,0.220126,0.133816,0.07433,0.007922,0.016044,8.050963,1057.878647,2642257.644304,0.001373,144.266718,10.317871,0.212845,0.129475,0.142375,0.007946,0.020522,8.806282,1071.177043,3574957.014154,0.001246,156.996025,10.362393,0.194461,0.111669,0.048961,0.007917,0.020149,9.445257,1055.719874,3642888.35189,0.001253,165.088271,10.380111,0.196127,0.114221,0.017603,0.007963,0.020511,9.618933,1065.388743,3730663.147495,0.001165,171.456932,10.427208,0.184468,0.102913,-0.003668,0.007927,0.020857,9.975641,1053.813632,3812837.365148
4,5,6,0.001529,48.700748,9.955646,0.292777,0.202808,0.778542,0.008613,0.026844,5.070224,1330.149607,6473576.581313,0.001672,35.913238,9.828852,0.322549,0.233979,0.854714,0.009091,0.030174,4.317861,1492.264948,8404603.306895,0.001285,110.820113,10.350723,0.224269,0.137351,0.380249,0.007888,0.021821,7.753718,1077.784398,4005655.401702,0.001374,124.332267,10.229727,0.218182,0.133075,0.187444,0.007951,0.018678,8.228589,1075.069504,3539940.971571,0.00107,170.47262,10.521287,0.185473,0.103907,0.051382,0.00793,0.02194,9.948059,1059.579396,4165698.594851,0.001355,138.886991,10.315671,0.215535,0.131312,0.164615,0.007942,0.020295,8.586845,1071.985034,3633641.072282,0.001238,159.732525,10.373565,0.193058,0.110441,0.033115,0.007949,0.020167,9.526309,1062.958154,3664166.359926,0.001049,182.66207,10.549496,0.184487,0.104039,0.003695,0.007944,0.022384,10.255021,1059.050489,4300445.605944,0.001036,182.103205,10.5384,0.178339,0.098125,-0.011016,0.007937,0.02199,10.394474,1055.809318,4212668.884912
5,6,7,0.001892,59.954295,9.821195,0.275492,0.185952,0.613469,0.007857,0.018924,5.638914,1083.144597,3362594.886161,0.002286,41.460129,9.5738,0.313458,0.225379,0.727607,0.007838,0.018564,4.621622,1085.940779,3387762.664169,0.001404,110.779119,10.259561,0.226456,0.139855,0.341825,0.007961,0.020552,7.721112,1092.108934,3706795.953975,0.001291,139.955674,10.374613,0.214012,0.130274,0.198464,0.007961,0.02132,8.679048,1080.519725,3838820.548463,0.001062,173.078682,10.539022,0.186604,0.105512,0.056734,0.007926,0.022394,9.990412,1059.168516,4239917.176957,0.001528,130.334355,10.177748,0.223335,0.138941,0.143884,0.007964,0.018576,8.272775,1075.06061,3321613.361314,0.001394,149.623152,10.240084,0.200485,0.116901,0.024259,0.007941,0.018716,9.131624,1059.783236,3329951.139435,0.001168,176.949947,10.470797,0.19272,0.111401,0.018003,0.007944,0.021991,9.902353,1060.397768,3976338.687862,0.001175,170.531479,10.414958,0.186093,0.104849,-0.011535,0.00795,0.020581,9.948576,1059.265035,3793513.017142
6,7,8,0.001334,47.896422,10.070641,0.287211,0.196826,0.772876,0.008001,0.025742,5.128606,1155.46329,6285807.560642,0.001673,30.898796,9.776239,0.328047,0.238967,0.854433,0.008012,0.025913,4.082513,1167.73522,6324815.030287,0.001181,116.991895,10.429405,0.218292,0.132294,0.362512,0.007966,0.022401,8.046903,1097.771568,4366845.89341,0.001208,143.840023,10.425448,0.209962,0.126562,0.175852,0.007938,0.021305,8.855174,1072.497425,4013335.86025,0.001063,175.024103,10.555969,0.186943,0.105833,0.052348,0.007927,0.022544,10.031357,1059.163237,4251415.476452,0.001103,160.071705,10.528666,0.20271,0.120553,0.134834,0.007932,0.022583,9.374017,1067.997186,4324314.745666,0.001114,172.561376,10.50719,0.189066,0.107605,0.037898,0.007929,0.021895,9.915372,1058.101996,4078368.601828,0.001021,185.686177,10.584225,0.185394,0.10552,0.006821,0.007933,0.022822,10.333346,1056.40852,4421885.002191,0.000998,189.146177,10.596099,0.177051,0.097304,-0.010904,0.007934,0.022841,10.578415,1055.176949,4398189.813642
7,8,9,0.000909,91.032669,10.515317,0.222152,0.134173,0.584629,0.00792,0.026748,7.373488,1116.362745,6507572.595202,0.001095,60.243235,10.286457,0.25285,0.161514,0.725577,0.007988,0.026773,5.970457,1149.968825,6575114.949925,0.000865,138.816838,10.679387,0.194264,0.110852,0.337633,0.00794,0.025579,9.100858,1093.130735,5628823.866834,0.000887,172.493044,10.70507,0.188446,0.107319,0.165038,0.007946,0.025217,9.974279,1076.354884,5298381.168679,0.000907,188.93962,10.680346,0.176968,0.097436,0.049947,0.007915,0.024274,10.592032,1055.974546,4885495.083892,0.001041,163.95759,10.567797,0.196651,0.114825,0.139995,0.007967,0.023277,9.599318,1078.298726,4591999.675949,0.000931,186.539064,10.655151,0.17651,0.09696,0.046613,0.00795,0.023876,10.560201,1064.763907,4748825.031055,0.000883,200.196333,10.711496,0.174905,0.096455,0.015269,0.007928,0.024823,10.91946,1056.19724,5057238.362387,0.000901,202.613957,10.695073,0.170453,0.092211,-0.006866,0.007914,0.024568,11.058627,1050.210827,4809951.487361
8,9,10,0.001941,59.644788,9.73448,0.281371,0.192824,0.629139,0.007694,0.019623,5.577014,1043.773669,3204294.19114,0.00202,43.883569,9.645442,0.305029,0.216588,0.747092,0.007283,0.021179,4.81012,954.706593,3274312.550204,0.001371,111.533325,10.319159,0.228385,0.142098,0.377313,0.008069,0.021863,7.735044,1126.100586,4023228.112604,0.001294,146.987894,10.381466,0.210262,0.12669,0.15356,0.00802,0.021197,8.894254,1092.476473,3856298.101109,0.001196,163.930989,10.427334,0.192766,0.110476,0.04827,0.007902,0.021024,9.637873,1051.766574,3786255.610996,0.001387,142.641986,10.319795,0.21512,0.131632,0.150453,0.007994,0.020493,8.726251,1084.73425,3608400.32864,0.001397,147.836205,10.26352,0.203176,0.119569,0.055747,0.007903,0.019113,9.059557,1052.2172,3325097.85853,0.001265,162.132442,10.350043,0.197131,0.115462,0.00597,0.007941,0.019908,9.559629,1058.366705,3623343.21048,0.001389,152.602482,10.232502,0.19608,0.113098,-0.011344,0.00793,0.018421,9.325982,1054.208688,3265162.119434
9,10,11,0.0014,43.638655,10.01674,0.300812,0.211847,0.796264,0.007921,0.026142,4.85202,1137.892799,6220205.613901,0.00176,26.99993,9.710327,0.344439,0.257546,0.875493,0.007941,0.026469,3.803991,1152.966764,6279435.470436,0.001262,115.512785,10.37705,0.221646,0.13562,0.353391,0.007967,0.021808,7.945042,1096.548313,4108654.011485,0.001355,141.287602,10.343549,0.216602,0.13318,0.156089,0.007965,0.020437,8.675593,1077.405145,3716350.771507,0.001171,168.361657,10.470203,0.192156,0.110418,0.043132,0.007938,0.021478,9.765225,1061.020883,3918505.826083,0.001231,149.860709,10.432259,0.210896,0.128056,0.148957,0.007959,0.021496,8.979559,1075.852417,3992732.2925,0.001139,169.452477,10.479912,0.189876,0.108397,0.036217,0.007937,0.021462,9.848276,1060.207382,3967909.836876,0.001211,172.3703,10.439581,0.19535,0.114191,0.005497,0.007933,0.021159,9.802072,1056.184713,3840213.187717,0.001092,180.969273,10.515687,0.181574,0.101105,-0.013128,0.007936,0.021804,10.295079,1055.536916,4047911.572168
