,Num,Dnum,ROISRE,ROILRE,ROIGLN,ROIRLN,ROIRP,ROILGRE,ROIHGRE,ROISRLGE,ROISRHGE,ROILRLGE,ROILRHGE,ROIGLV,ROIRLV,LLLSRE,LLLLRE,LLLGLN,LLLRLN,LLLRP,LLLLGRE,LLLHGRE,LLLSRLGE,LLLSRHGE,LLLLRLGE,LLLLRHGE,LLLGLV,LLLRLV,LLHSRE,LLHLRE,LLHGLN,LLHRLN,LLHRP,LLHLGRE,LLHHGRE,LLHSRLGE,LLHSRHGE,LLHLRLGE,LLHLRHGE,LLHGLV,LLHRLV,LHLSRE,LHLLRE,LHLGLN,LHLRLN,LHLRP,LHLLGRE,LHLHGRE,LHLSRLGE,LHLSRHGE,LHLLRLGE,LHLLRHGE,LHLGLV,LHLRLV,LHHSRE,LHHLRE,LHHGLN,LHHRLN,LHHRP,LHHLGRE,LHHHGRE,LHHSRLGE,LHHSRHGE,LHHLRLGE,LHHLRHGE,LHHGLV,LHHRLV,HLLSRE,HLLLRE,HLLGLN,HLLRLN,HLLRP,HLLLGRE,HLLHGRE,HLLSRLGE,HLLSRHGE,HLLLRLGE,HLLLRHGE,HLLGLV,HLLRLV,HLHSRE,HLHLRE,HLHGLN,HLHRLN,HLHRP,HLHLGRE,HLHHGRE,HLHSRLGE,HLHSRHGE,HLHLRLGE,HLHLRHGE,HLHGLV,HLHRLV,HHLSRE,HHLLRE,HHLGLN,HHLRLN,HHLRP,HHLLGRE,HHLHGRE,HHLSRLGE,HHLSRHGE,HHLLRLGE,HHLLRHGE,HHLGLV,HHLRLV,HHHSRE,HHHLRE,HHHGLN,HHHRLN,HHHRP,HHHLGRE,HHHHGRE,HHHSRLGE,HHHSRHGE,HHHLRLGE,HHHLRHGE,HHHGLV,HHHRLV
0,1,1,0.912965,1.486426,0.053932,0.796988,0.879172,0.007506,327.685672,0.007127,296.619897,0.00951,501.984422,0.039707,0.000125,0.914631,1.492416,0.046689,0.80067,0.879609,0.007934,417.185657,0.007647,375.635477,0.009434,661.924597,0.042325,9.9e-05,0.908974,1.486386,0.057247,0.788612,0.87602,0.008421,321.914956,0.007881,291.758612,0.011051,484.973613,0.051689,0.000162,0.943103,1.368912,0.05455,0.862515,0.914275,0.007857,296.146576,0.007541,279.710717,0.009826,401.248393,0.019844,7.1e-05,0.941776,1.319021,0.061341,0.858901,0.91727,0.007412,287.64155,0.007102,271.458513,0.009051,375.332104,0.034252,0.000129,0.937864,1.384608,0.062945,0.850311,0.909049,0.0063,289.668841,0.005969,273.282652,0.008286,389.994688,0.025065,0.0001,0.952916,1.245983,0.055241,0.883923,0.933613,0.007282,296.763882,0.007053,283.679931,0.008441,365.167668,0.039603,0.000141,0.950875,1.316248,0.060543,0.87993,0.925626,0.009648,297.163693,0.009348,283.177941,0.011461,387.474723,0.034235,0.00012,0.955887,1.231529,0.059153,0.89081,0.937571,0.008378,294.660571,0.008183,282.133968,0.009381,360.381126,0.039716,0.00014
1,2,3,0.887243,1.66314,0.054756,0.745613,0.845677,0.008751,315.685955,0.007927,277.314855,0.013207,544.995031,0.024816,7.9e-05,0.865475,1.880857,0.05365,0.705047,0.814117,0.00892,324.909797,0.008034,277.653284,0.014148,641.129422,0.013473,4.4e-05,0.893999,1.61197,0.055151,0.758824,0.854298,0.0061,299.189197,0.00552,268.686877,0.009308,472.719867,0.021091,8e-05,0.938799,1.400428,0.057629,0.852663,0.908533,0.007186,299.203508,0.006871,281.648258,0.009274,414.123829,0.014825,5.3e-05,0.939053,1.325463,0.060679,0.852697,0.914496,0.007179,297.424954,0.006883,280.078872,0.008698,389.720805,0.026739,9.6e-05,0.936279,1.414273,0.058948,0.847099,0.905182,0.007837,297.215697,0.007513,278.780349,0.009949,417.555304,0.014754,5.2e-05,0.939134,1.329994,0.061822,0.852967,0.914085,0.007267,296.414202,0.006976,279.159561,0.008793,389.512907,0.028915,0.000104,0.947106,1.342882,0.058235,0.871317,0.920156,0.007682,298.122468,0.00741,283.035138,0.009501,396.597546,0.021293,7.6e-05,0.947352,1.286117,0.06121,0.871388,0.925097,0.007431,296.292666,0.00719,281.33163,0.008696,377.39417,0.023435,8.4e-05
2,3,4,0.937446,1.293324,0.049817,0.848473,0.916703,0.007593,304.014384,0.007203,285.223177,0.009352,392.251858,0.047594,0.000168,0.926582,1.362947,0.053387,0.825041,0.901332,0.006077,301.17188,0.005712,279.242708,0.007872,408.897655,0.044344,0.000157,0.942719,1.266382,0.055813,0.860207,0.923527,0.008327,311.795193,0.007973,293.900619,0.009909,395.234946,0.051702,0.000171,0.957211,1.210695,0.05768,0.893867,0.940363,0.007626,298.536657,0.007429,286.374045,0.008587,358.183363,0.051402,0.000182,0.956966,1.198722,0.061811,0.892956,0.941688,0.0076,302.662806,0.007414,290.327358,0.008445,359.555755,0.064031,0.000222,0.955754,1.228403,0.059276,0.890511,0.937594,0.007692,306.075278,0.007465,293.200817,0.008812,372.370297,0.040079,0.00014,0.959437,1.1852,0.061297,0.89864,0.945241,0.007301,289.558405,0.007125,278.44278,0.008101,340.106485,0.05435,0.000196,0.957217,1.21047,0.056037,0.893895,0.940371,0.008801,289.794024,0.008585,277.979363,0.00985,347.872247,0.044637,0.00016,0.956874,1.199846,0.060428,0.892764,0.94146,0.007131,301.164479,0.006947,288.67335,0.007972,359.011917,0.072291,0.000248
3,4,5,0.920841,1.398827,0.052568,0.812884,0.893568,0.006235,321.047641,0.005841,294.88854,0.008185,453.078916,0.036232,0.000115,0.910403,1.477159,0.054277,0.791395,0.878392,0.006525,304.063272,0.006054,275.832763,0.008977,454.61684,0.031826,0.000107,0.934182,1.315332,0.056704,0.841385,0.91192,0.007412,297.330318,0.007062,277.987892,0.009028,390.10606,0.044012,0.000153,0.955623,1.224839,0.057178,0.890224,0.937668,0.007108,295.099965,0.006896,282.494831,0.008177,358.711874,0.04188,0.000147,0.957841,1.193886,0.058736,0.894946,0.942967,0.006998,296.271423,0.006815,284.29679,0.007832,351.084785,0.053016,0.000187,0.954551,1.235789,0.057837,0.88788,0.935567,0.006941,296.275374,0.006727,283.28171,0.00803,363.59332,0.038477,0.000136,0.957656,1.193421,0.059126,0.894462,0.942916,0.007382,295.906484,0.007191,284.00815,0.008244,350.063124,0.053183,0.000188,0.953567,1.231043,0.055954,0.885407,0.935344,0.00728,295.653578,0.007049,282.506946,0.008413,361.243267,0.044375,0.000158,0.956442,1.201553,0.057695,0.891739,0.94096,0.006781,301.200471,0.006591,288.622584,0.007645,359.234813,0.052794,0.000183
4,5,6,0.894118,1.589456,0.060143,0.75888,0.856338,0.010164,302.668964,0.00961,266.635714,0.013017,506.695963,0.032283,0.000106,0.881086,1.710625,0.059861,0.733943,0.837101,0.009817,294.552784,0.009157,254.697225,0.01343,537.52345,0.018942,6.6e-05,0.92055,1.401528,0.063143,0.812366,0.892844,0.006389,291.867494,0.006004,269.847209,0.008287,402.587356,0.044233,0.000166,0.94692,1.277617,0.063504,0.87037,0.925263,0.006359,294.983914,0.006124,280.057867,0.007571,372.90188,0.027002,9.7e-05,0.950025,1.237389,0.064785,0.877005,0.932,0.00731,295.649675,0.007097,281.547654,0.008305,362.358778,0.046094,0.000165,0.945051,1.296429,0.064832,0.866382,0.921646,0.007031,293.221904,0.006784,277.796164,0.00834,376.300043,0.032787,0.000119,0.950199,1.237829,0.063463,0.877443,0.932075,0.006859,294.169343,0.006646,280.265561,0.007861,360.308079,0.041026,0.000148,0.945752,1.281279,0.061564,0.867681,0.923987,0.006961,293.409352,0.006706,278.069092,0.008248,372.915802,0.031384,0.000113,0.949016,1.240618,0.062424,0.874637,0.930926,0.007186,295.36552,0.00696,280.985128,0.008234,363.009462,0.054631,0.000194
5,6,7,0.897874,1.56494,0.054274,0.766316,0.861039,0.007001,282.776697,0.006416,252.480733,0.010099,453.27366,0.030826,0.000123,0.888821,1.648831,0.054197,0.748719,0.847609,0.006964,278.659703,0.006292,246.197765,0.010712,469.286912,0.020036,8.3e-05,0.917527,1.417897,0.061192,0.805982,0.889104,0.00871,305.277475,0.008217,280.457628,0.011104,430.527579,0.053088,0.000177,0.951036,1.24945,0.060483,0.879654,0.931426,0.006698,295.092569,0.006477,281.34334,0.007818,364.787387,0.036159,0.00013,0.954528,1.210905,0.060446,0.887288,0.938437,0.006715,296.192788,0.006521,283.306801,0.007601,355.82692,0.048326,0.000171,0.948216,1.276314,0.062539,0.873447,0.926318,0.007524,294.632198,0.007273,280.169599,0.008838,371.274058,0.031695,0.000115,0.954509,1.213177,0.061432,0.887281,0.93819,0.007501,296.489537,0.007293,283.516075,0.008452,357.251285,0.037718,0.000133,0.950188,1.251788,0.057793,0.877663,0.930548,0.006905,297.170725,0.006659,283.060272,0.008118,368.559255,0.032481,0.000115,0.95268,1.218967,0.059075,0.882926,0.936219,0.007147,298.003492,0.006941,284.508223,0.008088,360.246486,0.052564,0.000185
6,7,8,0.888878,1.621954,0.056158,0.748625,0.849963,0.009722,294.66326,0.008675,258.842125,0.015595,499.234108,0.028955,9.9e-05,0.868795,1.822838,0.056406,0.711132,0.819472,0.009089,293.629007,0.008236,250.696247,0.013977,570.913554,0.017956,6.4e-05,0.924258,1.374421,0.058118,0.820067,0.898447,0.007149,298.23618,0.006747,276.32618,0.009072,405.921116,0.042866,0.000153,0.94552,1.282906,0.059566,0.86712,0.923707,0.007238,295.917427,0.006976,280.498163,0.008577,375.553566,0.030246,0.000109,0.950414,1.235137,0.062039,0.877854,0.932631,0.006718,295.644597,0.0065,281.621998,0.007733,361.925279,0.040394,0.000144,0.944856,1.296574,0.061392,0.865819,0.921716,0.006808,294.463436,0.006546,278.953141,0.008194,377.779892,0.033225,0.00012,0.950912,1.233019,0.061396,0.878999,0.933246,0.007171,296.190249,0.006952,282.262234,0.008188,362.096907,0.03695,0.000132,0.950399,1.254071,0.058325,0.878178,0.930535,0.007113,296.97536,0.006875,282.825384,0.008316,369.26033,0.035194,0.000125,0.951087,1.229761,0.060971,0.879325,0.933795,0.007085,295.557122,0.006865,281.735724,0.008101,360.260777,0.036682,0.000131
7,8,9,0.883962,1.705316,0.044944,0.739618,0.839022,0.005976,352.901277,0.005445,302.718827,0.008867,686.565485,0.018834,6.1e-05,0.869546,1.858078,0.045726,0.712732,0.81722,0.005189,372.57021,0.00465,313.756291,0.008356,800.079613,0.017219,5.5e-05,0.921461,1.406212,0.05824,0.814445,0.892936,0.007331,298.235632,0.006919,275.80283,0.009367,413.458371,0.032106,0.000117,0.937259,1.355037,0.069692,0.849124,0.909988,0.007123,288.06406,0.006848,270.705612,0.008657,385.78547,0.031541,0.000117,0.946313,1.26304,0.065235,0.868714,0.926297,0.007195,295.64069,0.006971,280.582753,0.008277,369.181123,0.04556,0.000164,0.942646,1.31918,0.067464,0.861042,0.917663,0.006559,293.461085,0.006309,277.457382,0.007934,382.444574,0.026567,9.7e-05,0.949629,1.243152,0.063778,0.876164,0.931094,0.007454,294.574112,0.007231,280.475126,0.008506,362.391014,0.041135,0.000148,0.944667,1.291923,0.061753,0.865308,0.922039,0.006711,295.8781,0.006461,280.211936,0.008,378.588991,0.029366,0.000106,0.946679,1.260618,0.062313,0.869564,0.926804,0.007123,295.00458,0.006887,280.010548,0.008247,368.089862,0.039742,0.000143
8,9,10,0.90425,1.525013,0.056732,0.779088,0.869143,0.007917,348.069264,0.007529,308.836312,0.009875,569.697439,0.043564,0.000119,0.897741,1.576259,0.05429,0.766154,0.859919,0.008466,349.242168,0.008029,306.604611,0.010666,597.435865,0.03469,9.7e-05,0.917865,1.421006,0.058959,0.806782,0.88895,0.006694,290.227743,0.006262,267.782985,0.008844,404.390972,0.036162,0.000139,0.949752,1.265357,0.062055,0.876891,0.928681,0.007282,294.411676,0.007053,280.311768,0.008486,368.613117,0.034057,0.000123,0.949432,1.241354,0.065549,0.875679,0.931092,0.006439,293.39807,0.006227,279.132969,0.007433,361.441096,0.046595,0.000167,0.949312,1.273179,0.061461,0.875948,0.927603,0.006617,295.221282,0.006392,280.925131,0.007817,372.223886,0.031592,0.000114,0.950245,1.236828,0.062951,0.877505,0.932274,0.007108,295.097608,0.006885,281.001298,0.008146,362.030139,0.041042,0.000147,0.948617,1.264158,0.05864,0.874187,0.927926,0.007297,295.71046,0.007037,281.121051,0.008594,370.51115,0.032622,0.000116,0.950934,1.231892,0.060231,0.879062,0.933331,0.006887,297.89024,0.006667,283.977567,0.007906,363.503461,0.053397,0.000188
9,10,11,0.876986,1.737433,0.063268,0.726235,0.831765,0.010452,292.188583,0.009712,252.566674,0.014412,534.792785,0.021675,7.6e-05,0.86075,1.907441,0.061199,0.696518,0.808141,0.010215,292.552865,0.009393,246.932895,0.014867,598.444022,0.018958,6.8e-05,0.911997,1.464489,0.072212,0.794715,0.880476,0.006418,296.004502,0.006015,271.28734,0.008481,425.348126,0.037569,0.000143,0.94528,1.286896,0.064663,0.866678,0.923013,0.006566,293.709991,0.006327,278.333727,0.007805,374.203751,0.021176,7.7e-05,0.946631,1.256156,0.068115,0.869298,0.927367,0.006386,291.479594,0.006164,276.53742,0.007437,362.974507,0.043473,0.000158,0.943859,1.30718,0.066706,0.863656,0.919867,0.006459,291.076054,0.006216,275.384568,0.00778,376.682459,0.024897,9.1e-05,0.946027,1.262926,0.06716,0.868033,0.926114,0.006788,293.359193,0.006561,278.197949,0.007875,367.027729,0.046887,0.000169,0.944663,1.286647,0.060924,0.865223,0.922552,0.006831,295.188883,0.006575,279.442854,0.008136,376.340994,0.027439,9.8e-05,0.94459,1.267003,0.065646,0.864692,0.924652,0.00654,292.984853,0.006303,277.408188,0.007664,367.822832,0.038555,0.000139
