,Num,Dnum,ROIGEnergy,ROIGContrast,ROIGEntropy,ROIGHomogeneity1,ROIGHomogeneity2,ROIGCorrelation,ROIGSumAverage,ROIGVariance,ROIGDissimilarity,ROIGAutoCorrelation,ROIGCorrelation1,LLLGEnergy,LLLGContrast,LLLGEntropy,LLLGHomogeneity1,LLLGHomogeneity2,LLLGCorrelation,LLLGSumAverage,LLLGVariance,LLLGDissimilarity,LLLGAutoCorrelation,LLLGCorrelation1,LLHGEnergy,LLHGContrast,LLHGEntropy,LLHGHomogeneity1,LLHGHomogeneity2,LLHGCorrelation,LLHGSumAverage,LLHGVariance,LLHGDissimilarity,LLHGAutoCorrelation,LLHGCorrelation1,LHLGEnergy,LHLGContrast,LHLGEntropy,LHLGHomogeneity1,LHLGHomogeneity2,LHLGCorrelation,LHLGSumAverage,LHLGVariance,LHLGDissimilarity,LHLGAutoCorrelation,LHLGCorrelation1,LHHGEnergy,LHHGContrast,LHHGEntropy,LHHGHomogeneity1,LHHGHomogeneity2,LHHGCorrelation,LHHGSumAverage,LHHGVariance,LHHGDissimilarity,LHHGAutoCorrelation,LHHGCorrelation1,HLLGEnergy,HLLGContrast,HLLGEntropy,HLLGHomogeneity1,HLLGHomogeneity2,HLLGCorrelation,HLLGSumAverage,HLLGVariance,HLLGDissimilarity,HLLGAutoCorrelation,HLLGCorrelation1,HLHGEnergy,HLHGContrast,HLHGEntropy,HLHGHomogeneity1,HLHGHomogeneity2,HLHGCorrelation,HLHGSumAverage,HLHGVariance,HLHGDissimilarity,HLHGAutoCorrelation,HLHGCorrelation1,HHLGEnergy,HHLGContrast,HHLGEntropy,HHLGHomogeneity1,HHLGHomogeneity2,HHLGCorrelation,HHLGSumAverage,HHLGVariance,HHLGDissimilarity,HHLGAutoCorrelation,HHLGCorrelation1,HHHGEnergy,HHHGContrast,HHHGEntropy,HHHGHomogeneity1,HHHGHomogeneity2,HHHGCorrelation,HHHGSumAverage,HHHGVariance,HHHGDissimilarity,HHHGAutoCorrelation,HHHGCorrelation1
0,1,1,0.001442,45.785099,10.028023,0.283117,0.192082,0.797367,0.008645,0.027585,5.105891,1343.974941,6825667.406047,0.001227,50.089252,10.169645,0.282047,0.191436,0.819547,0.009861,0.033932,5.248577,1745.429108,12381672.709099,0.001558,48.031856,9.983527,0.286266,0.196301,0.775298,0.008416,0.026046,5.146911,1270.967435,5762899.00023,0.000991,154.966189,10.505799,0.217576,0.13792,0.236352,0.007826,0.024785,9.179242,1051.528513,5185247.67867,0.001347,159.474729,10.306896,0.220163,0.137385,0.117116,0.007816,0.022089,8.981826,1035.69629,3867147.881673,0.001347,147.593292,10.245202,0.222525,0.141856,0.171505,0.007771,0.021799,8.820762,1028.640712,3603545.943949,0.000904,175.429273,10.618143,0.189876,0.11007,0.137786,0.007868,0.024854,10.081752,1052.713084,5159078.200418,0.001129,183.964764,10.422496,0.195787,0.118642,0.014477,0.007925,0.022763,10.259989,1055.05836,4088500.524289,0.00104,184.146183,10.46858,0.184727,0.105372,0.00133,0.007927,0.022448,10.361878,1054.15062,4382930.841237
1,2,3,0.001548,37.079826,9.904493,0.310052,0.220147,0.833506,0.008316,0.02718,4.494746,1252.906794,6561686.778314,0.001826,25.791663,9.67962,0.34499,0.257451,0.885322,0.008468,0.027454,3.740064,1302.518765,7009002.38522,0.001544,36.199543,9.903521,0.302796,0.211406,0.825185,0.007943,0.025281,4.538797,1144.072535,5758596.852365,0.001001,163.987312,10.628763,0.211792,0.132686,0.188647,0.00795,0.024671,9.433776,1079.512964,4960022.091238,0.001124,153.522373,10.513164,0.210712,0.12887,0.178266,0.00794,0.022803,9.103508,1074.448357,4375540.493,0.001084,155.401598,10.550895,0.217514,0.137676,0.199058,0.007922,0.023685,9.106305,1072.122742,4626775.95437,0.001194,148.371802,10.475584,0.212227,0.129832,0.191975,0.007934,0.022414,8.957693,1073.775771,4140962.576952,0.000951,196.576181,10.666196,0.192848,0.116743,0.016904,0.007944,0.024414,10.598293,1060.395336,4801815.616039,0.0011,183.552805,10.539749,0.193931,0.114509,0.0084,0.007945,0.022596,10.145517,1059.812762,4220432.480391
2,3,4,0.000934,87.000659,10.514326,0.226812,0.137964,0.639975,0.007923,0.029488,7.156186,1130.506496,7115489.390575,0.001143,66.307007,10.219038,0.250436,0.16011,0.679615,0.007961,0.025266,6.196443,1133.743196,6059446.943229,0.00103,105.564421,10.459089,0.216453,0.129395,0.489352,0.008179,0.0252,7.79486,1172.635468,5650376.654384,0.000942,229.273723,10.681654,0.176062,0.099668,-0.083329,0.007931,0.025851,11.506526,1046.595377,4960494.331698,0.001087,193.85242,10.498043,0.180675,0.100602,-0.040302,0.008029,0.022761,10.553045,1077.810093,4325104.81818,0.001018,214.28943,10.58696,0.180948,0.103722,-0.05749,0.008077,0.024713,11.096728,1088.612882,4707345.335543,0.00103,194.749285,10.491553,0.173261,0.094325,-0.072578,0.007859,0.022184,10.810955,1029.814247,4199226.289762,0.00089,211.4162,10.677941,0.180159,0.102349,0.003287,0.007801,0.025811,11.010199,1021.006437,5176834.333589,0.001035,190.45818,10.533863,0.18123,0.101095,0.001963,0.008005,0.023246,10.473436,1075.045618,4492272.655579
3,4,5,0.001136,58.156116,10.227183,0.2579,0.166297,0.736703,0.008342,0.026951,5.827557,1248.79055,7122165.018249,0.001339,43.692066,10.004917,0.280643,0.188029,0.787663,0.008131,0.025104,5.055693,1190.252742,6206633.255218,0.001116,84.269871,10.345453,0.230536,0.141145,0.560004,0.007981,0.023367,6.980207,1122.277653,5181314.097504,0.000921,203.373829,10.629666,0.177742,0.100022,-0.049777,0.00791,0.02365,10.952309,1044.821758,4851838.636499,0.000945,195.852763,10.604886,0.172823,0.094097,-0.040023,0.007934,0.022995,10.850374,1052.493246,4593966.279974,0.000962,207.755731,10.616524,0.181252,0.103706,-0.07099,0.007929,0.023685,10.951464,1047.841192,4711052.7569,0.000971,195.403843,10.563115,0.172715,0.093881,-0.063601,0.007935,0.022424,10.829296,1050.431922,4515337.784857,0.000913,200.906655,10.66641,0.182447,0.103687,0.007433,0.007896,0.0247,10.711012,1046.671357,5106751.336215,0.000943,192.44642,10.631682,0.177062,0.097439,0.007093,0.007992,0.023644,10.643546,1072.148133,4905010.326926
4,5,6,0.001856,45.964952,9.804407,0.296457,0.206261,0.750405,0.00826,0.022467,4.930448,1213.576231,4537066.033063,0.002054,36.698753,9.652362,0.318833,0.229862,0.799312,0.008168,0.022312,4.380128,1192.270618,4512036.486026,0.001448,77.33601,10.118931,0.248121,0.158804,0.523885,0.007871,0.019819,6.520982,1081.895521,3840068.714575,0.001183,168.072969,10.37633,0.194617,0.113919,-0.028672,0.007949,0.019943,9.770217,1057.7872,3856451.518508,0.001213,175.049086,10.390673,0.187366,0.106063,-0.050771,0.007958,0.020338,9.997087,1058.365584,3731087.527514,0.00131,171.008246,10.297325,0.198552,0.117759,-0.076514,0.007934,0.019395,9.722314,1050.042632,3582962.686796,0.001211,178.352962,10.3788,0.186036,0.105095,-0.078705,0.007926,0.020183,10.110319,1047.505051,3757663.409037,0.001172,167.593612,10.402794,0.197026,0.115472,0.011887,0.007912,0.020705,9.64174,1051.171505,4049711.792974,0.001148,170.328679,10.442093,0.188982,0.107266,0.008531,0.007943,0.020969,9.852914,1059.249772,4015009.348078
5,6,7,0.001453,44.000997,10.040493,0.293922,0.203722,0.808739,0.0077,0.028065,4.929893,1087.664114,5818650.704537,0.001584,36.092642,9.925761,0.310483,0.220305,0.846169,0.007625,0.028622,4.467367,1074.599404,5763237.391769,0.001455,65.013746,10.096783,0.258055,0.167614,0.635062,0.008141,0.021733,6.025806,1168.438081,4469743.511396,0.001053,186.561833,10.514153,0.185974,0.106555,-0.03929,0.00793,0.021912,10.355003,1051.587526,4289982.283765,0.001029,192.626315,10.537525,0.177139,0.097829,-0.065919,0.00794,0.02206,10.664435,1051.830774,4294309.043769,0.001182,193.72622,10.458669,0.192396,0.113067,-0.077141,0.007929,0.021956,10.331548,1047.866948,3974542.866935,0.001075,193.881472,10.504564,0.179099,0.099506,-0.081102,0.007937,0.021898,10.609757,1049.52569,4174459.730035,0.000991,192.657182,10.597569,0.187612,0.108183,0.002342,0.007932,0.02357,10.411283,1055.658874,4785153.799869,0.001001,187.906867,10.584155,0.181081,0.100918,0.000404,0.007958,0.02295,10.438496,1062.470915,4585457.624218
6,7,8,0.00162,40.578618,9.887544,0.302273,0.211848,0.804478,0.008061,0.025336,4.69824,1173.652946,5458790.095717,0.001966,28.764494,9.626998,0.336622,0.248213,0.85592,0.008106,0.024374,3.917002,1187.778513,5377869.4333,0.001192,78.6265,10.324984,0.239946,0.150734,0.591456,0.007925,0.02349,6.705392,1110.615024,4954995.122812,0.001024,167.058758,10.576388,0.196024,0.115051,0.111898,0.007918,0.022964,9.711011,1062.498202,4514244.41205,0.001087,179.435184,10.503679,0.184663,0.104005,-0.012332,0.007939,0.021638,10.182142,1056.436368,4107821.499936,0.001117,170.448934,10.486026,0.1984,0.117761,0.041707,0.007915,0.021712,9.723819,1054.724084,4155563.386745,0.001057,182.048863,10.532731,0.183606,0.103272,-0.008531,0.007946,0.022035,10.268679,1058.521147,4224920.086726,0.00097,194.616134,10.630703,0.184476,0.105574,-0.006495,0.007936,0.023604,10.561793,1055.914385,4725937.834656,0.001048,183.652283,10.550497,0.1825,0.102183,-0.002992,0.007933,0.022352,10.317241,1055.593645,4282406.16637
7,8,9,0.001348,42.740537,10.077791,0.312848,0.22559,0.874132,0.008857,0.041418,4.693661,1464.31313,13408598.108689,0.001531,33.223229,9.892565,0.337488,0.251604,0.902558,0.009165,0.041612,4.113014,1562.963855,13812919.422802,0.00129,83.280124,10.315455,0.24756,0.159758,0.568125,0.007938,0.023536,6.739759,1111.88363,4753123.261317,0.0016,155.361563,10.159004,0.215645,0.134218,-0.041988,0.007883,0.018204,9.062301,1039.53589,3097958.100311,0.001331,179.513164,10.369546,0.195455,0.114356,-0.058565,0.007954,0.020701,9.925035,1056.574422,3578677.351417,0.001439,168.124794,10.235266,0.205067,0.124175,-0.076439,0.007945,0.019067,9.508943,1053.175059,3364689.754965,0.001234,183.085306,10.409042,0.189081,0.108115,-0.066612,0.007925,0.020953,10.11605,1047.861786,3749533.561009,0.001208,178.358611,10.450257,0.199066,0.11865,0.000266,0.007939,0.021777,9.857253,1057.355867,4066932.054972,0.001227,178.819669,10.460824,0.194327,0.113233,0.000121,0.007925,0.021831,9.934283,1053.615369,3912578.591497
8,9,10,0.001545,58.829975,9.965235,0.278619,0.189141,0.709214,0.008978,0.024688,5.554519,1423.90293,6042902.497352,0.001574,49.449186,9.913569,0.291762,0.201786,0.766858,0.009013,0.025891,5.098945,1444.153791,6716846.51089,0.001402,75.175385,10.201181,0.256104,0.166731,0.593078,0.007787,0.022537,6.325436,1071.929858,4342274.968884,0.001124,187.602085,10.462179,0.188636,0.109332,-0.07388,0.007928,0.021326,10.32336,1047.951578,4040274.992469,0.001246,168.804852,10.324189,0.189248,0.107724,-0.068248,0.00794,0.019289,9.844069,1052.370418,3633048.175114,0.001136,180.42935,10.436475,0.190561,0.111056,-0.055878,0.007935,0.020863,10.147136,1051.540007,4032672.55892,0.001173,175.006776,10.411434,0.18718,0.106079,-0.043361,0.007948,0.020476,10.030894,1056.175538,3891813.129014,0.001036,187.50129,10.551533,0.190529,0.110888,-0.002244,0.007924,0.022834,10.241952,1053.146138,4584165.037783,0.00106,180.124252,10.522477,0.185125,0.104326,0.001586,0.007967,0.022023,10.168405,1064.916712,4370370.771985
9,10,11,0.00226,40.340492,9.61463,0.319679,0.231137,0.774398,0.008073,0.021832,4.462754,1162.643678,3902942.256025,0.00248,32.107979,9.476768,0.345133,0.258785,0.824692,0.008104,0.022353,3.936232,1177.247116,4173284.034895,0.002001,74.768473,9.874333,0.261469,0.172311,0.48068,0.007977,0.017574,6.213871,1102.151736,2977074.286318,0.001242,166.218097,10.347395,0.195982,0.114892,-0.030725,0.007932,0.019686,9.677988,1052.986327,3683099.504,0.001346,156.814023,10.235394,0.193214,0.110584,-0.05293,0.007928,0.018182,9.474601,1050.438328,3342496.249284,0.001374,162.086973,10.217503,0.199871,0.118548,-0.081142,0.007914,0.018301,9.497703,1044.637938,3405244.899361,0.001379,164.656344,10.250853,0.194462,0.112177,-0.070954,0.007938,0.018769,9.596105,1051.773766,3369887.63984,0.001135,172.668639,10.443983,0.19626,0.115193,0.006262,0.007935,0.021212,9.778827,1057.016028,4192918.678212,0.001303,153.695283,10.286427,0.19743,0.114261,0.007747,0.007936,0.018907,9.293912,1057.285724,3589950.593122
