,Num,Dnum,ROICoarseness,ROIContrast,ROIBusyness,ROIComplexity,ROIStrength,LLLCoarseness,LLLContrast,LLLBusyness,LLLComplexity,LLLStrength,LLHCoarseness,LLHContrast,LLHBusyness,LLHComplexity,LLHStrength,LHLCoarseness,LHLContrast,LHLBusyness,LHLComplexity,LHLStrength,LHHCoarseness,LHHContrast,LHHBusyness,LHHComplexity,LHHStrength,HLLCoarseness,HLLContrast,HLLBusyness,HLLComplexity,HLLStrength,HLHCoarseness,HLHContrast,HLHBusyness,HLHComplexity,HLHStrength,HHLCoarseness,HHLContrast,HHLBusyness,HHLComplexity,HHLStrength,HHHCoarseness,HHHContrast,HHHBusyness,HHHComplexity,HHHStrength
0,1,1,0.006728,0.073023,0.254458,492.338499,2.356434,0.008486,0.08694,0.191575,450.158169,2.894665,0.006422,0.069182,0.253471,512.288309,2.254641,0.003108,0.159103,0.593297,1203.621332,0.948853,0.003086,0.142121,0.560517,1204.509539,0.911596,0.002903,0.140763,0.61577,1214.564221,0.931557,0.002921,0.171511,0.630267,1317.965854,0.855112,0.002687,0.177356,0.625496,1454.551312,0.763663,0.002572,0.176888,0.66754,1494.76866,0.747492
1,2,3,0.000668,0.063952,2.452488,473.511484,0.245523,0.0009,0.049184,1.836537,351.822906,0.329857,0.000812,0.051189,2.342292,397.760392,0.282034,0.00031,0.152176,5.725961,1179.66519,0.090146,0.000313,0.137415,5.454217,1145.888402,0.092149,0.00031,0.144189,5.533537,1162.698225,0.091741,0.000311,0.133917,5.413671,1136.299649,0.092859,0.000265,0.184038,6.6304,1440.409711,0.073267,0.000274,0.165433,6.140904,1393.044995,0.075359
2,3,4,0.0033,0.131634,0.621817,841.648645,1.080323,0.003651,0.095305,0.51873,739.117322,1.238194,0.00292,0.123533,0.595589,931.691684,0.944737,0.001981,0.207842,0.894935,1572.700944,0.538184,0.002077,0.170155,0.800435,1451.93433,0.580395,0.001956,0.198965,0.880744,1535.190043,0.549831,0.001908,0.17403,0.892838,1552.638079,0.552312,0.001886,0.217204,0.964155,1647.826213,0.52428,0.001949,0.186294,0.862236,1553.711513,0.546429
3,4,5,0.001184,0.094367,1.485446,690.700385,0.411182,0.001364,0.073305,1.281581,581.322347,0.486846,0.001011,0.100508,1.73452,814.70138,0.331354,0.000581,0.193755,3.039669,1582.590569,0.168098,0.000609,0.183269,2.844852,1520.837465,0.17271,0.000587,0.196774,2.990156,1572.33548,0.167154,0.000582,0.185159,2.973536,1570.025385,0.167624,0.000582,0.213702,3.120511,1642.739964,0.160923,0.000594,0.199156,2.927518,1608.670485,0.163847
4,5,6,0.000444,0.071449,3.444142,603.350985,0.163612,0.000523,0.059707,2.955201,514.50953,0.19275,0.000346,0.084629,4.894047,791.267262,0.117526,0.000216,0.148253,7.61418,1416.801179,0.064692,0.000222,0.152228,7.316748,1411.813786,0.063581,0.000213,0.149024,7.623975,1434.011033,0.063154,0.000211,0.161102,7.836557,1484.785602,0.061109,0.000212,0.168017,7.938525,1517.437064,0.060248,0.000215,0.166742,7.728481,1497.268919,0.060507
5,6,7,0.000806,0.078684,2.416166,567.969871,0.289712,0.000921,0.069231,2.161099,491.146767,0.337656,0.000629,0.083017,2.568487,711.084714,0.223746,0.000353,0.169835,4.849406,1484.862095,0.103323,0.000354,0.175509,4.7863,1526.246773,0.100134,0.00036,0.169706,4.677524,1457.714212,0.103413,0.00035,0.173307,4.78819,1514.380419,0.100334,0.000344,0.198312,5.103672,1601.324854,0.095935,0.000351,0.189149,4.909411,1572.886687,0.09703
6,7,8,0.000244,0.066089,6.712663,518.955461,0.089867,0.000327,0.047942,4.995298,388.051927,0.120032,0.000187,0.087227,9.387147,715.5837,0.061212,0.000111,0.156454,15.715869,1306.284882,0.032953,0.000106,0.158445,15.865182,1400.957327,0.030359,0.000107,0.152613,15.882307,1347.555561,0.031894,0.000105,0.161805,16.101577,1410.861956,0.030222,9.9e-05,0.191766,17.60804,1557.595732,0.027521,0.000101,0.176346,16.858604,1515.232421,0.028047
7,8,9,0.000728,0.10851,2.654282,518.100194,0.254145,0.000844,0.091495,2.254412,440.322488,0.306914,0.000452,0.094391,3.882748,757.443486,0.147951,0.000278,0.124619,5.626921,1311.157764,0.082668,0.000278,0.153474,5.832041,1387.618949,0.077454,0.000264,0.139476,6.034379,1384.002884,0.078509,0.000264,0.162246,6.239287,1441.258203,0.075043,0.000264,0.172174,6.343742,1499.641152,0.072815,0.000272,0.172642,6.14411,1478.656636,0.073057
8,9,10,0.000449,0.089296,3.218924,678.531349,0.163361,0.000531,0.081463,2.799708,582.76927,0.190038,0.00041,0.088263,4.402958,727.093418,0.136115,0.000225,0.166359,7.475312,1475.737858,0.065067,0.000229,0.142909,7.014488,1430.471758,0.067296,0.00022,0.167627,7.656582,1501.906989,0.064601,0.000226,0.158356,7.317897,1463.690315,0.065898,0.000218,0.190623,7.953849,1587.099403,0.061097,0.000223,0.179155,7.628126,1551.483625,0.062287
9,10,11,0.000163,0.063908,9.232283,562.783273,0.063061,0.000197,0.054994,7.722894,473.663433,0.075294,0.000118,0.073388,13.172437,783.068415,0.042206,7.9e-05,0.145964,20.595172,1404.693442,0.023405,8e-05,0.130951,19.792773,1381.683975,0.023676,7.6e-05,0.137724,20.956255,1422.945919,0.023177,7.9e-05,0.141409,20.122988,1408.952084,0.023107,7.6e-05,0.172461,22.266501,1531.636217,0.021612,7.9e-05,0.143918,20.501587,1448.915655,0.022662
10,11,12,0.000663,0.0709,2.319468,648.702395,0.23444,0.000751,0.063725,2.057163,570.959604,0.267101,0.000613,0.072145,2.611,691.873289,0.210057,0.000355,0.140948,4.543532,1371.199914,0.105021,0.000365,0.137475,4.362413,1356.16192,0.105729,0.000348,0.135849,4.516179,1360.760493,0.105407,0.000354,0.153319,4.6026,1410.341965,0.101439,0.000351,0.159541,4.681663,1452.546585,0.098982,0.000353,0.155683,4.616365,1455.138468,0.098879
11,12,14,0.002894,0.081856,0.62313,610.839694,0.929149,0.003058,0.075255,0.570742,575.650097,0.98343,0.003111,0.078247,0.589233,565.91887,1.022019,0.001279,0.181194,1.363185,1502.288225,0.369156,0.001226,0.182462,1.401249,1517.012204,0.365642,0.001216,0.192122,1.44157,1567.056441,0.357074,0.001167,0.208053,1.5482,1665.58632,0.336565,0.001202,0.230175,1.525674,1677.831492,0.331361,0.001213,0.22405,1.514571,1661.85147,0.332524
12,13,15,0.001747,0.088732,0.787717,677.246161,0.656475,0.002078,0.100685,0.653082,609.314211,0.773355,0.00146,0.105064,1.219267,850.840565,0.475367,0.001015,0.155291,1.665024,1314.624175,0.297348,0.000978,0.159555,1.670659,1408.449658,0.274439,0.00096,0.169762,1.751039,1414.007383,0.277353,0.000945,0.179131,1.783835,1487.151149,0.263709,0.000933,0.197783,1.858204,1544.605904,0.253369,0.000909,0.201502,1.925514,1577.905136,0.248952
13,14,16,0.00223,0.081064,0.694316,572.844768,0.818044,0.002512,0.067249,0.618226,499.851817,0.942915,0.00176,0.097051,1.009977,784.775473,0.570826,0.001056,0.136173,1.513682,1355.483341,0.321125,0.001028,0.172715,1.645804,1482.274056,0.29362,0.001003,0.181005,1.717192,1523.55133,0.289773,0.001025,0.176698,1.624657,1507.342257,0.288815,0.00098,0.184455,1.751452,1578.060478,0.280577,0.001013,0.197665,1.729307,1587.254197,0.275991
14,15,17,0.001695,0.095797,0.710901,620.74609,0.710286,0.00211,0.095833,0.586659,536.576788,0.853402,0.001454,0.07562,1.175511,708.314347,0.497799,0.000834,0.130689,1.901001,1333.494223,0.256667,0.000859,0.13046,1.843302,1321.77055,0.257991,0.000829,0.145214,1.918676,1368.475209,0.246455,0.000815,0.148961,1.989227,1429.51371,0.2399,0.000856,0.133473,1.818288,1363.540464,0.245998,0.000806,0.146064,2.002012,1459.713466,0.235249
15,16,18,0.000491,0.093564,3.575748,735.596431,0.167497,0.000575,0.079799,3.113513,624.112357,0.197325,0.000458,0.094476,3.83297,784.193457,0.148924,0.000275,0.174379,6.319479,1450.103871,0.079568,0.000279,0.159635,5.986535,1416.376829,0.080839,0.000285,0.161228,5.922,1379.215802,0.082435,0.000279,0.15665,5.871924,1413.61144,0.080463,0.000267,0.195982,6.545596,1561.617969,0.0733,0.000269,0.179277,6.307036,1522.99456,0.074719
16,17,19,0.000924,0.09147,1.953023,690.78179,0.318198,0.001047,0.081827,1.690053,606.317199,0.360592,0.000859,0.096473,2.159123,744.847018,0.282398,0.000477,0.176089,3.562108,1488.304175,0.13486,0.000479,0.172548,3.507855,1491.02196,0.133685,0.00047,0.174539,3.63688,1489.723645,0.135285,0.000471,0.181194,3.635594,1511.828931,0.132831,0.000457,0.194309,3.826838,1588.884288,0.127316,0.000482,0.180059,3.514791,1514.077197,0.13107
17,18,20,0.002748,0.096003,0.641362,627.439064,0.883066,0.003471,0.08887,0.503521,517.994632,1.110561,0.002733,0.084466,0.611002,674.502028,0.924758,0.001506,0.12425,1.041831,1274.420665,0.467094,0.001452,0.149766,1.115634,1400.278897,0.424947,0.001394,0.175616,1.243959,1479.046951,0.405125,0.001449,0.157537,1.124804,1415.64813,0.419781,0.001393,0.174952,1.200259,1537.499782,0.391032,0.001443,0.165153,1.144999,1481.561379,0.400853
18,19,21,0.001645,0.109754,0.868812,722.001275,0.609917,0.001905,0.10448,0.729562,639.467133,0.73292,0.001461,0.099023,1.227191,796.959686,0.482215,0.000916,0.156737,1.837722,1379.806028,0.268602,0.000902,0.163572,1.865524,1446.335857,0.255847,0.000852,0.190621,2.01606,1540.019242,0.243056,0.000848,0.170971,1.992463,1533.174454,0.244566,0.000831,0.18163,2.063836,1568.231895,0.239879,0.000869,0.183347,1.966366,1547.699535,0.240376
19,20,22,0.000425,0.098809,3.132593,663.702285,0.16654,0.000518,0.06262,2.683464,523.522959,0.202254,0.000357,0.095895,4.802106,799.320196,0.117541,0.00022,0.149561,7.547296,1396.85687,0.066853,0.000221,0.133941,7.192843,1389.863584,0.066295,0.000221,0.153974,7.499346,1418.864416,0.065364,0.000219,0.173917,7.674528,1488.949984,0.062155,0.000212,0.185028,8.121222,1571.927546,0.05951,0.000215,0.171573,7.789827,1522.197854,0.06087
20,21,25,0.000484,0.068352,3.053859,601.64917,0.176055,0.000574,0.056435,2.634019,508.446181,0.209106,0.000382,0.087875,4.389716,761.227982,0.131548,0.000247,0.129031,6.403175,1290.236053,0.075745,0.000241,0.147131,6.692188,1399.495768,0.069274,0.00023,0.152598,7.139225,1447.239737,0.068556,0.000232,0.166577,7.188057,1482.982021,0.066159,0.000234,0.169299,7.155045,1498.078246,0.065611,0.000234,0.163991,7.070783,1492.565373,0.065631
21,22,26,0.001198,0.082589,1.412676,653.389028,0.417792,0.001391,0.071497,1.214241,562.061749,0.489359,0.000928,0.102132,1.842581,874.417077,0.304197,0.00061,0.177631,2.799634,1485.24546,0.178086,0.000613,0.186306,2.820714,1526.391708,0.172238,0.000593,0.188793,2.924971,1549.096757,0.171275,0.000623,0.172384,2.693354,1479.170944,0.176067,0.000618,0.189742,2.797975,1560.836452,0.169016,0.000608,0.191975,2.860372,1574.7706,0.167261
22,23,27,0.000713,0.052569,2.197771,414.482247,0.249657,0.00096,0.05679,1.511755,354.00355,0.353273,0.000912,0.045472,2.138734,350.740603,0.32109,0.000321,0.111952,5.175249,1021.178764,0.102733,0.000306,0.12248,5.396378,1120.18943,0.09272,0.000305,0.129072,5.563,1133.383183,0.092211,0.000297,0.130477,5.549488,1162.657736,0.089154,0.00026,0.150513,6.413352,1377.466102,0.075675,0.000261,0.14662,6.282831,1373.950739,0.075307
