,Num,Dnum,ROISRE,ROILRE,ROIGLN,ROIRLN,ROIRP,ROILGRE,ROIHGRE,ROISRLGE,ROISRHGE,ROILRLGE,ROILRHGE,ROIGLV,ROIRLV,LLLSRE,LLLLRE,LLLGLN,LLLRLN,LLLRP,LLLLGRE,LLLHGRE,LLLSRLGE,LLLSRHGE,LLLLRLGE,LLLLRHGE,LLLGLV,LLLRLV,LLHSRE,LLHLRE,LLHGLN,LLHRLN,LLHRP,LLHLGRE,LLHHGRE,LLHSRLGE,LLHSRHGE,LLHLRLGE,LLHLRHGE,LLHGLV,LLHRLV,LHLSRE,LHLLRE,LHLGLN,LHLRLN,LHLRP,LHLLGRE,LHLHGRE,LHLSRLGE,LHLSRHGE,LHLLRLGE,LHLLRHGE,LHLGLV,LHLRLV,LHHSRE,LHHLRE,LHHGLN,LHHRLN,LHHRP,LHHLGRE,LHHHGRE,LHHSRLGE,LHHSRHGE,LHHLRLGE,LHHLRHGE,LHHGLV,LHHRLV,HLLSRE,HLLLRE,HLLGLN,HLLRLN,HLLRP,HLLLGRE,HLLHGRE,HLLSRLGE,HLLSRHGE,HLLLRLGE,HLLLRHGE,HLLGLV,HLLRLV,HLHSRE,HLHLRE,HLHGLN,HLHRLN,HLHRP,HLHLGRE,HLHHGRE,HLHSRLGE,HLHSRHGE,HLHLRLGE,HLHLRHGE,HLHGLV,HLHRLV,HHLSRE,HHLLRE,HHLGLN,HHLRLN,HHLRP,HHLLGRE,HHLHGRE,HHLSRLGE,HHLSRHGE,HHLLRLGE,HHLLRHGE,HHLGLV,HHLRLV,HHHSRE,HHHLRE,HHHGLN,HHHRLN,HHHRP,HHHLGRE,HHHHGRE,HHHSRLGE,HHHSRHGE,HHHLRLGE,HHHLRHGE,HHHGLV,HHHRLV
0,1,1,0.957147,1.207514,0.027046,0.893633,0.940702,0.002385,1288.269009,0.002335,1228.406834,0.002616,1580.103133,0.055082,4.3e-05,0.95823,1.212723,0.023326,0.896355,0.941009,0.002889,1664.387302,0.002853,1583.875693,0.003062,2082.659636,0.052753,3e-05,0.955671,1.206154,0.028695,0.889995,0.939797,0.003397,1260.119196,0.003306,1202.031542,0.003792,1531.291724,0.075947,5.9e-05,0.970018,1.175668,0.027292,0.924863,0.954734,0.002733,1155.194263,0.002673,1121.616529,0.003046,1346.370877,0.027497,2.5e-05,0.970389,1.151348,0.031031,0.925271,0.957589,0.002848,1119.447921,0.002809,1086.648779,0.00304,1284.062235,0.048358,4.6e-05,0.968374,1.172692,0.031707,0.920647,0.953549,0.002009,1122.321379,0.001969,1090.132284,0.002224,1300.52916,0.035187,3.6e-05,0.976775,1.112121,0.027694,0.940791,0.967166,0.002635,1154.277402,0.002604,1129.603813,0.002778,1273.036717,0.050898,4.7e-05,0.975319,1.146677,0.030553,0.937765,0.96214,0.004217,1154.873294,0.004162,1126.905331,0.004557,1322.318896,0.042519,3.8e-05,0.977137,1.110645,0.029871,0.941562,0.967828,0.002932,1146.947026,0.002904,1121.830822,0.003064,1269.154242,0.050177,4.5e-05
1,2,3,0.943849,1.280652,0.027148,0.863134,0.922744,0.003386,1242.153521,0.003231,1166.93493,0.004095,1623.182155,0.032489,2.5e-05,0.932068,1.369529,0.026621,0.837377,0.904867,0.003314,1281.953932,0.003168,1187.739569,0.004037,1800.352707,0.023224,1.8e-05,0.946368,1.261871,0.027442,0.868719,0.926682,0.001705,1162.530444,0.001625,1102.564431,0.002083,1452.348292,0.033378,3.2e-05,0.968323,1.183079,0.02879,0.920663,0.952517,0.00228,1164.751088,0.002234,1129.367584,0.002551,1368.594752,0.02875,2.6e-05,0.969152,1.146987,0.0304,0.922065,0.957133,0.002466,1157.369035,0.002425,1123.251181,0.002656,1319.542334,0.032416,3e-05,0.966944,1.193979,0.029463,0.917317,0.950541,0.002634,1157.71728,0.002584,1120.617823,0.002929,1376.510653,0.016245,1.5e-05,0.968944,1.150726,0.031073,0.921656,0.956461,0.002537,1152.951656,0.002497,1118.648678,0.002727,1319.006063,0.045616,4.2e-05,0.973036,1.15821,0.029114,0.932137,0.959057,0.002579,1160.383886,0.002541,1130.320079,0.002816,1338.370661,0.024771,2.3e-05,0.973035,1.133166,0.030699,0.931593,0.96187,0.002576,1153.753642,0.002544,1123.94585,0.002733,1300.675021,0.035712,3.3e-05
2,3,4,0.968647,1.136322,0.024792,0.920457,0.958123,0.002456,1186.890099,0.002404,1149.989541,0.002676,1346.961664,0.0505,4.6e-05,0.963826,1.160619,0.026538,0.90896,0.951476,0.001952,1174.648123,0.001906,1132.415016,0.00216,1360.325367,0.053951,4.9e-05,0.971515,1.123148,0.027869,0.92746,0.961871,0.003302,1218.864188,0.003247,1184.275443,0.003535,1368.709245,0.101748,8.4e-05,0.978431,1.098774,0.028981,0.944678,0.970217,0.002736,1162.056757,0.002708,1137.782391,0.002863,1271.168017,0.053743,4.9e-05,0.978672,1.091879,0.031079,0.945126,0.971265,0.003102,1178.381654,0.003078,1154.47985,0.003206,1281.289173,0.091206,8.1e-05,0.977541,1.105456,0.02979,0.94255,0.968705,0.002414,1191.731292,0.002381,1166.582156,0.00256,1310.643231,0.045858,4.1e-05,0.980082,1.086175,0.030715,0.948691,0.97304,0.002798,1126.196207,0.002775,1104.966046,0.002896,1217.602342,0.086861,8e-05,0.977665,1.100905,0.028011,0.942814,0.969263,0.003408,1129.405653,0.003376,1105.749431,0.003547,1235.666043,0.067215,6.1e-05,0.978024,1.094329,0.030231,0.943505,0.970452,0.002598,1173.010495,0.002575,1148.093699,0.0027,1279.70066,0.108164,9.4e-05
3,4,5,0.960488,1.178282,0.026031,0.90108,0.946857,0.001972,1256.698153,0.001919,1205.161983,0.00221,1489.719733,0.043173,3.4e-05,0.954901,1.211291,0.026935,0.888117,0.938834,0.00204,1189.977362,0.001975,1134.206524,0.002338,1453.047764,0.041811,3.5e-05,0.967467,1.142257,0.028312,0.917633,0.956473,0.002768,1157.705828,0.002722,1120.425525,0.002964,1320.822768,0.068542,6e-05,0.977652,1.102983,0.028523,0.942834,0.96899,0.002287,1149.386792,0.002256,1124.525837,0.002428,1263.168448,0.047958,4.3e-05,0.979093,1.089907,0.029371,0.946163,0.971855,0.002337,1153.836964,0.002313,1130.73017,0.002436,1253.167616,0.062467,5.6e-05,0.976501,1.110595,0.02888,0.940022,0.967216,0.002308,1154.071032,0.002276,1127.718578,0.002457,1278.199992,0.040036,3.6e-05,0.97938,1.088161,0.029527,0.946845,0.972313,0.002779,1152.223651,0.002756,1129.758481,0.002878,1248.010004,0.071971,6.5e-05,0.976581,1.105914,0.027833,0.940138,0.967787,0.002565,1151.950189,0.002535,1126.007544,0.002699,1269.340823,0.051371,4.7e-05,0.977958,1.094867,0.028808,0.943341,0.970337,0.002091,1173.189961,0.002066,1148.229804,0.002197,1280.462294,0.08398,7.4e-05
4,5,6,0.946792,1.254046,0.030272,0.86961,0.927782,0.003859,1193.087958,0.003773,1121.733981,0.004243,1536.852843,0.044601,3.5e-05,0.939727,1.298884,0.030126,0.853918,0.917556,0.003728,1163.781793,0.003621,1084.163051,0.004219,1562.842832,0.033605,2.7e-05,0.960597,1.17728,0.031616,0.90136,0.946997,0.002004,1133.520968,0.001952,1090.955399,0.00223,1324.59444,0.070357,6.6e-05,0.973185,1.12524,0.031837,0.931842,0.962812,0.001978,1146.981908,0.001945,1117.68309,0.002131,1283.350326,0.052306,4.8e-05,0.975177,1.108646,0.032491,0.936512,0.96644,0.002525,1150.151733,0.002497,1123.011166,0.002648,1268.611783,0.078374,7.1e-05,0.972105,1.1328,0.032589,0.929302,0.961017,0.002454,1140.879275,0.002418,1110.370589,0.00262,1285.91354,0.04812,4.4e-05,0.97526,1.108374,0.031827,0.936717,0.966546,0.002358,1144.436462,0.00233,1117.579686,0.002481,1261.773584,0.058471,5.4e-05,0.9728,1.126766,0.030799,0.930923,0.962291,0.002337,1141.781106,0.002302,1111.881205,0.002498,1280.916473,0.045688,4.2e-05,0.974563,1.110496,0.031234,0.934949,0.965775,0.002508,1149.299278,0.002479,1121.39718,0.002634,1270.482277,0.065224,5.9e-05
5,6,7,0.948256,1.245271,0.026995,0.87292,0.929839,0.002047,1106.219347,0.001969,1045.524833,0.002409,1395.692813,0.042623,4.2e-05,0.943339,1.279383,0.026959,0.86195,0.922412,0.001976,1090.051449,0.001883,1025.011908,0.002419,1408.805973,0.030387,3.1e-05,0.959003,1.184816,0.030648,0.89758,0.944942,0.003188,1189.848893,0.003108,1142.16077,0.003535,1404.191202,0.058639,4.9e-05,0.975734,1.111936,0.030193,0.938093,0.966379,0.002273,1148.482852,0.002244,1122.040629,0.002407,1270.137786,0.055452,5.1e-05,0.977313,1.097772,0.030245,0.94175,0.969467,0.002167,1152.796238,0.002142,1127.708228,0.002277,1260.780645,0.073504,6.6e-05,0.973501,1.127202,0.031389,0.932752,0.962762,0.002783,1145.977468,0.002739,1117.277718,0.002981,1283.063584,0.038784,3.6e-05,0.977448,1.097158,0.030783,0.942072,0.969663,0.002488,1153.690482,0.002455,1128.762245,0.002626,1260.998337,0.075463,6.8e-05,0.975212,1.113283,0.028852,0.936748,0.96586,0.002342,1156.811401,0.002309,1129.372172,0.002492,1282.124975,0.043663,3.9e-05,0.976362,1.10175,0.029512,0.93936,0.96827,0.0022,1160.366021,0.002172,1134.228006,0.002317,1272.619401,0.055064,5e-05
6,7,8,0.944364,1.266599,0.027983,0.864096,0.92464,0.003683,1158.819578,0.003445,1087.923039,0.004852,1501.856151,0.039554,3.2e-05,0.933477,1.340264,0.028157,0.840265,0.90856,0.003177,1159.281822,0.003026,1073.153136,0.003907,1606.500347,0.03268,2.7e-05,0.962669,1.16557,0.028957,0.906174,0.95003,0.002337,1160.950588,0.002282,1118.96251,0.002576,1346.922405,0.051873,4.7e-05,0.972507,1.127945,0.029759,0.930173,0.961957,0.002468,1151.629062,0.002429,1121.459757,0.002645,1291.544712,0.040078,3.7e-05,0.975384,1.107547,0.03106,0.937001,0.966761,0.002193,1150.45733,0.002163,1123.452864,0.002322,1268.147456,0.057438,5.2e-05,0.972222,1.132825,0.030751,0.929596,0.961097,0.00226,1145.834538,0.002222,1115.468249,0.002436,1290.771178,0.045163,4.2e-05,0.975504,1.106781,0.030716,0.93728,0.966965,0.002495,1152.956415,0.002465,1125.950062,0.002628,1270.394477,0.050947,4.6e-05,0.974984,1.115305,0.02915,0.936218,0.965423,0.002383,1156.351519,0.002348,1128.678343,0.002542,1283.551749,0.043875,4e-05,0.975758,1.105215,0.03053,0.937885,0.967375,0.002393,1150.270063,0.002363,1123.610265,0.00252,1265.626802,0.045839,4.2e-05
7,8,9,0.940735,1.297157,0.022187,0.856293,0.918362,0.001857,1415.780108,0.001778,1311.067665,0.002236,1969.013448,0.029036,2.2e-05,0.932032,1.357822,0.022515,0.837286,0.905611,0.001561,1500.18563,0.001473,1373.923159,0.001996,2203.248764,0.029822,2.2e-05,0.960289,1.179703,0.029187,0.900657,0.946465,0.002369,1160.409406,0.002312,1116.479296,0.002617,1358.298107,0.057901,5.3e-05,0.967981,1.157004,0.035267,0.919409,0.95492,0.002416,1119.900295,0.002377,1085.576916,0.002601,1287.693031,0.042396,4e-05,0.973187,1.118753,0.032915,0.93166,0.963645,0.002462,1150.150772,0.002432,1120.892902,0.002591,1279.466689,0.060265,5.5e-05,0.970985,1.141968,0.034007,0.92669,0.958999,0.00211,1140.699704,0.002077,1109.146087,0.00227,1295.195799,0.05513,5.1e-05,0.974573,1.111503,0.032072,0.935017,0.965638,0.002551,1145.703484,0.002521,1118.066639,0.002684,1266.70487,0.066533,6.1e-05,0.972443,1.130223,0.031039,0.930093,0.961603,0.002092,1151.082407,0.002059,1120.712432,0.002244,1294.658334,0.038748,3.5e-05,0.973216,1.119514,0.031394,0.931773,0.96355,0.002451,1147.790759,0.00242,1118.63363,0.002587,1277.461959,0.051258,4.7e-05
8,9,10,0.952312,1.2246,0.028316,0.882212,0.935204,0.002836,1382.509823,0.002782,1304.562166,0.003077,1755.061688,0.077206,5e-05,0.948333,1.247603,0.027106,0.87313,0.929667,0.003112,1390.938373,0.003041,1305.281264,0.003425,1808.38132,0.052202,3.4e-05,0.958732,1.186631,0.029591,0.896972,0.944491,0.00215,1126.888531,0.002087,1083.273865,0.002427,1323.277023,0.055197,5.4e-05,0.974535,1.120856,0.031064,0.935258,0.964314,0.002333,1145.728389,0.002302,1117.972875,0.002481,1276.979922,0.045997,4.2e-05,0.97485,1.110003,0.032871,0.935693,0.966032,0.001935,1141.348742,0.001907,1113.746909,0.002054,1262.097275,0.079327,7.2e-05,0.974411,1.12303,0.030777,0.934971,0.963993,0.002172,1148.703405,0.00214,1120.728724,0.002319,1283.192276,0.038534,3.5e-05,0.975076,1.10891,0.03151,0.93625,0.966344,0.002567,1148.385365,0.002534,1121.010263,0.00271,1267.858163,0.058321,5.3e-05,0.974156,1.119304,0.029302,0.934203,0.96427,0.002438,1151.321096,0.002403,1122.833309,0.002595,1282.627832,0.043932,4e-05,0.975534,1.106054,0.030136,0.937328,0.967096,0.002408,1159.374028,0.002376,1132.195839,0.002543,1276.846447,0.045581,4.1e-05
9,10,11,0.937773,1.30859,0.032102,0.849538,0.915155,0.003805,1151.409898,0.003685,1072.624746,0.004352,1546.555694,0.033174,2.7e-05,0.928667,1.376106,0.031125,0.829907,0.901473,0.003704,1156.493832,0.003566,1064.27567,0.004356,1651.158469,0.031391,2.6e-05,0.956299,1.201271,0.03661,0.89135,0.940935,0.002058,1149.302966,0.002005,1101.822843,0.002301,1366.963324,0.050373,4.8e-05,0.972328,1.128802,0.032438,0.929763,0.96167,0.002073,1142.591697,0.00204,1112.380672,0.002224,1282.845905,0.04797,4.4e-05,0.973353,1.116937,0.034209,0.932011,0.964036,0.00205,1133.501665,0.002021,1104.468688,0.002175,1260.708411,0.062508,5.8e-05,0.97163,1.136822,0.033499,0.928174,0.960179,0.002065,1131.767291,0.002032,1100.978671,0.002223,1279.742859,0.038213,3.5e-05,0.972839,1.119703,0.033786,0.930773,0.96329,0.002241,1141.004176,0.002211,1111.433143,0.002372,1271.276748,0.055249,5.1e-05,0.972135,1.128632,0.030458,0.92923,0.9616,0.002212,1148.833431,0.002176,1118.032612,0.002372,1290.536161,0.038194,3.5e-05,0.972333,1.121548,0.032933,0.929505,0.962692,0.002025,1139.651689,0.001994,1109.365946,0.00216,1272.566794,0.053906,4.9e-05
