,Num,Dnum,ROICoarseness,ROIContrast,ROIBusyness,ROIComplexity,ROIStrength,LLLCoarseness,LLLContrast,LLLBusyness,LLLComplexity,LLLStrength,LLHCoarseness,LLHContrast,LLHBusyness,LLHComplexity,LLHStrength,LHLCoarseness,LHLContrast,LHLBusyness,LHLComplexity,LHLStrength,LHHCoarseness,LHHContrast,LHHBusyness,LHHComplexity,LHHStrength,HLLCoarseness,HLLContrast,HLLBusyness,HLLComplexity,HLLStrength,HLHCoarseness,HLHContrast,HLHBusyness,HLHComplexity,HLHStrength,HHLCoarseness,HHLContrast,HHLBusyness,HHLComplexity,HHLStrength,HHHCoarseness,HHHContrast,HHHBusyness,HHHComplexity,HHHStrength
31,32,39,0.000635,0.160903,4.457704,779.320526,0.222599,0.000666,0.159316,4.217551,744.441339,0.231638,0.000351,0.170012,4.77124,1403.959162,0.098998,0.000374,0.153723,4.415593,1301.933385,0.106304,0.000331,0.191112,5.230591,1533.124107,0.09037,0.000367,0.157022,4.552268,1343.596797,0.102847,0.000328,0.183232,5.159875,1535.600366,0.090539,0.000345,0.164134,4.796032,1445.627803,0.095423,0.000323,0.165089,5.187438,1514.773445,0.091495
32,33,1001,0.000207,0.111311,10.614524,764.48267,0.071895,0.000282,0.077236,6.970111,556.074924,0.096721,0.000182,0.117996,9.375074,908.837284,0.05354,0.000163,0.119211,9.843087,1000.338666,0.0469,0.000139,0.152435,12.296986,1239.637825,0.03799,0.000158,0.132345,10.339254,1059.852075,0.044357,0.000138,0.156343,12.440925,1260.924744,0.037269,0.000134,0.163788,12.693224,1307.708794,0.03575,0.000123,0.175168,13.925392,1427.806856,0.03303
33,34,1002,0.000924,0.085914,1.809208,678.195963,0.316815,0.001277,0.064222,1.302206,492.541603,0.439748,0.000715,0.113378,2.406424,942.487851,0.216228,0.000607,0.123223,2.713242,1106.162017,0.184607,0.00055,0.158967,3.098316,1314.888035,0.15426,0.000579,0.138593,2.893181,1201.619694,0.169143,0.00054,0.153377,3.107141,1341.893741,0.151602,0.000514,0.163572,3.288769,1396.56449,0.145391,0.000495,0.176904,3.467065,1479.019056,0.137346
34,35,1003,0.000927,0.069549,1.810793,641.900792,0.345157,0.001309,0.04897,1.274592,454.857843,0.485675,0.000765,0.103368,2.145455,916.546236,0.233774,0.000626,0.119544,2.540535,1126.319903,0.189749,0.000576,0.143786,2.885665,1278.490281,0.165662,0.000623,0.127083,2.586021,1145.352274,0.186453,0.000572,0.146345,2.908346,1298.275973,0.162873,0.00057,0.142954,2.856267,1307.63955,0.160909,0.000535,0.158104,3.084982,1416.06397,0.14954
35,36,1004,0.002715,0.119293,0.568464,757.478727,0.923466,0.003656,0.1064,0.430676,584.831688,1.236315,0.002053,0.096426,0.812968,909.167549,0.659643,0.001829,0.121444,0.893923,1059.863264,0.558567,0.001611,0.150159,1.032423,1271.153694,0.459907,0.00159,0.152313,1.08028,1238.492984,0.479185,0.001472,0.157128,1.149525,1400.177138,0.426064,0.001489,0.166583,1.148337,1394.97113,0.423507,0.00141,0.163638,1.188512,1481.059204,0.403582
36,37,1005,0.000912,0.100092,1.983211,784.818851,0.305107,0.001275,0.070019,1.416095,550.997965,0.43448,0.000756,0.133162,2.288674,1033.000096,0.224629,0.000658,0.136312,2.58363,1182.561239,0.196074,0.000597,0.173262,2.939446,1383.319341,0.166229,0.00064,0.141873,2.626355,1219.200093,0.188379,0.000576,0.167935,3.014811,1404.061246,0.164922,0.000564,0.190951,3.148837,1483.901657,0.155611,0.000546,0.189511,3.203141,1530.08723,0.15064
37,38,1006,0.001338,0.110139,1.494826,841.88278,0.448545,0.001869,0.073117,1.017939,583.922448,0.645281,0.001173,0.133123,1.527117,1017.978681,0.354467,0.000982,0.155338,1.746073,1248.362214,0.287572,0.000898,0.17079,1.965766,1400.335978,0.255222,0.000968,0.163287,1.809183,1268.834792,0.278634,0.000899,0.175422,1.962313,1410.697414,0.25225,0.000867,0.182785,2.026298,1464.35867,0.243583,0.000846,0.181844,2.031123,1493.041132,0.235703
38,39,1007,0.001526,0.053621,0.979413,552.029163,0.572213,0.002103,0.044462,0.701798,411.232346,0.773801,0.00107,0.096375,1.508857,860.757967,0.335676,0.000884,0.120706,1.844347,1058.135686,0.275337,0.000794,0.138662,2.051378,1259.0751,0.228389,0.000829,0.132044,2.018483,1166.668266,0.25199,0.000759,0.151117,2.205096,1323.416017,0.218665,0.000733,0.160209,2.278412,1389.723683,0.208542,0.000707,0.162774,2.373717,1440.805413,0.201407
39,40,1008,0.000738,0.073084,2.129076,625.791673,0.259389,0.001025,0.06205,1.51085,467.256744,0.350807,0.00055,0.105863,3.105945,895.536531,0.172398,0.00046,0.120512,3.543822,1079.103371,0.140603,0.000408,0.152228,4.14033,1303.105005,0.116497,0.00044,0.132942,3.825172,1153.220421,0.132618,0.000389,0.155675,4.379391,1364.102328,0.112165,0.000384,0.159954,4.386422,1389.354045,0.109288,0.000373,0.162407,4.484788,1443.629566,0.104831
40,41,1009,0.00433,0.116447,0.404924,896.442266,1.416743,0.005891,0.088376,0.297723,650.725462,1.957689,0.003245,0.18321,0.552131,1341.950939,0.934682,0.003194,0.174186,0.554936,1351.334828,0.937707,0.002833,0.205623,0.634991,1587.798212,0.791844,0.003528,0.133854,0.452867,1163.168455,1.062246,0.002969,0.176533,0.56098,1455.547766,0.84122,0.003081,0.161736,0.546347,1400.264043,0.881612,0.00286,0.205156,0.617699,1607.498217,0.778177
