,Num,Dnum,ROICoarseness,ROIContrast,ROIBusyness,ROIComplexity,ROIStrength,LLLCoarseness,LLLContrast,LLLBusyness,LLLComplexity,LLLStrength,LLHCoarseness,LLHContrast,LLHBusyness,LLHComplexity,LLHStrength,LHLCoarseness,LHLContrast,LHLBusyness,LHLComplexity,LHLStrength,LHHCoarseness,LHHContrast,LHHBusyness,LHHComplexity,LHHStrength,HLLCoarseness,HLLContrast,HLLBusyness,HLLComplexity,HLLStrength,HLHCoarseness,HLHContrast,HLHBusyness,HLHComplexity,HLHStrength,HHLCoarseness,HHLContrast,HHLBusyness,HHLComplexity,HHLStrength,HHHCoarseness,HHHContrast,HHHBusyness,HHHComplexity,HHHStrength
0,1,1,0.006758,0.147371,0.064478,3927.465386,9.504358,0.00861,0.176356,0.047779,3578.221223,11.731121,0.006464,0.141605,0.064042,4112.409655,9.042054,0.003088,0.336543,0.156878,9337.52315,3.652796,0.003068,0.302704,0.147777,9407.369191,3.513647,0.002903,0.287246,0.156991,9793.457728,3.705233,0.002904,0.386844,0.177614,9561.848732,3.079065,0.002667,0.375246,0.165234,11317.22544,2.924687,0.002539,0.398677,0.186988,10818.683695,2.67939
1,2,3,0.000678,0.129594,0.615792,3763.115799,0.990757,0.000928,0.098192,0.45422,2752.907608,1.350505,0.000835,0.102916,0.585911,3133.378385,1.146177,0.000309,0.312771,1.468261,9503.85611,0.358186,0.000313,0.282253,1.3964,9234.96033,0.366048,0.000311,0.296346,1.414001,9364.925111,0.364624,0.000311,0.274172,1.382776,9141.476176,0.36918,0.000264,0.377595,1.698299,11607.473159,0.291018,0.000274,0.339945,1.572757,11220.995154,0.29928
2,3,4,0.00329,0.270853,0.159035,6787.375473,4.301097,0.003654,0.202161,0.136732,5706.851033,4.762598,0.002918,0.252274,0.151602,7516.914015,3.774782,0.001959,0.442419,0.237644,12228.400325,2.057838,0.002065,0.348273,0.204864,11769.040567,2.305567,0.001945,0.421847,0.232519,11997.345308,2.109798,0.00189,0.356565,0.229539,12611.58459,2.192399,0.001871,0.447854,0.24761,13338.130869,2.080377,0.001935,0.384508,0.221559,12565.185578,2.16836
3,4,5,0.001188,0.19314,0.378171,5543.225091,1.645452,0.001371,0.14957,0.325179,4653.399977,1.950867,0.001014,0.204497,0.440936,6529.11987,1.32442,0.00058,0.399409,0.778608,12767.980413,0.667205,0.000608,0.377311,0.729359,12254.809683,0.685599,0.000585,0.404432,0.767367,12680.008632,0.66357,0.000582,0.380899,0.760613,12657.040003,0.665503,0.000581,0.441605,0.801606,13255.724307,0.63846,0.000594,0.408096,0.749197,12965.488446,0.650981
4,5,6,0.000449,0.1453,0.866558,4822.85191,0.656754,0.000534,0.12066,0.737864,4081.069428,0.779048,0.000347,0.173458,1.249102,6356.296315,0.468097,0.000216,0.303913,1.946237,11407.576903,0.256983,0.000222,0.313189,1.874772,11392.088352,0.252212,0.000213,0.306501,1.955367,11569.143122,0.250484,0.000211,0.331034,2.005495,11966.278727,0.24253,0.000212,0.344801,2.03087,12223.980743,0.23925,0.000215,0.343137,1.978242,12064.655833,0.240175
5,6,7,0.000813,0.160314,0.61385,4537.986461,1.162372,0.000934,0.140435,0.547642,3899.908464,1.363126,0.000633,0.168979,0.651356,5687.644284,0.895379,0.000353,0.35007,1.243132,11982.590221,0.409824,0.000354,0.361409,1.226736,12309.234435,0.397329,0.00036,0.349089,1.197832,11738.600583,0.410703,0.00035,0.355346,1.222972,12216.517832,0.398572,0.000343,0.40778,1.307755,12883.242877,0.381103,0.000351,0.38914,1.257561,12690.460235,0.385294
6,7,8,0.000248,0.13402,1.685732,4129.548126,0.362299,0.000336,0.095975,1.236738,3048.466197,0.490131,0.000188,0.17853,2.387655,5734.71018,0.244433,0.000111,0.321281,4.023384,10518.412077,0.130934,0.000105,0.325491,4.064957,11286.501744,0.120479,0.000107,0.31397,4.069397,10849.30252,0.126616,0.000105,0.332493,4.120123,11364.550462,0.119991,9.9e-05,0.394153,4.506452,12536.30779,0.109288,0.000101,0.362244,4.307393,12190.876527,0.111414
7,8,9,0.000737,0.220257,0.669809,4117.388753,1.025767,0.00086,0.184773,0.564178,3471.607167,1.249179,0.000455,0.193154,0.989719,6071.530988,0.590613,0.000278,0.256033,1.437093,10564.330076,0.32805,0.000278,0.315693,1.49235,11182.692132,0.307452,0.000264,0.286862,1.542072,11150.097444,0.311491,0.000264,0.332609,1.594331,11607.779029,0.298098,0.000265,0.35279,1.617444,12071.520292,0.289381,0.000273,0.354065,1.566091,11887.702648,0.290432
8,9,10,0.000451,0.188902,0.836635,5250.726995,0.634696,0.000538,0.165226,0.703144,4645.273849,0.765386,0.000413,0.180078,1.120409,5814.845827,0.544368,0.000225,0.342201,1.918141,11911.995719,0.25804,0.000229,0.294201,1.794729,11547.000261,0.266881,0.00022,0.344474,1.961719,12098.492662,0.256425,0.000226,0.325915,1.873911,11810.853873,0.261386,0.000219,0.392086,2.033684,12783.919605,0.242678,0.000223,0.368118,1.952049,12494.373253,0.24738
9,10,11,0.000166,0.129861,2.319372,4492.808382,0.253433,0.000202,0.110715,1.919792,3748.282473,0.305043,0.000119,0.150155,3.353098,6288.979745,0.168118,7.9e-05,0.299924,5.271936,11320.409705,0.092879,8e-05,0.269048,5.063561,11140.113764,0.093907,7.6e-05,0.282983,5.361823,11470.666701,0.091946,7.9e-05,0.29047,5.143146,11349.869141,0.091707,7.6e-05,0.354427,5.695764,12335.564672,0.085817,7.9e-05,0.295205,5.229833,11673.798467,0.089999
