,Num,Dnum,ROILDE,ROIHDE,ROILGLE,ROIHGLE,ROILDLGLE,ROILDHGLE,ROIHDLGLE,ROIHDHGLE,ROIdepGLN,ROIdepGLNN,ROIDN,ROIDNN,ROIdepGLV,ROIDV,ROIDEntropy,ROIDEnergy,LLLLDE,LLLHDE,LLLLGLE,LLLHGLE,LLLLDLGLE,LLLLDHGLE,LLLHDLGLE,LLLHDHGLE,LLLdepGLN,LLLdepGLNN,LLLDN,LLLDNN,LLLdepGLV,LLLDV,LLLDEntropy,LLLDEnergy,LLHLDE,LLHHDE,LLHLGLE,LLHHGLE,LLHLDLGLE,LLHLDHGLE,LLHHDLGLE,LLHHDHGLE,LLHdepGLN,LLHdepGLNN,LLHDN,LLHDNN,LLHdepGLV,LLHDV,LLHDEntropy,LLHDEnergy,LHLLDE,LHLHDE,LHLLGLE,LHLHGLE,LHLLDLGLE,LHLLDHGLE,LHLHDLGLE,LHLHDHGLE,LHLdepGLN,LHLdepGLNN,LHLDN,LHLDNN,LHLdepGLV,LHLDV,LHLDEntropy,LHLDEnergy,LHHLDE,LHHHDE,LHHLGLE,LHHHGLE,LHHLDLGLE,LHHLDHGLE,LHHHDLGLE,LHHHDHGLE,LHHdepGLN,LHHdepGLNN,LHHDN,LHHDNN,LHHdepGLV,LHHDV,LHHDEntropy,LHHDEnergy,HLLLDE,HLLHDE,HLLLGLE,HLLHGLE,HLLLDLGLE,HLLLDHGLE,HLLHDLGLE,HLLHDHGLE,HLLdepGLN,HLLdepGLNN,HLLDN,HLLDNN,HLLdepGLV,HLLDV,HLLDEntropy,HLLDEnergy,HLHLDE,HLHHDE,HLHLGLE,HLHHGLE,HLHLDLGLE,HLHLDHGLE,HLHHDLGLE,HLHHDHGLE,HLHdepGLN,HLHdepGLNN,HLHDN,HLHDNN,HLHdepGLV,HLHDV,HLHDEntropy,HLHDEnergy,HHLLDE,HHLHDE,HHLLGLE,HHLHGLE,HHLLDLGLE,HHLLDHGLE,HHLHDLGLE,HHlHDHGLE,HHLdepGLN,HHLdepGLNN,HHLDN,HHLDNN,HHLdepGLV,HHLDV,HHLDEntropy,HHLDEnergy,HHHLDE,HHHHDE,HHHLGLE,HHHHGLE,HHHLDLGLE,HHHLDHGLE,HHHHDLGLE,HHHHDHGLE,HHHdepGLN,HHHdepGLNN,HHHDN,HHHDNN,HHHdepGLV,HHHDV,HHHDEntropy,HHHDEnergy
0,1,1,0.055134,70.4344,0.021419,86.5696,0.00288,3.694994,1.022644,6593.2152,281.5768,0.112631,194.828,0.077931,6.846131,14.687271,7.038615,0.00956,0.058052,70.236072,0.019328,110.250902,0.003699,4.173342,0.715918,9144.333467,241.833667,0.096927,190.751503,0.076454,8.689746,15.214759,7.104396,0.008719,0.056449,73.754032,0.023417,84.735484,0.002804,4.686915,1.167025,6548.134677,296.637903,0.119612,195.479839,0.078823,6.327315,16.544328,7.052456,0.009956,0.098551,39.764729,0.021994,77.847295,0.003524,7.675827,0.69308,2993.661323,280.373146,0.112374,264.431663,0.105985,6.239748,9.486065,6.685256,0.01184,0.114676,43.397746,0.022677,75.580515,0.003471,9.578401,0.742181,3153.699678,321.92029,0.129598,245.627214,0.098884,5.476973,11.904141,6.527476,0.013255,0.092734,42.235175,0.020006,75.726906,0.002576,8.259792,0.725127,2871.374344,328.047196,0.13233,253.333199,0.102192,5.468833,9.760349,6.452901,0.014304,0.135713,28.069283,0.021684,77.780537,0.004483,11.306085,0.48166,2043.839808,288.743692,0.115636,304.65799,0.12201,6.023286,6.185472,6.337127,0.014697,0.126762,33.339653,0.026202,77.962888,0.005136,10.310593,0.575693,2522.102461,316.637757,0.127728,287.463897,0.11596,5.682026,8.613205,6.286819,0.015614,0.165029,24.606293,0.023315,77.344494,0.008214,13.297741,0.394328,1830.63211,304.377168,0.122782,314.168213,0.126732,5.604482,5.622854,6.119371,0.017113
1,2,3,0.033853,100.007709,0.024399,83.804222,0.001219,2.429333,1.944485,9183.456905,2927.9276,0.11342,1760.757893,0.068207,6.569981,18.688045,7.360879,0.008033,0.02397,128.077251,0.023832,86.328579,0.001018,1.746064,2.162686,12176.922633,2882.197566,0.111717,1605.92678,0.062248,6.691685,22.539638,7.50423,0.007143,0.033918,92.764114,0.020074,78.112484,0.000904,2.881488,1.704624,6839.50635,2983.146364,0.115509,1899.609154,0.073554,6.147882,17.289691,7.281916,0.008309,0.084037,43.644003,0.021847,78.355453,0.002961,6.951456,0.738351,3266.219472,3122.684603,0.121321,2629.139788,0.102146,5.887662,10.093718,6.690469,0.01222,0.107758,42.330497,0.021565,77.95089,0.004491,9.106652,0.679553,3158.628982,3288.218145,0.128366,2528.168879,0.098695,5.480391,10.4981,6.589702,0.013074,0.08144,46.750662,0.022641,77.968979,0.00329,6.47547,0.780881,3540.972482,3198.971431,0.124512,2516.837537,0.097962,5.705083,10.93818,6.703517,0.012146,0.106188,42.429864,0.021619,77.678626,0.004327,9.005778,0.679017,3149.138205,3351.967204,0.130717,2514.357018,0.098052,5.417024,10.368823,6.554938,0.013324,0.102783,35.091369,0.022233,78.139933,0.003691,8.506073,0.578995,2615.382364,3145.249591,0.122393,2942.743793,0.114513,5.792655,8.124813,6.441904,0.014174,0.143916,33.863336,0.021855,77.76659,0.006007,11.813704,0.525199,2523.849471,3316.248838,0.129526,2758.590907,0.107745,5.428585,8.770292,6.333625,0.015259
2,3,4,0.091542,38.565325,0.023021,79.693189,0.00304,7.802697,0.719062,3000.085759,334.02291,0.103413,348.286068,0.107829,7.253591,7.812635,6.755629,0.011545,0.072922,50.514117,0.020361,79.182749,0.002361,5.955995,0.872926,3938.420726,356.443376,0.110594,305.852001,0.094897,6.285167,9.919467,6.823732,0.01103,0.117197,34.364259,0.021995,81.854608,0.004432,9.361079,0.60446,2827.270548,373.345579,0.116235,347.47198,0.108179,6.12885,7.202379,6.56519,0.013196,0.17075,24.979478,0.022744,78.19745,0.006294,14.033194,0.402242,1864.989117,387.003109,0.120337,415.358831,0.129154,6.047851,6.320086,6.190487,0.016589,0.192731,24.427498,0.021272,79.253993,0.007502,16.752568,0.372797,1819.448168,416.290949,0.130376,401.970874,0.125891,5.336004,6.33104,6.026857,0.018406,0.173052,26.936954,0.021604,80.116105,0.005929,14.479039,0.420141,2022.099875,399.979401,0.124838,391.792135,0.122282,5.857327,7.09499,6.185422,0.016623,0.211592,22.228213,0.021745,76.153918,0.007619,17.272594,0.348244,1618.097492,410.889028,0.128805,419.273354,0.131434,5.251184,5.793958,5.945747,0.019447,0.165778,23.3575,0.023542,76.065937,0.006667,13.918278,0.407404,1698.245313,373.399375,0.116687,428.50125,0.133907,6.056111,5.369298,6.210384,0.01657,0.192009,23.001877,0.021473,78.875821,0.007558,16.35916,0.348438,1752.273381,404.34376,0.126476,418.04035,0.13076,5.51823,5.749638,6.008976,0.018645
3,4,5,0.066705,56.850658,0.019844,84.398531,0.002633,5.035621,0.980005,4970.82119,1137.533664,0.108481,937.841884,0.089438,6.585136,11.108384,6.989209,0.010258,0.050924,70.384674,0.020988,80.217118,0.002405,3.506325,1.238263,5858.405071,1178.599123,0.112333,848.631338,0.080884,6.180377,12.927349,7.081686,0.009525,0.095348,42.66689,0.02177,78.063008,0.00387,7.819195,0.730759,3291.852663,1237.138254,0.118285,1041.684004,0.099597,5.804068,8.826067,6.710519,0.012197,0.164432,26.249976,0.021524,77.500239,0.005282,13.360664,0.425737,1962.69124,1249.435232,0.11962,1295.261944,0.124008,5.722276,6.428086,6.263286,0.015721,0.200446,22.420109,0.021619,77.775808,0.0076,17.114734,0.348772,1674.593214,1284.812326,0.123149,1352.399406,0.129627,5.583641,5.441728,6.04014,0.018203,0.161296,27.765974,0.021456,77.752563,0.005404,13.617136,0.442272,2085.284318,1269.978446,0.121657,1243.877096,0.119157,5.727935,6.864636,6.28273,0.015777,0.201132,22.035759,0.021808,77.623718,0.007664,17.180297,0.348959,1620.058959,1293.652478,0.12402,1369.808743,0.131321,5.495084,5.324742,6.017388,0.018521,0.149622,26.427806,0.022243,77.583764,0.005427,12.319054,0.436063,1961.662937,1223.532415,0.116995,1333.825397,0.127541,5.985757,6.297251,6.274059,0.016037,0.189671,22.979111,0.02053,78.993963,0.006651,16.1085,0.351328,1741.940494,1260.019548,0.120738,1360.191644,0.130336,5.712423,5.627048,6.058751,0.017846
4,5,6,0.052566,91.399531,0.025373,80.978445,0.003987,3.209965,1.293664,8504.185551,3806.440027,0.127604,1967.957224,0.065972,5.825297,19.450691,7.123383,0.009169,0.041175,109.161825,0.025653,79.318558,0.003019,2.449329,1.589477,10006.004925,3804.497035,0.127467,1822.113948,0.061048,5.745996,22.378746,7.217671,0.008604,0.085355,57.968442,0.020094,76.503318,0.002979,7.361417,0.959599,4188.570341,3945.794652,0.132895,2447.901889,0.082446,5.103635,13.341038,6.827327,0.011317,0.138138,34.391328,0.020246,77.394834,0.004963,11.587981,0.529587,2540.64529,3975.314114,0.134039,3148.393283,0.106157,4.933168,8.519332,6.290773,0.015615,0.177012,29.936124,0.021213,77.605977,0.007142,14.991829,0.452083,2210.646968,4075.316753,0.137151,3286.103924,0.110591,4.97731,7.813149,6.080963,0.017935,0.131961,37.797688,0.021072,77.015053,0.004893,10.923472,0.580286,2789.784853,4093.452068,0.137544,3041.611942,0.102201,4.876683,9.904057,6.300053,0.015617,0.176285,29.741167,0.020913,77.167829,0.006696,15.02293,0.45296,2180.752214,3986.934458,0.134281,3328.778856,0.112114,5.043452,7.897641,6.103247,0.01763,0.131726,33.675996,0.021082,77.041207,0.005089,11.065638,0.528674,2482.05372,3860.171825,0.12985,3252.131526,0.109396,5.168706,8.102915,6.277122,0.015932,0.165786,28.956343,0.021035,77.507702,0.006656,14.040764,0.440302,2145.674257,3914.915579,0.131673,3413.966299,0.114825,5.150741,7.247363,6.09662,0.017765
5,6,7,0.049411,87.167472,0.022671,75.107351,0.001759,3.600164,1.606528,7062.892315,2040.634272,0.113387,1252.2691,0.069582,6.607976,18.958432,7.307395,0.008124,0.03894,101.787512,0.022891,74.02011,0.001157,2.797129,1.983452,7990.722627,2030.956002,0.112825,1190.166713,0.066117,6.736554,21.619319,7.429356,0.007567,0.073619,59.869468,0.023982,79.935239,0.003366,5.949234,1.046244,4681.153055,2290.241182,0.128636,1468.089081,0.082458,5.578037,12.67371,6.907318,0.010774,0.146715,30.215713,0.020692,77.45752,0.005029,12.414682,0.477675,2221.660999,2267.986083,0.127272,2052.500112,0.11518,5.341969,7.394986,6.267246,0.015869,0.1941,25.147957,0.021238,77.770656,0.007402,16.310817,0.382249,1874.40559,2268.632914,0.127337,2171.737427,0.121898,5.350708,6.460874,6.039823,0.018041,0.140328,34.179917,0.021783,77.245305,0.005201,11.997572,0.539093,2505.601878,2352.907455,0.13229,1927.757562,0.108386,5.327544,8.914966,6.323127,0.015493,0.185155,26.199865,0.02162,77.783011,0.007161,15.587187,0.399805,1966.930216,2301.835729,0.129229,2153.835953,0.120921,5.287519,6.758162,6.093853,0.017696,0.142543,29.753974,0.021744,78.006268,0.004892,12.125406,0.482377,2213.884934,2167.579472,0.121311,2098.104097,0.117422,5.731529,7.177116,6.310471,0.015506,0.17521,25.467589,0.021398,78.215922,0.006871,15.008498,0.394487,1893.597288,2214.190991,0.124051,2226.054961,0.124716,5.562004,6.305572,6.082409,0.017769
6,7,8,0.039468,95.273751,0.026296,78.71799,0.001479,2.682111,2.008192,8453.226942,7550.279938,0.117651,4398.531188,0.06854,6.254985,18.309938,7.264823,0.008462,0.027061,124.889467,0.024718,78.977587,0.001284,1.704731,2.124391,11241.987137,7580.228583,0.118476,3894.507166,0.06087,6.084621,22.687768,7.393347,0.007673,0.074187,52.571953,0.021514,78.194776,0.002863,6.251278,0.897763,3965.2888,7775.624973,0.121971,5809.365239,0.091127,5.709385,10.868519,6.851584,0.011191,0.12276,35.216344,0.02154,77.60262,0.004613,10.305199,0.574628,2596.042825,7971.636387,0.125372,6802.500409,0.106984,5.53992,8.334572,6.476452,0.014016,0.162657,29.217494,0.020782,77.568918,0.006035,13.849235,0.449886,2161.14782,8308.591407,0.130852,7253.217935,0.114231,5.223037,7.233541,6.168544,0.017055,0.119342,37.36443,0.021061,77.283134,0.004118,10.15228,0.597771,2754.467177,8223.282787,0.129609,6626.513168,0.104442,5.288657,9.145322,6.455339,0.014192,0.160783,28.743734,0.021364,77.72083,0.006336,13.551722,0.445069,2135.61223,8216.400261,0.129431,7336.466455,0.115569,5.30269,6.997947,6.181103,0.016945,0.141212,29.526428,0.021699,77.901477,0.005031,11.994064,0.473966,2200.458203,7819.82793,0.122758,7474.231221,0.117333,5.659083,6.901062,6.286407,0.015756,0.165865,27.089431,0.02132,77.567829,0.006519,13.871948,0.419689,2002.762226,8164.770552,0.128508,7582.658676,0.119346,5.363175,6.50639,6.083808,0.018075
7,8,9,0.041415,108.269542,0.019148,95.74426,0.001223,3.113358,1.450347,13618.614569,2310.060405,0.09241,1588.608769,0.063549,9.739003,25.849176,7.502462,0.006789,0.031681,129.030082,0.016946,101.276582,0.000739,2.493376,1.621986,16760.885351,2332.074486,0.09329,1461.391631,0.05846,9.745929,28.557488,7.604179,0.006284,0.083988,60.339195,0.021766,78.045939,0.00322,7.1459,1.005109,4483.576793,3056.706058,0.123284,2099.970799,0.084697,5.800052,15.782466,6.973287,0.010182,0.123017,46.91543,0.021039,75.719577,0.004674,10.070892,0.718888,3384.129742,3676.488351,0.149481,2268.144867,0.09222,4.482408,13.426186,6.372087,0.01486,0.171218,34.827871,0.021394,77.560863,0.007115,14.694638,0.520436,2565.694164,3423.118111,0.139032,2589.408351,0.105171,5.05551,10.223515,6.18807,0.016607,0.128399,40.676384,0.02023,77.055375,0.004647,10.729459,0.618587,2980.179316,3527.626629,0.143633,2409.558388,0.098109,4.707051,10.899277,6.313197,0.015422,0.174286,30.854274,0.021717,77.263053,0.006743,14.82133,0.471925,2266.351454,3330.090835,0.1351,2735.707939,0.110987,5.167115,8.446347,6.136638,0.017346,0.13539,36.010537,0.020948,77.638313,0.005122,11.320094,0.554948,2678.379843,3240.809288,0.131334,2613.143135,0.105898,5.266321,9.482777,6.346225,0.014992,0.166344,32.828041,0.021625,77.406852,0.006679,14.356327,0.499814,2413.439819,3267.096387,0.132314,2704.465981,0.109528,5.319243,9.288332,6.193325,0.016458
8,9,10,0.067246,79.289826,0.021355,93.035784,0.004097,4.362321,0.896926,9009.157173,3339.543549,0.118672,1961.456203,0.069701,6.541356,18.884103,7.060961,0.009385,0.053669,88.072462,0.021561,93.7288,0.003753,3.403552,0.992574,10212.361883,3215.634784,0.113997,1926.503687,0.068296,6.833727,20.049732,7.127225,0.008977,0.07892,63.135032,0.021128,75.93362,0.002817,6.854715,1.104966,4472.764458,3517.306748,0.124789,2213.533527,0.078533,5.692379,14.758876,6.992506,0.009798,0.144405,32.873867,0.021376,77.293764,0.005237,12.218698,0.515942,2413.216593,3697.212258,0.131363,3087.751324,0.109709,5.218521,8.412417,6.283843,0.015853,0.167944,30.360057,0.019941,77.072225,0.00597,14.079357,0.450814,2261.481703,3888.96166,0.13857,3110.457474,0.11083,4.719516,7.818455,6.064677,0.018138,0.14363,33.374338,0.020647,77.447704,0.00475,12.280913,0.51826,2473.356023,3647.377112,0.129712,3057.583805,0.108737,5.22521,8.571678,6.314923,0.015407,0.173862,29.814522,0.021029,77.47884,0.006427,14.788484,0.452843,2215.893362,3737.294999,0.133023,3178.109308,0.11312,5.06507,7.994534,6.158243,0.01709,0.13603,31.19616,0.021839,77.587808,0.004963,11.228277,0.500394,2324.120254,3481.121918,0.123304,3243.174412,0.114876,5.55863,7.484725,6.312288,0.015542,0.16918,27.259533,0.0208,78.131826,0.006313,14.378778,0.417347,2028.788859,3567.429383,0.126657,3368.842647,0.119607,5.358193,6.794558,6.10957,0.017536
9,10,11,0.045583,116.454682,0.02658,78.373459,0.002694,3.116742,1.812054,10250.793444,11220.467871,0.136268,4684.683803,0.056894,5.607116,24.944701,7.245153,0.008435,0.033637,140.05954,0.025852,78.913444,0.002071,2.231004,2.12163,12610.589565,10923.819391,0.132519,4367.555901,0.052984,5.719765,28.358294,7.346358,0.007831,0.082405,69.790227,0.019412,77.45852,0.00308,7.040055,1.079369,5083.674236,12636.217869,0.154526,5907.701176,0.072244,4.478237,16.707525,6.760003,0.011843,0.133585,36.012493,0.020419,77.113818,0.004869,11.266391,0.551039,2659.366905,11234.976013,0.13694,8501.160184,0.103618,4.872624,8.955834,6.277053,0.01588,0.163149,32.510837,0.019971,76.605699,0.006121,13.703887,0.484056,2391.34878,11820.917086,0.144263,8635.955358,0.105394,4.489869,8.199944,6.023782,0.01877,0.122832,38.501337,0.02,76.493203,0.004255,10.18333,0.587903,2823.28078,11553.484373,0.141104,8310.738443,0.1015,4.604534,9.666173,6.259565,0.016151,0.161581,33.934403,0.020431,77.04045,0.006209,13.628799,0.506705,2500.424004,11684.560009,0.142705,8516.861772,0.104018,4.685874,8.980304,6.096918,0.01791,0.125659,34.133891,0.020879,77.487419,0.004657,10.466011,0.53561,2536.780583,10544.426228,0.1283,8936.655245,0.108737,5.253966,7.946686,6.306877,0.015649,0.149564,32.934657,0.019949,76.970486,0.005487,12.713274,0.494876,2427.326311,11397.91748,0.13895,8787.714479,0.107129,4.684939,8.159921,6.078977,0.018069
